2008 Asian Alone Population by Asian group, age, gender and immigration status, wgtd 2006-8 ACS, SSDAN/U-Mich
4
Asian,Immentry,Gender,AgeAll
7,5,2,8
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Native,FB<1980,FB80-89,FB90-99,FB00-08
Male,Female
0-4,5-14,15-24,25-34,35-44,45-54,55-64,65+
76590,130316,107977,54621,36045,28394,18546,17323,
74561,128957,99193,47719,33298,27977,17522,19340,
0,0,0,7092,29203,44256,54388,58785,
0,0,0,6457,24161,46956,59088,66390,
0,0,7206,36298,62467,82374,38393,33339,
0,0,6226,32095,60901,87537,40246,41533,
0,6541,34698,53527,89109,50160,25229,24865,
0,21822,30289,61444,112340,60804,29367,33503,
5343,21966,50156,65381,44073,27124,14451,17721,
23003,34367,50100,83335,58920,32158,19005,21182,
11138,17897,21606,21362,30008,45223,29913,49215,
8971,16932,20834,19141,29057,39912,30984,61682,
0,0,0,906,2536,4272,7674,5935,
0,0,0,1423,3378,6291,16574,43525,
0,0,682,1928,3342,4579,2603,901,
0,0,1169,2584,6549,8868,4012,2083,
0,932,2133,5229,7351,3537,1520,717,
0,891,2384,10069,19460,6348,1206,1463,
3363,6219,8081,13749,15941,5498,1971,390,
2815,6519,12291,23358,19721,4587,1854,954,
57325,105172,94515,69057,41305,23446,13586,10341,
52065,99860,88589,59441,38652,21284,12925,11155,
0,0,0,5714,27043,32842,45758,47040,
0,0,0,5079,28208,41235,72854,66018,
0,0,6585,28849,38773,46993,26061,19063,
0,0,5658,26041,52432,82471,34347,35544,
0,5400,27706,34880,41330,32105,15417,16655,
0,5453,22184,42148,72819,48678,23757,30622,
4439,24143,25827,29719,31834,17234,11311,9575,
3378,23595,25282,55758,52401,25623,18681,16055,
33116,52328,45745,25894,11652,4581,3369,4420,
28800,44792,45145,24723,10305,5001,3531,5801,
0,0,0,8525,20586,14770,18042,24902,
0,0,0,12928,22461,28557,40877,34246,
0,0,12996,20508,22254,30082,14668,13411,
0,0,16121,20900,27007,46770,18495,19412,
0,8733,17764,18699,27012,18340,9523,4892,
0,9167,17232,22104,39520,25117,9180,7858,
7692,20846,24362,29252,24912,14768,3331,3213,
4710,18192,24681,38767,31473,13758,3855,5710,
104618,120236,63787,38192,12818,3818,2134,2208,
95901,112285,62580,31739,10599,3835,2021,2539,
0,0,0,6440,16737,21914,46658,32401,
0,0,0,6526,15154,21805,37405,20381,
0,0,8039,21294,49755,64697,24656,13952,
0,0,6851,20350,38899,47863,19455,16822,
0,13803,29096,84359,124641,41723,18328,15797,
0,13059,27813,70676,95034,34397,18943,17549,
10618,29426,51807,160748,54192,21501,13133,10620,
10063,25896,41372,145970,41664,20685,14929,10885,
50567,84229,54824,20096,8596,8721,7321,7084,
48964,85238,50182,21079,8592,8548,6709,7864,
0,0,0,9090,24625,24927,17264,13434,
0,0,0,8656,19815,22470,21885,16050,
0,0,4107,26334,49342,37967,18829,11246,
0,0,3662,21537,33147,31735,16372,12304,
0,4783,21710,40328,46505,17760,22051,22247,
0,4994,21099,38561,53692,27821,27516,25771,
2863,9445,14368,10513,13419,9177,4854,2621,
2108,9589,16220,27263,21140,12207,6228,4353,
84904,145234,123736,60616,37546,26806,15935,12030,
80130,140412,119361,58409,36142,29295,16914,14043,
0,0,0,8871,16024,22563,21554,11488,
0,0,0,8408,16760,21539,28570,15331,
0,0,10380,36752,50680,48674,22601,11979,
0,0,10250,36897,42634,48223,19885,17937,
0,7866,24976,35515,39267,22141,10091,6159,
0,7692,22745,35681,44278,22414,11091,7231,
4730,19590,30909,33822,21670,10418,6605,4114,
4980,16938,29992,47450,28157,12318,7031,4986
*****
