2008 Full-time, year-round workers, age 16+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Earn
7,2,6,7
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
<15K,15-24K,25-34K,35-49K,50-69K,70-99K,100K+
428171,885635,659147,396907,146660,34100,12532,
304427,1027223,1658841,2149505,1603442,829031,477619,
262189,723019,1279001,2208999,2263885,1724718,1729176,
307008,726816,1280737,2174140,2443596,1940605,2188411,
229508,480763,759963,1218934,1359810,1079747,1343276,
133581,162429,162499,186309,182557,141260,244366,
443332,714390,419233,210822,55779,9522,2818,
376986,1086485,1409252,1437445,769169,315309,142055,
376384,1035187,1335201,1549033,1144818,649968,459081,
437130,1229961,1570146,1828877,1432740,829690,560801,
273316,763126,955306,1055123,813771,456091,281570,
94832,156981,148397,130934,86145,45720,34820,
103930,175329,100215,44956,10728,2394,1731,
100343,288681,332769,296740,153558,59959,22500,
80515,214300,296215,370805,269347,141938,80126,
76788,198700,250732,315093,243561,134153,80612,
33681,97459,115117,136674,109972,65035,37708,
14679,22357,18066,18320,13584,8721,6328,
127597,173515,80853,32253,8777,934,443,
140406,343296,353581,280314,126818,41997,11960,
133327,335719,373540,375432,223669,102991,43773,
118375,301547,309634,316130,214552,111704,44331,
60903,140356,144299,143749,91393,51925,19863,
15069,20895,20189,13952,9427,4879,1806,
17261,36351,23672,17230,12366,2991,1213,
27384,82826,99599,142800,146043,128871,76808,
32298,82186,96334,139819,142836,157479,198890,
34675,76074,85750,112628,105294,95615,126656,
20026,50038,51765,57116,53889,45153,60218,
5807,11588,8929,9105,7725,7995,11649,
16844,29273,20139,14702,7396,1707,320,
26808,68313,83916,115204,98208,70392,33228,
40617,91700,94795,108394,98087,82831,68530,
42850,99545,93807,94891,76999,65360,45728,
23380,55310,48414,46016,37533,30047,22067,
5325,10315,6286,5767,4656,3300,2388,
235569,475794,200782,86975,22322,5475,2497,
319620,894359,646954,521739,271113,112693,51860,
194554,586557,515450,510172,342979,180406,120241,
123176,330455,303934,321348,228602,133812,99456,
59386,151707,128763,124295,92878,51050,40674,
19142,34690,23096,17236,10736,6578,8163,
164296,215578,93705,37714,8146,1446,768,
221572,398469,317683,250683,109435,38346,12948,
223373,393066,270575,232206,133392,64336,33067,
150244,294813,198787,179540,103816,55106,30069,
70776,117287,79953,69603,40681,20403,11085,
13888,17314,12417,7679,4573,1941,1358,
8564,15126,6541,3112,1262,189,96,
8824,21905,19782,16183,10454,3288,1731,
6549,16357,17437,21585,14899,7949,4798,
5609,12594,14012,18810,15746,9115,6009,
2518,5957,7121,8823,7397,4887,4085,
782,1349,1322,982,948,573,478,
8279,10435,5018,1484,628,23,0,
8700,18856,15040,12210,3686,1870,491,
8274,18635,16915,16166,7923,3225,1368,
7967,16681,18717,15046,9235,4773,1639,
4008,8553,8694,7968,3938,2730,1135,
870,1813,1229,869,661,199,54,
2496,5073,3835,1259,508,250,19,
3177,7326,8875,8046,5704,3655,1758,
2511,5544,6619,6973,5051,5076,4199,
1465,3559,3441,6527,4039,3569,2903,
665,1811,2255,1982,1555,1326,1522,
492,671,213,471,330,106,246,
2009,3087,2170,514,394,0,15,
3074,5420,7054,4976,2999,1086,556,
2601,6392,4286,4699,4201,2030,949,
2189,4064,4493,3786,2854,2017,1441,
1102,2102,1906,1212,1234,770,650,
57,216,337,138,33,62,71,
10594,21712,13271,7383,2907,649,477,
8745,23705,32896,39652,25556,15083,5905,
5539,13801,22565,31293,31184,21307,17141,
4747,11651,16352,22484,24363,18200,15977,
2851,5192,8382,11010,10899,7826,8853,
1660,1450,1216,1453,1198,602,1367,
11312,19376,10807,6763,1429,197,0,
8147,25330,30891,29794,16475,6859,2676,
7759,16315,23540,27684,17318,9542,7493,
7175,17054,20067,20767,18134,8772,6323,
3025,9148,11061,11120,7902,4221,2161,
973,1889,1707,1077,820,404,312
*****
