2008 Education and immigration status for Asian Alone by Asian groups, age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,Imm,Gender,EducAll
7,5,2,7
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Native, FB<1980, FB80-89, FB90-99, FB00-current
Male,Female
0-9Yrs, 10-12Yrs, HSGrad, SomeColl, CollGrad, Masters, PhD-Prof
274,649,3722,8828,28488,7348,5312,
316,230,1835,6210,24547,8398,6183,
32,49,459,970,3646,859,1077,
6808,3264,14730,13988,37063,22779,10173,
7503,4452,18466,22038,49459,48260,21501,
814,601,2914,5073,17345,4642,2768,
138,0,295,205,959,533,0,
545,621,1492,1659,3476,2039,729,
608,235,1429,1776,3258,2935,964,
0,0,0,0,0,0,0,
136,494,2935,6683,8473,1995,646,
49,80,1880,5318,8412,2361,1041,
0,0,80,156,396,177,97,
227,158,1215,3852,7276,2232,504,
422,178,4610,8409,16532,4865,1783,
0,49,184,562,1242,412,242,
49,0,0,124,26,35,39,
0,0,100,214,694,142,0,
0,32,333,326,1002,232,38,
0,0,0,0,0,0,0,
576,1892,11133,27062,23281,2966,2147,
622,703,7654,20317,23266,4987,1892,
21,161,614,2361,1886,336,335,
546,1699,13413,30570,22444,2524,1022,
787,2174,13898,28503,54156,3726,2576,
174,562,3953,11769,9030,1566,955,
0,25,182,395,979,55,57,
88,169,1410,3525,2285,345,99,
223,82,575,1182,4203,219,329,
0,0,0,0,0,0,0,
215,448,3239,5583,12416,2060,1933,
217,386,1878,5432,10888,3322,2600,
0,293,740,2314,3201,1303,674,
229,750,5183,11687,21255,5763,2921,
1028,570,7824,17391,34243,14909,5375,
0,401,1972,5573,10807,1804,1483,
0,0,21,139,855,214,0,
28,110,467,793,2735,497,173,
74,62,405,1984,2288,802,343,
0,0,0,0,0,0,0,
260,341,2520,4675,16189,7154,7053,
508,388,1544,3127,12523,7408,6241,
60,80,492,772,2424,975,1637,
1967,3786,14309,17879,54960,45554,11613,
2337,4205,13141,17896,123182,124109,22558,
313,230,2214,4154,9959,3458,2201,
105,72,78,255,1355,1755,221,
91,135,1256,1326,2910,3090,506,
219,84,968,1496,6497,6411,1068,
0,0,0,0,0,0,0,
234,803,2917,7062,6756,1520,804,
511,575,2166,5276,8788,2111,1652,
113,353,615,2612,3467,777,1153,
7472,5885,19066,20535,18564,3047,3040,
4942,5086,15248,13121,16288,3040,1824,
775,1261,2770,5717,8267,1722,2292,
17,47,154,186,41,82,0,
822,662,1713,2464,2420,209,379,
929,201,951,718,843,350,42,
0,0,0,0,0,0,0,
1506,3828,19342,18914,12760,2549,1717,
956,2310,13545,20933,15264,3317,2084,
67,521,1430,3422,2526,438,467,
4702,4377,17731,16799,17085,8268,2783,
6655,7367,22684,26745,31285,11847,4341,
1120,2125,9591,12782,9933,2051,894,
140,110,185,178,663,188,61,
359,638,1669,1457,1242,615,280,
487,428,1073,1367,1552,597,71,
0,0,0,0,0,0,0
*****
