2008 Education for Asian Alone by Asian groups, age 25+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,AgeEduc,Gender,EducAll
7,5,2,7
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
25-34,35-44,45-54,55-64,65+
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
8521,5696,22035,29008,79355,46425,26200,
8517,4405,23530,31977,88981,51368,22507,
19009,11614,36517,29348,60064,56389,48024,
22829,10189,41697,41591,82969,62419,28050,
31306,11535,43827,30035,43575,40549,31669,
36185,13433,47652,46295,63746,32983,15183,
25824,9614,24434,21434,32534,20858,16361,
36829,11044,31359,27360,38562,13723,6395,
42277,10681,24316,16957,32320,11263,14219,
74081,12232,36596,20515,26934,6721,4869,
535,612,5188,10038,18542,6119,2140,
348,379,6149,15606,25511,6332,2250,
575,513,8781,11754,24973,7299,5283,
557,685,10371,23266,30054,8802,4430,
571,1516,8131,17563,23355,7151,4822,
1281,889,8112,20965,24130,7598,3031,
908,589,6316,13511,14997,4459,2901,
1504,1414,11828,17695,14507,6089,1593,
4108,2217,19893,11973,12055,3363,3549,
13903,8082,48368,21967,12324,3971,1092,
1455,4623,28656,64977,58875,5896,3737,
1582,2844,24176,60707,82655,10828,5675,
2263,4300,29179,59855,68557,9142,6989,
3866,5067,33677,69368,109550,13106,9878,
3172,3593,24279,51927,57103,6410,6136,
7005,5401,31313,56418,102237,10242,6675,
4923,2785,17749,32888,44375,4519,4894,
12198,6175,22955,32228,75338,7862,5808,
14074,5377,20581,22312,27878,4133,8319,
37651,8719,32646,25771,41766,6632,6209,
824,1552,10599,25385,42942,14125,7451,
967,1468,11130,25511,55746,16549,8051,
2233,909,11212,18264,39325,19109,15364,
2500,2624,21689,26290,53426,15645,8592,
1752,1343,16666,16041,27278,11372,8089,
6648,4718,39570,24361,33512,7494,2900,
2002,1650,11449,7672,17974,5113,3073,
10575,4812,25223,12147,18877,3091,1213,
7300,2080,11702,6219,14645,4281,4611,
25131,4822,21134,8435,10077,1792,1636,
3108,4568,17864,24498,118478,114486,28031,
2752,4753,18658,27082,111521,85428,25067,
5001,8003,22315,25023,82845,82449,32507,
5597,9421,26100,25724,66127,46985,21396,
7145,8800,22125,19444,41398,31267,23474,
9524,10602,21065,17903,40215,19543,9733,
5929,5562,13729,11907,26315,22689,18778,
12795,8469,17333,11294,23636,11386,7840,
7982,5694,10539,7194,16619,12798,14152,
24291,7392,13265,5330,10423,4840,2635,
5625,7095,21341,29660,32544,5704,4392,
10190,7778,24259,28031,32890,7154,6794,
18263,13474,31273,35472,29767,8543,5695,
21200,12935,36199,28708,27195,5626,4523,
13441,12877,22885,24246,16659,5049,3395,
19462,13713,27879,23070,13818,3562,1277,
9202,8235,17528,18540,10832,3116,2866,
21099,11341,22759,13439,7231,2016,825,
13540,7524,14162,9494,7525,2255,2132,
33558,6220,13140,6231,4440,1784,969,
6785,11868,45157,50492,41118,14199,5957,
9207,9836,42093,52105,51192,15671,6741,
11151,11939,42535,38556,35535,17341,8130,
20004,12212,41310,40870,33963,13686,5926,
16455,10273,32036,31500,23243,9674,7421,
27445,10088,32855,30007,23180,7238,2976,
11802,4917,16647,17255,14315,7961,3889,
23723,5839,19106,16164,12305,4418,1936,
13601,3128,10304,6628,5704,3093,3312,
26041,5156,12963,7235,5154,1744,1235
*****
