2008 Education and immigration status for Hispanics groups, age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Hispanic,Immentry,Gender,EducAll
6,5,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Native,FB<1980,FB80-89,FB90-99,FB00-current
Male,Female
<9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
85862,152295,398930,358850,112124,19138,7912,
63340,111708,318214,391779,140687,32650,8622,
7595,8314,19594,15181,4415,831,509,
612881,172499,399001,142706,36355,6306,3010,
549548,141902,377876,118338,56439,9049,6452,
51495,31860,67170,43966,12374,2054,525,
7997,1660,6338,1907,1257,167,69,
62364,20407,40254,12363,2909,194,307,
40489,8431,24225,7082,3379,304,499,
0,0,0,0,0,0,0,
27420,37518,115798,90136,31639,7355,3307,
18802,30881,86357,105215,43384,12838,3693,
0,0,129,195,106,18,0,
864,553,996,1284,204,75,29,
564,349,1387,861,524,164,25,
0,59,98,211,159,176,0,
0,0,0,29,0,0,0,
11,68,121,95,0,0,0,
28,0,145,31,44,52,0,
0,0,0,0,0,0,0,
1124,2573,11847,17314,10138,2531,1895,
401,1371,9285,14197,12866,5213,1635,
123,260,409,305,202,50,49,
2517,2746,10569,7228,3846,534,361,
2271,3860,15909,9768,5938,830,920,
362,413,2769,2888,1380,453,226,
17,89,47,83,126,0,0,
319,232,1448,969,341,24,20,
210,0,1382,457,171,84,17,
0,0,0,0,0,0,0,
5077,6703,24766,26066,10938,2563,1482,
3644,3854,14825,28924,16697,3846,1208,
1109,662,2200,2690,1245,216,74,
110848,36473,85641,47910,18156,3861,1388,
138080,35411,95459,59029,28266,3704,2354,
9183,8010,18407,22203,10478,2644,403,
1113,198,1434,791,473,0,0,
9253,3076,8734,4395,1999,560,99,
10927,1564,5261,2747,1710,266,77,
0,0,0,0,0,0,0,
1537,1808,10847,18763,12740,2864,1468,
758,1255,8011,16174,15308,4425,2184,
213,98,866,2195,1135,252,367,
9619,5637,37369,33505,21669,5963,2052,
15042,7930,44454,42155,37566,11478,7942,
401,1161,4859,8560,5962,1285,558,
566,25,405,604,218,112,78,
1026,746,2953,2698,1053,393,191,
376,83,2655,2821,2261,723,429,
0,0,0,0,0,0,0,
10411,18583,53648,51027,19939,3930,1645,
6985,13930,47703,61549,24398,5889,1694,
141,262,598,681,495,0,78,
8677,4596,11841,7442,3431,1365,592,
6842,4496,9808,8347,6705,3227,1870,
697,1036,2886,2950,1013,405,92,
46,190,102,0,0,0,0,
725,298,684,586,134,56,0,
329,377,457,242,471,173,98,
0,0,0,0,0,0,0
*****
