2008 Education by Immigration status, race/ethnicity, gender, age 25+, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
291052,694522,3400492,3650432,2661256,561707,246674,
434,997,5267,6987,5542,1195,1704,
1588,2969,14555,19585,20537,5670,4549,
6640,7668,43010,40328,43520,18398,9466,
9208,5940,45905,43528,60496,40528,18442,
364712,727967,4005068,3828135,2885273,959041,466155,
4072,6944,28542,28437,26662,9580,7305,
7693,5604,29651,30879,29488,14613,11644,
9147,9243,60350,58282,65600,43678,32648,
8544,5684,38723,27513,44039,27969,20732,
440479,804652,4710461,4318864,2857889,1105575,627318,
15495,13926,60692,70206,54927,28482,15994,
9557,7872,36573,36638,40605,24126,21825,
6917,6482,38264,32681,41875,26939,20124,
4195,3792,22413,16843,19692,11260,7818,
487340,534535,3069968,3357870,2312147,1176996,695468,
33037,21643,74294,78152,62245,38313,30661,
5843,4099,16736,15585,20003,12587,11582,
4832,3534,17522,14117,19721,11140,8775,
3404,2364,10494,7154,9347,5178,3175,
1365452,1055341,3847728,2693704,1775843,892243,671349,
114218,52507,130804,100227,69786,44067,52199,
9769,3760,10191,7544,8368,6497,5826,
12334,4404,14894,9678,15934,6891,6753,
5532,3042,8189,3291,5104,2256,3017,
216933,478742,2497912,3846517,3064643,942475,257722,
554,678,2917,5685,6690,2209,1580,
1395,1917,8895,18854,19329,7500,4261,
6184,4730,38941,50438,47982,19650,7375,
7302,5528,41107,53863,73703,43353,16729,
269962,501744,3341923,4413908,3118814,1188132,365239,
2480,3992,26153,32502,29429,10676,5768,
6360,4976,32490,35510,30204,13270,8171,
8936,7113,57302,72545,77230,40004,22410,
6593,5794,34915,33937,42909,24946,13862,
324498,593103,4508061,5063145,2939184,1310233,385005,
15962,12801,67104,75016,46704,20603,9511,
8546,5629,34354,42987,34718,18923,9825,
9911,5725,43310,40914,47864,21560,11416,
4806,3521,23395,19501,19449,9998,3801,
381571,593114,3935703,3708628,1947483,1264841,308787,
37925,25694,117105,110483,59175,34893,15305,
7679,4000,20117,21311,16949,10393,5122,
8676,5371,21979,17220,19427,10266,5072,
6715,2967,13788,9530,9041,2979,2346,
1719304,1682969,6876757,3623804,1598315,783978,214386,
193818,99742,294243,193239,75321,36750,20848,
18498,6025,20124,9637,8319,3950,3029,
23222,5262,21364,15424,18694,7384,5545,
10332,3354,13508,5592,5629,2607,1393,
95684,296315,850556,670269,246883,49356,14963,
115,334,1822,2417,1555,468,219,
1305,2479,13958,16200,8641,1996,979,
4557,7896,30296,40623,22516,5940,1794,
10212,7727,33348,37278,22294,5947,2275,
87681,249829,885659,652497,235109,71007,22060,
