2008 Education by occupation, race/ethnicity, and gender for age 25+, wgtd 2006-08 ACS, SSDAN/U-Mich
5
AgeEduc,RaceEth,Gender,EducAll,Occup
5,7,2,7,6
25-34,35-44,45-54,55-64,65+
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
11883,25590,32744,100680,69418,12019,31073,79074,91694,251620,180369,13632,249184,582467,443754,1128039,869369,63723,614121,1023698,570703,862379,515015,46871,1393624,862956,222078,144516,94776,21562,453246,121428,19219,10918,7853,2161,243450,20817,5126,4627,2373,497,
10176,52570,62873,5787,19616,3486,24995,145003,149405,12351,45896,4113,213464,1100848,678386,47400,207819,20561,751998,1904523,857620,48687,132492,21861,1732491,1058154,244524,15185,26994,13978,758454,197502,30934,1307,3550,855,247297,23831,9492,435,588,184,
3270,8181,20687,16047,19621,1341,6128,34562,67167,49654,75234,2425,39760,166795,185836,141485,263607,4888,91591,228649,141139,99069,152301,1331,128060,104545,30094,11735,16619,227,39736,15331,3156,1325,1764,272,15263,1985,633,561,592,70,
2002,14364,23517,1144,7221,365,9138,67668,94433,3522,24780,912,50803,292971,264661,10930,76861,1289,143606,498555,233675,10308,52765,758,186589,172072,32510,1874,5669,370,81377,37700,4150,348,751,0,23842,3824,1064,75,218,0,
1870,3235,9576,4034,4119,744,2318,5608,7515,7595,8446,426,11320,37782,33336,24288,31760,849,39831,85722,34764,27315,28287,475,226072,103605,20152,10639,9545,216,164298,25824,2983,937,2810,53,69070,3850,1199,109,605,18,
1752,5275,10437,702,4872,283,1277,7367,10157,620,3179,9,9377,50555,40494,2385,14506,521,42653,108713,42574,2520,8473,410,212682,126051,27093,1318,5784,328,123530,31086,3630,242,1944,29,62744,5782,2087,137,120,0,
17669,46665,259338,462307,208393,82850,14592,50311,94678,180280,117620,15538,65195,206824,255319,445528,290598,28708,119003,245785,144956,181821,116518,7635,128685,90692,37447,32952,18637,1659,41222,12515,2913,2692,1953,266,22526,3106,2512,2538,932,0,
9474,63366,207165,18188,105205,33607,12475,91915,97840,7893,44479,5388,57043,355784,244250,17611,88823,11630,130013,445715,172550,9059,37538,3582,173519,134435,35500,3014,8842,968,60389,22096,4242,170,616,105,21158,4694,3194,96,729,86,
382,1143,3492,6289,2695,2334,911,3124,4084,7024,3748,1210,2951,9460,11451,19009,13634,1599,6737,11387,9121,11475,6311,771,5473,3209,1164,1082,406,146,1756,592,211,170,62,44,758,107,61,34,0,14,
201,1602,3982,285,1186,676,593,5447,4905,364,1494,70,3009,20325,14896,867,3639,367,9423,29082,13072,999,2355,381,7990,6131,1725,102,296,53,2825,1153,194,0,0,0,935,49,117,0,15,0,
222,503,1078,3855,757,403,279,588,526,1496,1017,0,784,2766,3009,5645,2857,286,2650,4418,2765,2845,2222,0,5926,3150,1241,728,544,22,3349,871,55,29,76,0,1333,63,79,0,35,0,
78,275,1673,12,590,254,79,1501,1707,39,378,0,899,5187,4689,616,1042,12,2873,8062,3030,54,903,31,5103,4520,1509,134,217,0,2635,1016,140,0,0,0,985,305,5,0,0,0,
634,625,812,2235,1787,16,462,2377,3997,5376,5478,329,5989,14973,14617,20001,18902,612,14587,30016,18587,16433,14446,390,25292,14485,4334,1799,1518,231,7664,2675,338,135,141,17,4292,516,117,27,89,0,
213,1783,2371,118,316,18,643,4240,5375,162,1510,37,5161,25082,16909,1377,4663,554,19273,55479,24908,1975,3038,352,30250,20626,6338,365,522,249,12726,5084,616,0,77,0,5453,731,287,0,0,0,
16687,27676,40527,117953,84580,15627,43575,73137,75646,268684,190477,15432,402276,656646,439807,1313353,1042125,77707,870451,1018270,477741,874844,547975,46667,1637144,892030,197925,150326,101829,23486,761169,207123,29772,17592,13984,1997,483476,34074,7465,5542,3729,523,
11185,49840,72154,8091,30786,3030,26541,144171,146029,14430,56607,4867,339728,1501436,739702,69481,300511,27296,1047824,2139900,684365,63715,161951,24519,1712736,970695,179619,19500,27495,11296,916489,227319,32679,2766,5768,1255,345786,35632,10780,802,843,452,
2342,7521,19571,15675,22204,2102,6838,21556,52468,47003,66135,3856,48352,143750,189654,168972,294725,6759,106283,184517,132328,105624,154655,1619,121932,90961,31592,14628,25925,340,58244,23351,5166,2430,4245,98,25614,3987,1136,837,938,0,
2815,10247,32995,1925,9280,511,7483,43559,96844,4278,27780,962,60806,297771,292798,13967,107538,1630,187903,487251,211097,12265,65245,1694,200944,147673,32589,2483,8275,111,99881,42913,5521,517,1185,30,31799,5465,2485,19,105,0,
3691,6099,16859,10554,14112,643,2432,8788,10530,8562,15006,664,15260,36823,40103,32955,45339,796,43621,67698,31465,33167,32595,817,187077,95143,19752,12630,15889,397,152555,35231,2848,1853,2989,146,111567,6581,1263,497,726,65,
2184,8506,23291,2447,16399,818,2194,10096,15995,1322,10299,235,14008,60003,62413,4219,24898,595,50644,97110,49551,3530,12328,551,179831,112010,28015,1964,7694,315,108062,29174,3776,408,1352,22,68307,5631,2651,112,331,158,
21584,49320,210814,373220,236220,70514,15693,40729,63651,126212,101907,9371,66155,136972,175747,318298,250411,19972,111845,162998,110785,145877,107338,5651,122535,76607,33700,35354,25110,2070,55555,19077,4437,4668,3178,492,33179,5162,2464,3765,2356,159,
11512,61870,250982,21624,136245,35156,11163,61357,94136,5753,38111,4182,56821,273431,237003,17944,94164,7990,128292,334808,139117,9565,37430,2229,138511,97672,39341,3049,10541,634,64251,22443,5067,463,1308,390,25450,6530,6252,323,872,102,
458,1362,3352,5343,3889,2330,1127,1743,3627,5862,4114,596,3560,6523,10256,19937,12938,2033,6656,9964,8907,12810,7230,501,5989,2840,1417,1130,832,412,2323,476,349,114,127,0,1308,230,105,223,185,0,
407,1501,4216,398,1177,843,422,3422,5192,481,1905,110,3701,19723,13902,2169,5160,491,10838,28848,13462,1376,3347,239,9335,5333,1544,251,278,0,4485,1709,303,0,0,90,1268,432,26,14,18,0,
62,462,1125,2665,934,248,193,660,554,1230,709,0,1169,2231,2674,4783,3300,114,1993,2554,1962,2938,1683,4,3635,2863,536,857,652,85,3015,987,59,189,176,0,1696,271,0,30,0,0,
131,496,2132,169,536,108,90,839,1572,322,238,0,1313,4821,5554,222,1031,0,2730,5722,2617,250,543,116,3805,3037,1028,135,91,50,2583,780,197,31,27,0,1298,313,213,0,29,20,
206,840,1191,1964,1889,186,1024,1828,2267,5798,3973,204,5133,11458,10835,19308,15552,762,14882,18465,13401,15623,10204,662,19804,10260,3698,1577,1401,274,9676,2968,935,469,102,0,6838,756,155,74,69,0,
520,765,1653,87,467,0,628,3094,4170,397,1110,54,5970,21836,13286,1259,4474,308,20148,42361,16705,1389,3711,443,23323,13603,3488,299,683,111,10370,3541,583,26,123,0,6579,907,129,0,27,0,
19156,27704,42371,114020,106415,13757,48464,75698,76096,268043,218207,18492,500347,769688,455379,1442306,1209607,118764,1016523,1113978,439365,991392,614170,68300,1629532,844614,149673,165496,118845,32196,855590,231774,31281,25424,19621,4070,609813,52179,8114,6652,4778,1353,
11714,46672,75760,8007,42669,2640,30821,151829,155235,13458,72026,5117,466232,2060368,851779,87668,410461,36119,1272059,2498996,614856,73399,182769,28750,1629066,914154,152060,19854,33125,12477,1016019,240576,28052,3621,6158,2633,339646,40745,10936,708,882,707,
2456,8001,25860,21932,26270,4010,6331,20148,53734,49943,71335,4948,38625,108583,159316,155309,251422,7640,82749,155979,115933,99373,141888,2188,104632,75784,26981,15081,23828,574,54314,21538,5054,2558,3754,69,26470,5702,1588,478,1153,122,
1679,9688,40378,1692,12138,772,6629,34378,102726,3359,31581,1053,54562,253295,277896,12804,110772,1774,162838,413067,181030,12766,57736,497,167159,117633,26754,2488,4916,186,100043,35816,4542,550,1438,0,28483,4601,1344,38,237,98,
3355,9433,21576,11088,17017,1478,3713,8353,11491,8594,13443,824,15378,31803,39188,29220,40914,1475,35076,57900,26155,30596,30733,722,99511,70559,19903,13980,19405,1110,75714,24660,2890,1919,2987,178,73785,7133,924,516,927,127,
2725,10989,30493,3226,24004,925,2752,10596,16498,1407,12440,210,15345,56799,59078,5698,30681,817,41963,86234,41252,2963,14441,625,125941,92115,27691,2575,10136,297,54867,18603,3413,635,1058,58,32920,3837,1385,69,470,0,
17992,37212,143152,213221,175553,54186,9053,22730,39151,63203,61080,5074,42838,88007,101658,168287,151855,9285,77516,108840,68883,101335,75951,3993,85282,50378,21200,24912,19698,1680,39884,13694,3895,3794,3270,159,30360,4612,2610,2636,2113,283,
8333,44802,209774,15285,112628,25673,5856,33637,65821,3538,25829,1724,39639,189736,163744,10670,62171,3472,94238,233359,95799,5753,26373,1266,89093,63085,26631,2226,6273,386,47157,16780,4515,313,1344,132,20870,4650,4056,125,523,37,
453,804,2491,4712,2700,1174,569,979,2399,6768,3111,430,4347,4860,8101,13904,12356,1362,7548,8458,7321,12872,7479,578,5835,2862,1549,1066,1051,180,3143,767,156,236,122,0,1232,372,152,110,99,0,
490,1058,4029,336,1459,367,490,2875,5594,737,1444,117,3660,17153,14308,1539,5256,346,10342,25651,12737,1199,3018,337,8350,4124,1538,58,372,18,4450,1599,150,67,84,25,1082,402,74,0,49,0,
37,526,1098,1672,752,289,144,465,489,1473,1207,148,1058,1934,1790,2689,2482,45,1582,2505,1025,1273,1609,156,2531,1535,536,296,491,0,2443,570,122,77,210,0,1168,57,127,0,0,0,
124,299,2210,53,682,92,29,555,1073,39,246,38,582,2997,3570,148,1157,29,2703,3869,1298,177,609,30,2837,2302,500,0,401,0,2094,630,104,0,0,0,1096,87,89,334,0,0,
323,524,1344,2123,1363,174,602,1363,2003,4118,3148,314,4868,7760,8064,17479,13501,1130,12139,14214,8727,14601,10790,804,13703,7210,2124,1724,1389,157,8287,1824,539,415,246,0,4564,453,118,145,52,0,
106,1109,2369,41,502,84,510,2951,4263,308,771,0,4595,20238,13829,1199,4162,478,16760,36826,13283,1203,3667,326,17436,11827,2543,393,419,168,10183,3610,595,126,127,42,4494,675,140,26,44,0,
17506,28313,46873,96811,109080,14485,27393,53794,51600,131682,133458,11446,275634,504380,302507,741680,708912,77021,723327,872293,309783,608409,451949,57393,1147295,660627,122902,131339,116601,37237,797618,252092,36195,28091,26111,7972,629718,64958,8632,6725,5863,2180,
8967,42506,74053,5041,41517,2442,24285,127687,123963,9297,58195,3870,315237,1643580,586692,49189,275019,23878,790644,1758480,355503,33824,98885,20040,970528,580883,83756,10576,19784,9429,884364,243669,25089,2503,6384,2956,251732,40633,7624,730,1091,762,
2378,5637,22361,19776,28420,4492,3763,11143,31826,25413,42813,2585,18546,51173,75481,70086,124745,2870,42159,75989,59454,47721,72614,1245,51621,38869,14033,7730,13967,459,40903,14528,3845,1282,1620,107,22328,4682,1162,339,441,23,
1461,7603,41896,942,10523,926,3840,21305,69026,2248,18734,818,31056,152684,160797,5759,56913,689,86898,210515,84442,4031,22188,567,80042,53106,10646,610,2266,149,77661,23765,2851,150,550,0,19008,3349,1071,38,62,59,
2762,4740,16798,6755,11468,961,1730,4690,7742,4060,9037,369,8953,20275,22797,15742,22339,698,19000,34420,19393,17418,18227,539,61542,46147,15172,8957,13534,742,41156,15605,2336,1534,3081,61,44185,5036,677,435,568,25,
1926,8565,27552,2468,18418,963,1840,7155,12777,1049,7627,241,8055,32713,36469,2766,17265,536,23480,44884,21913,1913,7240,279,63460,58601,17097,1278,7158,187,26807,10882,2163,104,474,20,18900,2440,758,30,232,0,
8020,20635,84642,89906,106744,30898,4097,9062,21015,23856,26314,2736,17214,35972,50967,62581,67992,2945,36287,53394,31623,45358,37381,1921,39999,26656,11885,9406,8969,693,25126,8452,2002,1598,1223,161,20178,4017,1593,1357,1432,121,
5037,25358,130391,6320,50045,11642,2406,17099,32752,2358,11708,910,18382,95030,81849,5229,28875,639,38368,103665,42391,2761,9300,633,33675,23555,9912,897,2798,181,25618,8428,1656,90,625,44,10304,2670,1222,0,313,56,
223,408,1726,1801,1658,1561,529,523,1474,1456,1942,282,1674,3794,3824,6344,5922,831,4103,5655,3604,6269,3306,641,4759,2392,816,688,516,105,2409,1044,175,459,43,64,2066,373,87,92,7,46,
294,1060,3290,106,762,103,346,1401,2725,441,791,37,2908,11191,8163,758,2832,205,6113,12954,4348,319,1349,190,4816,2565,747,125,151,4,3564,1006,162,52,65,55,1343,189,122,0,30,0,
61,286,603,758,437,243,52,61,385,241,602,0,312,1103,1151,1134,578,49,446,1140,406,1091,405,0,1283,828,207,201,210,20,1130,552,184,62,34,0,1038,195,41,51,53,0,
32,510,1358,0,383,69,29,246,594,64,179,0,77,1699,1828,42,181,0,621,2451,901,0,290,0,1049,808,252,0,115,0,1094,370,0,0,0,0,895,226,35,0,0,0,
317,419,1470,1302,1703,160,386,747,1084,1538,1568,157,2236,3684,3344,6600,6083,521,6871,8886,5811,6491,5882,290,7769,4450,1526,1135,996,110,5992,1898,496,258,255,95,4565,588,159,8,99,17,
294,696,1751,203,650,59,482,1568,2564,205,573,90,3003,12318,7425,372,2256,245,9540,21303,6630,604,2400,198,8385,5563,1210,0,421,122,5616,2611,282,28,87,27,2620,540,146,0,0,17,
19950,39271,55507,73841,85949,33703,26604,52376,54916,71411,84238,18792,152786,299753,201685,259613,310253,92390,271612,377485,134873,143171,160243,38164,392128,250488,50562,33330,44723,21425,266829,111316,20633,11972,16629,8060,351036,50639,6778,3470,4077,3657,
7912,44822,76322,5692,27943,3678,16596,110596,97110,7091,35968,2997,139744,828793,303981,21136,98532,15826,250650,657590,136231,10967,32184,10315,246385,182804,27604,2645,7042,4402,202293,86490,11479,1080,2824,1045,80199,18349,3320,294,724,311,
2090,4718,20875,13115,20728,3618,2541,6204,18726,9476,19444,1547,6294,17160,32048,16900,34176,825,12702,20466,19288,8754,17340,416,12011,9106,3701,1566,2631,117,13232,5738,1205,497,874,69,10823,2351,588,112,229,65,
889,5924,35790,884,5058,798,2566,11103,42938,1193,7951,508,9093,45913,65104,1777,13621,256,20677,55258,27343,906,4080,94,21080,11647,3064,183,601,48,23258,6682,1464,20,298,74,5914,1224,517,0,0,0,
1348,2453,8153,2135,4401,799,674,2061,2368,1285,3289,157,3195,7538,9285,4079,6794,775,6420,9451,6467,3309,4782,565,18429,15296,5760,2316,4033,622,13348,5137,742,273,666,233,24898,2867,793,413,598,92,
