2008 Families by family type and poverty status, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,AgeAll4,FamType,Pov
7,6,3,2
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
77323,631054,39798,151746,208333,174783,
256578,5329820,64698,462934,462828,764712,
260940,8546004,71396,654406,393163,1392499,
221409,10029425,59384,716741,215724,1442807,
207817,8292028,27255,342864,82506,749203,
231543,8283587,17529,313826,82744,1076979,
10853,53046,21139,52333,167254,103334,
48101,504054,34834,139180,421277,488254,
60678,895722,32369,163627,327995,700917,
53152,929312,26894,137553,181355,573449,
38242,633249,14892,70518,86651,308860,
39195,483344,13402,71833,80466,315477,
2568,14372,3906,12168,5977,11699,
22342,420366,4363,48681,12715,49409,
42959,741473,3911,49157,21735,82475,
34942,610904,3894,41466,15355,90995,
18878,386407,1723,22148,5672,48893,
25184,247022,1649,13544,4177,38202,
42505,159330,23925,96400,83063,75532,
244468,1219360,55714,293179,245986,285297,
236704,1579008,41835,243636,229550,386462,
105730,1159237,21010,161237,105980,322853,
57300,650235,9184,66042,41559,150388,
62833,462858,6360,42650,28445,131403,
1560,8660,1167,3709,7877,5374,
7427,43913,2819,9126,16423,17186,
9482,66065,3529,12474,16540,27303,
6423,73491,2452,9594,10389,24096,
4543,54641,802,5971,5594,13645,
3629,35664,1045,3798,4623,14173,
315,2266,741,1087,1197,1075,
1453,20222,167,3806,3283,4333,
1657,25104,275,4050,2854,7764,
963,20419,197,2268,1358,5570,
522,10090,73,1553,445,3026,
716,5256,0,736,233,2154,
1830,13054,1742,4886,9744,7344,
6527,89250,2616,13276,20105,30156,
5059,114945,2142,13537,14435,33799,
4280,109013,1938,11578,8550,30069,
3270,75549,979,5711,3489,16136,
2788,52306,484,4787,1812,14401
*****
