2008 Family type by poverty status for Asian groups, all ages, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,AgeAll4,FamType,Pov
7,6,3,2
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
319,1642,925,3150,720,2655,
5592,71018,830,8952,1731,9173,
9758,168776,969,9621,4106,17250,
10801,158892,1014,9857,3452,22437,
5693,92655,563,4901,1256,9626,
10969,66597,540,2566,918,6868,
27,521,123,149,49,148,
547,13713,286,1082,268,1492,
1148,35568,192,1470,853,4280,
341,36529,100,3265,555,4974,
246,26906,49,2159,260,4283,
555,36042,50,2320,465,9687,
153,2253,190,1768,707,2032,
1206,58336,564,8731,1735,9955,
2105,111524,521,7940,2744,19893,
1673,103381,469,6998,1626,23855,
1456,75445,442,4311,1100,14874,
1900,49523,199,2887,541,10735,
222,944,582,800,529,1193,
2991,34059,404,4959,894,4540,
4309,72677,416,4468,2324,7491,
2613,62578,293,3583,2425,10731,
1733,34905,48,1796,471,4266,
4355,25763,224,891,640,2436,
265,2464,558,1722,285,987,
5200,152546,332,7191,1292,4351,
8225,186793,409,6929,1306,8077,
6065,111153,610,4302,1154,7294,
2544,71260,99,2744,83,3623,
2765,31026,95,1174,158,1312,
254,1314,509,1457,996,1452,
1664,33656,612,7671,2258,7741,
6531,75289,718,8621,4003,12071,
6130,58966,492,5811,2380,9772,
3606,40581,200,3122,1003,5029,
3001,20655,421,1900,969,3076,
1328,5234,1019,3122,2691,3232,
5142,57038,1335,10095,4537,12157,
10883,90846,686,10108,6399,13413,
7319,79405,916,7650,3763,11932,
3600,44655,322,3115,1499,7192,
1639,17416,120,1806,486,4088
*****
