2008 Hispanic population by Hispanic group, age, gender and immigration status, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Hispanic,Immentry,Gender,AgeAll
6,5,2,8
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
Native, FB<1980, FB80-89, FB90-99, FB00-current
Male,Female
0-4,5-14,15-24, 25-34, 35-44, 45-54, 55-64, 65+
1780628,2564271,1661408,1135111,748535,564281,332443,295561,
1715274,2473221,1607409,1067000,733923,573847,347990,372798,
0,0,0,56439,173894,353175,243237,191066,
0,0,0,51224,155381,272806,216556,212986,
0,0,86979,226284,633856,280017,79319,34898,
0,0,82020,174590,386324,222916,69639,41676,
0,113262,321612,888341,487496,143575,48525,27787,
0,105022,269212,606845,465376,153766,64462,43511,
49285,244650,575412,688058,275979,100501,31833,20059,
40528,222140,344191,449066,202518,84127,38925,29259,
214679,370496,319098,313173,289202,222488,144744,117993,
198480,360152,326709,301170,308123,241623,169113,159568,
0,0,0,448,647,1549,1732,1949,
0,0,0,384,930,1825,1454,2519,
0,0,538,1222,1432,1264,495,713,
0,0,371,703,1027,943,475,632,
0,408,1007,2156,1744,732,189,430,
0,278,993,1760,1701,1196,518,269,
383,625,1580,1826,1058,462,295,29,
108,310,1965,1155,766,547,327,99,
50093,73255,70049,47422,42077,17295,7572,8285,
44712,69879,69153,44968,39057,17528,8082,10067,
0,0,0,1398,20149,49326,29372,86270,
0,0,0,886,20012,45086,42159,117718,
0,0,1603,9576,15166,19847,20972,16110,
0,0,1295,8150,12156,13471,12545,16792,
0,3055,11492,14705,35045,20133,14254,11090,
0,3640,11248,15904,23960,16075,10377,15381,
1370,10370,12204,17078,28045,13082,7167,7057,
1287,8764,12774,15525,23047,12718,8513,11115,
216755,313897,194368,77595,37214,16091,6206,3957,
214413,290787,195062,72998,39641,16003,5781,5642,
0,0,0,8196,30333,62309,48587,34243,
0,0,0,8659,31808,69610,67573,68841,
0,0,18477,75688,154408,111497,39079,16907,
0,0,16701,66681,141275,119190,48710,31941,
0,12129,68762,191474,135111,50826,18794,12365,
0,13884,60702,136907,138122,63558,26973,23083,
12810,46004,147870,192297,75214,26195,9849,5064,
13006,43665,97533,120879,58578,27580,13527,13052,
101620,118307,78944,50027,34332,11270,4280,3790,
90150,112080,81612,48115,29328,13992,5150,4261,
0,0,0,5126,22474,35656,43058,39676,
0,0,0,5002,20142,39798,48077,56170,
0,0,7674,25846,45535,55917,19345,9568,
0,0,8074,21282,42322,55805,24728,16220,
0,10800,35972,64788,66628,39618,14678,8735,
0,10735,32882,56588,77567,43397,19269,16118,
3829,34791,55702,70783,59645,35115,14428,8697,
3507,35074,51254,81294,67115,40068,20011,15492,
159312,262367,224738,159183,145263,122944,82194,80292,
153365,258197,220904,162148,150988,138272,91667,110344,
0,0,0,2255,8959,15213,15589,20862,
0,0,0,2389,8954,16842,20253,29507,
0,0,2863,10666,22854,15259,5619,2696,
0,0,2861,8128,18220,16162,7608,4409,
0,3506,9296,21579,17160,8155,2804,2031,
0,2631,10022,17410,19775,8702,2867,3251,
2083,6241,11806,18465,11307,5063,2247,1424,
1952,7115,10481,14649,10707,4731,2608,2997
*****
