2008 Marital status for Asian Alone by Asian groups, age 15+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,Gender,AgeMar,Marital
7,2,6,5
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
15-24, 25-34, 35-44, 45-54, 55-64, 65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
4309,46,188,126,195679,
90401,343,3278,1277,121941,
202359,147,9181,2528,46750,
198064,967,11800,2668,18997,
130366,2156,9052,1526,7959,
126342,13921,6088,1753,3929,
7467,213,89,157,178150,
128136,362,5758,1904,95125,
231968,1234,18295,3808,34439,
202210,5225,24439,4490,19113,
124452,12382,15803,2758,9877,
88845,76865,8495,2767,4976,
659,72,86,33,31652,
15425,8,852,312,26577,
38255,209,3383,897,16434,
40524,330,7479,1113,13663,
30705,583,5543,564,6286,
41701,7420,3507,164,4366,
2359,0,48,67,34204,
31096,116,2077,669,22617,
56353,423,6740,1499,13150,
46928,908,8571,1309,8290,
36583,3587,8835,1050,4575,
49263,43912,10345,576,5611,
5448,79,511,297,148298,
71973,372,6110,2092,87672,
127348,285,11482,3477,37693,
119954,1201,11972,3034,16459,
95639,2435,7181,2093,4785,
82777,11347,4659,1442,2449,
10225,159,477,513,130339,
110012,1214,7956,2472,66813,
180714,2468,21828,6769,32733,
162291,7540,24105,6387,18968,
112069,16364,17437,4051,12643,
67647,70680,7508,3515,10044,
2007,165,85,25,98585,
39700,88,2122,544,60424,
82893,169,4324,1112,17918,
73255,201,3624,1255,4206,
43677,601,3099,664,892,
42235,3769,2846,945,1043,
3745,228,326,248,98632,
61966,365,3451,844,52796,
104759,1051,8875,2413,13668,
92523,3361,15434,2896,4989,
54055,7758,10367,1424,2334,
33016,30509,6570,978,1954,
4727,114,15,12,147861,
185565,444,4125,1665,119234,
225891,262,8763,2342,20885,
139053,808,5925,1880,5987,
95179,1706,4357,868,2799,
63465,7103,2387,895,1128,
19226,371,164,147,118708,
220989,721,6021,1606,45924,
177354,1600,8295,2646,11455,
111470,4959,7282,1291,3583,
74765,9895,4606,1143,2344,
32049,32041,2118,555,1413,
2949,41,98,240,91681,
43737,264,2718,978,58664,
101814,554,7118,1785,31216,
78416,935,6405,1674,11122,
58833,1613,4781,1659,3433,
42898,6410,3189,2329,1806,
6985,194,266,370,83348,
68353,206,5773,1850,40914,
97767,1387,11455,2910,22867,
73856,3539,12185,1946,11255,
51527,9478,9120,2162,6423,
29876,27111,3903,2116,3336,
9717,329,483,538,178934,
77544,356,5437,2182,90057,
121577,568,10202,3133,29707,
104938,1079,10260,2084,12241,
63242,1447,6406,1678,4013,
33789,5841,2624,1656,1860,
20225,645,790,1262,159426,
110045,257,7994,3518,65031,
125065,1530,15044,5506,20826,
95748,6007,16537,4575,10922,
51805,11858,11244,3167,5417,
22148,29028,4343,1780,2229
*****
