2008 Marital Status by education, gender, and race/ethnicity, age 15+, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeMar,Marital,Educ
7,2,6,5,4
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
LTHS,HSGrad,SomeColl,CollGrad
104879,282155,264753,91729,
5516,2708,2151,293,
11261,28884,18451,2320,
9382,17082,9430,1522,
5032326,2971135,3705805,710576,
397102,1521098,1832838,1919622,
2687,7203,3887,2327,
94216,303763,255486,110937,
33425,87985,58959,20205,
493588,1589180,1609690,1646593,
558530,2456081,2633858,3457177,
9714,19178,12254,9219,
215006,703308,541658,328458,
46225,113320,79123,52007,
320135,870447,706353,797566,
700437,3109062,3069172,3737403,
22332,57699,39867,28962,
293066,965629,772339,516773,
41683,105479,79690,63108,
255849,630534,514164,558203,
694026,2272358,2570591,3470873,
42485,89157,72919,67031,
214078,560553,568054,518653,
25089,46824,42548,46697,
124953,220122,218766,314084,
1702546,2899599,2116605,2776217,
518931,592092,326039,333170,
238541,332684,254259,270583,
27039,29670,21151,22704,
139302,157761,96390,163459,
143104,379704,498418,199517,
6244,4701,4249,844,
18046,42230,47428,6543,
19451,30882,26460,2231,
4359125,2133460,3696185,938503,
323437,1379126,2252737,2645192,
5549,12706,13430,7769,
94705,298846,419865,187270,
53314,108382,116386,39613,
246958,790712,1172939,1635357,
428673,2269431,3085803,3692654,
19015,44774,48079,26412,
166533,641711,809301,484908,
53039,129591,142701,76380,
150690,407276,502518,710710,
552576,3197740,3527235,3460133,
54116,154969,141838,87175,
213384,882236,1087782,735322,
46257,117396,121850,75293,
118169,323883,362858,530871,
613626,2798221,2498227,2489982,
161273,387104,302740,187504,
195935,699461,839449,679423,
29895,56821,51558,40192,
72983,167085,175198,314978,
1195852,3165310,1748761,1360559,
2102766,3186930,1459713,846133,
308438,621018,497614,341524,
25094,31593,18873,11718,
130376,221145,122735,226214,
25169,45278,34303,4370,
3325,1183,679,148,
2187,2905,2897,203,
4812,4644,2305,244,
1536680,802088,652990,70826,
76156,240850,254805,141400,
1330,2178,1542,560,
15347,43058,39837,14190,
13396,28076,24532,4933,
320395,615818,446071,224743,
109466,412692,380039,261942,
3385,6525,3092,2079,
37696,120356,95321,45145,
23813,57601,38873,13399,
206586,381346,222094,104852,
152832,405610,358647,251250,
11405,15067,9588,4283,
69282,152000,128684,56461,
36490,58144,39754,14557,
178280,240217,132914,62023,
152135,255330,219957,163756,
21537,21216,13039,5914,
67275,102661,84948,45856,
28915,33610,21657,7710,
74993,73771,42812,24069,
259804,186463,121430,89652,
129320,57677,25921,16978,
70769,53308,31715,17682,
31576,16653,7933,3732,
52191,26744,11720,8390,
23774,46479,52527,10883,
2376,1622,711,29,
2255,4617,5479,714,
4518,8051,5654,535,
1298564,713245,814317,118249,
58240,180479,273334,183139,
1897,3746,3199,1330,
14855,45819,71242,28244,
20071,42237,57704,14919,
235347,524823,592192,343428,
87992,305410,397326,290429,
7650,15368,14690,5580,
41013,131764,185890,89995,
35448,79243,83100,26760,
169073,375631,355305,194186,
114931,324646,363827,250945,
27154,48207,43612,18331,
72016,179402,233584,120013,
47167,84243,77767,24298,
141366,246411,213271,109851,
106350,220017,190902,140025,
72349,91855,71837,30136,
75309,143598,156254,90722,
36216,42350,34968,11512,
74868,98529,73505,45206,
145943,144692,84994,67220,
495051,271991,131893,81003,
92712,91918,67149,43906,
33949,20711,11676,4207,
78289,48793,23256,17801,
4889,9120,11225,4582,
406,209,214,17,
30,432,761,243,
422,411,413,25,
302145,169387,311834,109324,
28402,65065,93119,337759,
436,124,454,861,
2549,6119,8163,7811,
932,1609,3764,2745,
30548,77923,128558,327540,
75820,127228,155638,541451,
393,597,584,620,
6389,12047,14102,21915,
2002,4490,3046,5736,
24643,37450,44902,93608,
98098,137100,151686,367320,
1378,1362,964,1817,
8260,11537,15682,21986,
2168,3079,3323,5138,
13875,16871,19101,32828,
79036,89765,102472,246368,
2213,2005,2071,4252,
5142,8152,10668,16457,
2359,1676,2121,2896,
5192,6254,5875,12846,
106700,85248,64242,177017,
20199,14149,7586,13877,
5307,6532,4778,8683,
3203,1943,1374,2664,
4174,3625,2797,5985,
9639,17051,23830,19712,
807,698,247,58,
201,742,977,240,
756,946,807,255,
268320,133219,294152,107116,
44961,96382,136259,452995,
289,810,853,1289,
2947,7736,13759,14588,
1317,2759,4911,3876,
15512,42308,85237,246163,
96901,160127,190811,526141,
1637,2348,2214,3494,
11689,19134,24673,35036,
4349,6517,5699,8986,
15110,22917,32420,78691,
124745,159146,161182,339953,
8583,7417,6725,8814,
16487,22684,29524,39858,
4562,4717,5181,8434,
12017,14482,16407,34214,
112924,105939,90660,195733,
24855,16355,10795,19317,
15999,17908,18301,25204,
5034,3152,2691,4878,
9005,7209,7880,19519,
108079,80229,48001,86535,
152926,76985,34375,45860,
12810,11793,7881,10798,
5622,3154,1171,2340,
7842,5951,4056,11714,
143580,122975,56258,7898,
3339,1246,221,0,
4629,4995,4187,386,
9036,6127,2518,449,
1880708,863643,620190,65052,
820003,620350,385905,186412,
2939,3090,1103,898,
42941,61663,49417,15613,
45417,37889,23047,5778,
728995,634752,392266,206502,
939750,633538,438927,298388,
6086,4790,1453,1787,
86144,98047,72807,37890,
52753,40288,20735,9730,
315549,241632,136373,90748,
654922,396131,311687,232095,
11706,7021,4679,2567,
90315,93900,73838,39254,
44813,26513,16386,9360,
130670,88234,56417,36785,
396313,196762,167664,134047,
18172,8956,5352,2485,
56863,46010,38746,23989,
24138,12945,8144,5061,
49260,23583,17487,13011,
393033,143546,95633,84261,
89899,24939,12807,8759,
49141,24555,14574,12104,
21977,6384,3180,2371,
32881,9723,4722,6366,
179564,177645,113975,19201,
2767,1345,880,114,
5885,9211,8012,881,
17819,15260,9438,1092,
1426011,631949,695273,90307,
629695,528802,440300,266450,
6387,4850,4214,1337,
44266,63994,76268,27101,
68083,54291,41838,10120,
332036,339485,324837,203942,
689022,527653,454166,322041,
18290,11675,7928,2842,
86453,112708,118224,55036,
86293,59577,45077,16822,
188183,148066,110384,75994,
506860,357725,304445,200651,
38536,21997,16760,7640,
101662,110552,118584,58678,
76965,39308,27365,13022,
106610,61103,54705,38415,
323571,198565,143701,84072,
80613,35676,23318,10371,
84874,69639,61222,33635,
49180,18028,10165,6371,
63630,25890,19353,12609,
278298,123827,60094,38951,
371835,111269,50012,32028,
91455,42633,26292,15186,
36771,8700,4204,2815,
63095,18444,9322,9219,
4519,4917,3278,593,
103,79,48,44,
200,352,325,0,
820,513,114,0,
109380,56829,37402,2235,
13920,21878,21178,8274,
89,256,16,9,
2033,4551,2166,488,
1634,1486,1228,289,
24977,37484,25214,6620,
17162,29211,26281,11856,
578,421,543,109,
5264,9918,8069,2524,
