2008 Marital status for Hispanic groups, age 15+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Hispanic,Gender,AgeMar,Marital
6,2,6,5
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
259910,3661,10570,13805,2357465,
1490412,6089,111526,77501,1308705,
1581944,9574,173238,76580,478424,
1021921,16444,170788,55636,176760,
546625,20959,90742,25221,51810,
392766,84113,49742,16251,26499,
377098,3825,16643,30968,1874298,
1338271,12123,129014,117846,751471,
1297407,26411,199567,126183,293954,
840620,49907,196605,88180,132150,
440752,85464,115359,41203,54794,
271844,289635,72513,23343,42895,
17566,301,1073,1476,301807,
117633,480,18805,9492,172415,
156930,1147,32844,12228,90934,
129902,3377,37010,12415,43791,
88450,5138,25722,8284,19861,
75073,14627,16779,5750,8885,
23983,404,2002,2576,301073,
116606,1330,25425,17202,144609,
148335,4599,51295,24364,83954,
118496,10328,53648,19220,44442,
75266,19325,40647,13732,22917,
48924,64363,28332,8178,13290,
4780,83,710,473,89302,
40445,227,7099,2388,40020,
89310,470,17132,4586,28984,
75901,846,19890,5086,17960,
52910,1706,12330,3108,9283,
89307,14969,12520,4302,7714,
8357,0,969,1392,83752,
45047,323,8280,3843,27940,
76035,1539,21617,5674,13367,
63608,3070,23326,4024,10850,
45494,7706,18632,4037,5807,
62840,70339,24165,4139,9590,
29702,396,1041,1859,396479,
221595,910,15296,14363,293086,
263287,2084,31763,20384,114762,
179078,2727,28299,14904,41910,
86180,2786,13850,7243,12456,
49566,7159,7282,4327,4202,
45832,606,2160,5917,315483,
192501,1675,21636,22279,168033,
235370,5605,48971,36974,82504,
156118,11464,52251,30676,45432,
71416,18404,32610,15835,24299,
36267,54164,21952,9411,20765,
11362,231,342,594,165763,
98230,291,10952,6304,100793,
153118,609,21073,8224,45590,
126681,1950,22347,7532,19066,
71991,1518,11961,4500,5819,
53293,6477,5478,2491,2727,
21448,84,1266,1683,149341,
118577,888,15057,8878,68881,
160939,1992,29548,12794,31201,
121901,6502,36043,11747,16867,
65490,10649,22895,8491,9710,
36973,40614,15214,6484,8976,
15235,217,945,1080,231226,
86223,382,11930,5386,108227,
117854,976,27983,7072,51658,
103862,1586,30115,5462,25609,
72669,4079,18658,3883,9164,
74621,13510,12135,2132,4907,
22533,514,1761,2188,217272,
93627,823,18110,9243,82921,
120693,2415,36600,9812,39124,
103409,6503,42969,8984,22844,
70787,12716,28338,3984,9178,
55700,62645,20650,3352,8161
*****
