2008 Marital status for age 15+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeMar,Marital
7,2,6,5
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
743516,10668,60916,37416,12419842,
5670660,16104,764402,200574,5339051,
9105646,50365,1788430,290675,2694501,
10616074,148860,2547807,289960,1958750,
9007848,271592,1861338,161158,877925,
9494967,1770232,1096067,100564,556912,
1220743,16038,114247,79024,11127273,
6600492,39454,1000686,317695,3845966,
9476561,138280,2102453,401711,1771194,
10737684,438098,2918724,360796,1335781,
8400056,1038621,2414268,178466,730244,
7470482,7595542,1768594,87278,700470,
109120,5335,8192,12005,3062584,
713211,5610,112432,70937,1607027,
1164139,15081,298518,133686,914878,
1168339,40343,406427,148945,613434,
791178,61706,300740,91892,215645,
657349,229896,173474,59894,99045,
133663,4738,13065,18758,2944375,
695192,10172,160160,134931,1695790,
1081157,43288,448662,224551,1094195,
1054349,137304,605015,233475,710899,
657294,266177,465883,125046,292108,
442849,979938,295685,70543,168139,
29816,846,1466,1271,892690,
524345,1875,24642,9050,564569,
900137,2194,54453,15274,200603,
754204,5521,57465,13708,82675,
517641,10541,40419,9052,30167,
433207,55811,25300,9184,16581,
70232,1810,2160,2764,802807,
730597,3241,39030,12863,389220,
973980,9693,90532,25551,149138,
785026,31539,108553,22894,77120,
505256,71322,77412,15755,43613,
322844,310146,43282,12287,29563,
330711,4806,14197,18130,3429593,
2012670,8030,169634,112131,1962515,
2310603,14116,294888,123506,784302,
1594835,25973,297307,97072,312106,
894786,34965,165608,50288,103341,
716473,136404,100374,33912,53692,
490385,5106,23989,43609,2843540,
1865247,16788,211629,174332,1200300,
1992882,40735,372421,207769,522627,
1369681,84933,389476,156660,260833,
749909,149978,249370,83744,121482,
501170,565144,175566,52490,100080,
13307,274,877,1447,205846,
65250,370,9238,4637,94295,
84510,1651,25775,7722,54681,
87425,2788,32855,7126,30233,
64849,3887,22671,3403,9818,
46139,14066,11113,2008,4715,
20072,509,1809,2091,183238,
66679,1331,17264,7201,73583,
87895,3087,32834,10794,44555,
89510,7143,42012,8994,28048,
60025,14486,29110,4901,8826,
31361,47336,15454,2226,5704,
3842,170,155,117,61493,
27931,400,1553,1361,30325,
32167,60,4945,1708,12854,
25905,592,5213,1544,5546,
13818,760,3401,765,1814,
9526,1623,1385,476,766,
6328,289,160,657,53656,
32495,387,3895,1794,23590,
33709,414,6960,3850,9490,
24708,1840,7616,2388,5038,
12867,2664,4342,1709,1414,
6674,9064,2520,639,1700,
17685,265,1568,1404,410519,
102569,357,17364,7356,150404,
125193,1103,35562,8109,65969,
112957,3555,43677,6608,32830,
82783,4295,26610,2982,12017,
60126,15281,15011,1979,4530,
28395,309,2763,3402,393685,
116316,1226,25551,10170,127638,
130400,3506,42769,12139,50396,
118674,9624,54638,9688,28223,
73563,16145,41495,6101,12221,
44617,57043,23075,1874,6253
*****
