2008 Occupations for Asian Alone by Asians group, age 16+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,Gender,AgeWork,Occup2
7,2,6,6
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
28962,45868,21394,4412,6929,491,
113129,48763,21757,9466,8509,325,
137104,50552,32448,16604,15506,544,
96297,43321,41612,20490,19669,395,
51390,27626,26831,11821,14375,295,
16561,7696,7924,2325,4135,379,
25460,55941,21735,753,1696,99,
111737,61963,22271,723,4155,132,
125764,68485,36210,3114,13211,333,
78775,66204,42721,4710,23015,178,
34153,36600,27117,2096,13388,390,
7088,7001,6593,594,3314,78,
2868,7656,4549,1537,1974,99,
18823,11656,3915,2965,2115,198,
30983,12842,5337,5301,2868,71,
29960,14262,5360,6926,3578,709,
17586,9085,4906,4209,2581,383,
7096,4283,2683,1301,1567,670,
3178,11265,5893,412,245,55,
19804,18225,5938,337,655,0,
27281,23010,6453,697,1071,220,
24371,21757,6382,396,1083,295,
14599,17375,6084,743,1419,230,
4825,8487,4509,605,1498,511,
10749,40637,21531,8052,11315,345,
50378,53113,23925,16867,14935,487,
58730,48380,24488,17027,21414,866,
36561,41513,23362,18649,22512,1587,
24320,28445,20772,11656,14034,999,
10703,10222,10022,3332,4705,718,
12193,51829,22106,575,1600,148,
70171,69878,26621,1300,5650,208,
89762,76674,40976,1813,11552,574,
73691,66098,43332,2055,12613,660,
43991,45134,32580,1158,9937,630,
11711,14615,15574,598,3731,668,
9021,21689,12206,2057,4411,54,
42161,28218,7588,5409,4140,54,
51422,29805,6745,8402,5192,126,
26549,26964,7567,9663,7193,214,
13007,14048,5190,5611,6135,148,
7216,6067,2968,2032,2549,351,
10163,31253,15153,162,854,204,
46033,35223,10158,969,1439,25,
40886,31678,15867,2053,2628,55,
25200,35217,21316,2439,8709,216,
10539,18128,12433,1845,7348,221,
2862,4672,4042,408,1715,16,
26913,42989,14003,3493,5483,165,
214946,55190,10206,7804,11830,72,
158709,53394,11150,9110,19844,316,
67785,40358,10978,8766,20625,469,
44812,25900,7086,3859,12504,380,
18999,8829,2843,1166,4073,360,
18106,41013,13038,302,1436,55,
130104,54489,10865,413,5517,266,
81325,50663,15526,619,7989,206,
38043,37612,13561,899,10072,698,
22556,19998,8297,466,4559,184,
4596,4131,2267,233,1337,49,
5853,20301,12880,4161,5650,521,
29642,25732,19946,11289,12914,407,
36448,24948,21816,21527,28544,815,
19900,17394,14937,14939,22436,1654,
11895,11006,10164,9669,16001,607,
3435,3564,3096,2072,5049,518,
7565,26708,14569,248,947,234,
31413,29267,31523,1804,7485,324,
26297,26818,41524,2771,16820,494,
14907,19581,27361,2967,17815,564,
6739,11782,17382,2167,13533,94,
2066,3073,2845,520,2707,441,
11963,40769,29142,10530,19487,1098,
45700,42954,22188,21117,31129,1238,
42807,36442,20836,22247,33288,790,
29480,26029,18311,16480,29413,886,
16318,14803,9966,8076,12624,583,
4302,4142,4032,1582,2485,247,
12818,61672,28634,1306,6349,747,
44753,65784,29096,2378,13977,625,
33915,45202,29136,2935,20030,812,
21526,32704,25137,3107,19923,321,
11891,16223,14836,1133,8230,477,
2067,3561,2786,429,1310,33
*****
