2008 Occupations for Hispanic groups, age 16+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Hispanic,Gender,AgeWork,Occup2
6,2,6,6
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
71162,373756,440870,454841,333390,84877,
228793,405585,573847,984705,542349,129267,
222574,282247,402726,714472,499262,101011,
148008,175505,240728,385471,323809,70056,
71322,81200,118434,148158,155212,36579,
23728,29408,46227,33390,44357,14634,
91467,657116,391089,18408,91583,29964,
257307,705233,518067,38604,212090,51280,
228287,485261,470654,38641,219866,47185,
150156,317102,320145,23815,155332,29863,
61773,143695,158642,11055,58630,13124,
16780,39116,50127,2280,12315,3468,
10522,61746,54264,25896,33738,1424,
45018,73198,57783,52923,56302,1285,
46150,58186,50280,51175,51841,1145,
36620,38667,36732,36180,39639,1078,
19107,20055,22920,18407,24344,855,
4777,7053,9516,3477,8048,333,
15818,116270,54437,1699,8946,1315,
56750,130901,55839,2886,16688,839,
56175,122783,52935,2895,20393,855,
43144,80533,41980,2149,15104,293,
19566,37584,25863,1208,11430,173,
4057,8294,6892,344,2230,39,
5582,23445,13131,7586,7756,337,
21086,21312,10025,18725,13045,236,
34036,26736,15707,30041,24721,887,
30514,22526,13780,23702,18133,366,
15359,13960,10804,12741,13542,531,
8800,10026,7539,7275,7480,525,
7776,34436,13791,163,1447,402,
23551,35574,12923,793,3504,340,
29033,43054,21019,1640,6473,123,
24374,36186,18366,1523,5652,159,
13207,23372,13274,874,4808,53,
4758,10323,6201,923,3598,18,
11949,71289,73847,73738,47486,4932,
43202,79741,114137,180449,99624,8224,
40794,58658,83058,130862,100541,5050,
24538,35008,53717,73929,60691,2441,
11298,15121,27616,23293,28317,1234,
3007,3991,8891,4942,5268,374,
14915,115548,64988,3379,12647,1724,
49162,117792,120684,8479,38964,2541,
41865,93688,147150,10678,47249,2472,
24958,54952,117015,6010,36563,1847,
9671,20977,55694,2219,15210,716,
2371,5601,13861,657,3738,181,
10277,39241,28574,17909,15007,606,
47959,50328,32712,47812,28320,678,
54629,43101,36496,52283,34752,1317,
39866,32869,27489,38541,32249,859,
18528,15477,15991,17831,19087,276,
8546,6969,7410,5063,6548,228,
11976,58798,31674,898,4119,239,
52382,75419,41744,3513,11040,456,
49245,67705,59964,3957,19028,472,
35374,52165,56298,3054,17664,219,
15184,24182,32907,1708,10818,23,
5062,7503,10530,670,3589,74,
11205,47357,43835,28987,24215,2534,
36345,46540,30569,47625,33028,1952,
42351,37733,28616,48830,31982,2196,
32205,32848,20133,35196,27859,1779,
20797,17701,13739,19149,16322,1789,
7585,7912,7220,5851,6127,815,
13210,87313,48950,1318,5878,1031,
41132,87381,39333,2655,9463,937,
47596,75999,41523,2614,12608,826,
38557,64442,35071,2834,11820,805,
19367,35281,23685,1399,5815,379,
6322,13526,10824,442,2487,185
*****
