2008 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education, age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,Occup,Immentry,EducAll
7,2,5,5,7
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
TopWC,OtherWC,Service,TopBC,OtherBC
Native, FB<1980, FB80-89, FB90-99, FB00-current
0-9Yrs, 10-12Yrs, HSGrad, SomeColl, CollGrad, Masters, PhD-Prof
7126,19690,185527,462952,1059810,299706,162769,
31,183,374,1083,2454,638,972,
23,90,1573,2875,8277,2878,3540,
202,534,3068,6868,18721,10951,6493,
131,238,2766,4423,20276,17407,10759,
12654,42414,402008,716588,648662,84584,11872,
29,75,665,1570,1289,171,52,
59,451,2543,4373,4498,773,64,
874,1024,5902,7590,8698,2508,613,
597,505,3943,5659,7163,3217,753,
10484,32548,238592,355554,141794,11331,2168,
0,50,358,818,73,34,0,
0,146,873,1350,757,85,84,
701,604,4107,3038,2014,219,124,
1037,410,5219,3997,2501,271,55,
53206,138980,764738,636741,110226,6826,3146,
51,262,1358,447,0,0,74,
129,558,2524,2087,1296,118,0,
1501,1545,10091,5044,1472,264,53,
2186,1482,11538,6927,3851,1688,168,
33113,94903,577288,347925,60950,3909,962,
34,75,747,567,46,53,0,
61,442,1215,1070,123,82,0,
532,748,6298,3611,1222,82,61,
1377,443,4654,2571,2022,1008,73,
3751,11175,124749,432532,993966,395643,143458,
0,15,230,873,2085,559,595,
24,46,223,2061,6342,2862,2348,
50,0,1679,5739,14740,7006,3958,
0,208,711,3399,12633,11481,6807,
14812,42552,535756,971781,610636,108351,9912,
94,86,681,1031,1205,280,133,
170,229,1755,4367,3958,1100,54,
603,269,5534,9663,7843,2265,292,
422,94,4098,7294,7590,2929,629,
12002,34629,223712,301489,92485,11505,2694,
11,54,120,557,54,58,0,
193,84,436,1391,619,48,0,
674,503,2857,3924,1643,248,152,
569,539,4296,4654,3259,576,585,
2964,4453,30232,32516,14581,987,335,
0,0,0,14,0,0,0,
97,0,81,152,78,0,0,
123,26,216,272,176,0,0,
71,52,327,657,325,0,68,
4619,13884,92745,58557,14196,1327,226,
0,0,52,75,138,0,0,
30,36,24,21,26,0,0,
169,138,1227,678,152,131,0,
398,110,871,468,564,0,0,
1501,2562,23414,55987,79614,23001,8331,
0,0,172,516,902,211,149,
0,74,666,1428,2860,1244,612,
127,125,900,3867,8348,2789,1020,
0,39,676,2660,3560,2289,453,
2351,11743,87912,124944,64584,9148,952,
0,64,237,528,90,63,0,
206,0,2168,3856,2586,383,0,
165,486,4564,9389,4708,1002,78,
760,769,4309,5952,3918,700,245,
3664,16459,79532,72196,15123,1549,269,
