2008 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education age 35-44, wgtd 2006-08 ACS, SSDAN/U-Mich
5
Occup,GEnder,Immentry,RaceEth,Educ
5,2,5,7,4
TopWC,OtherWC,Service,TopBC,OtherBC
Male,Female
Native,FB<1980,FB80-89,FB90-99,FB00-Current
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
LTHS,HSGrad,SomeColl,CollGrad
97860,1836,3001,212,261154,649,
105372,2722,10238,990,606639,2006,
396520,36141,73725,13046,3451275,34361,
351965,74896,130447,40365,3169218,61244,
394558,119662,178826,90845,2033334,68048,
160679,33238,78306,42300,625078,19440,
25324,5444,12931,7382,412983,2091,
816,208,70,0,2978,0,
1224,31,215,0,5415,59,
3355,272,732,112,23623,448,
3533,745,788,430,22724,217,
3681,1137,1693,856,18675,620,
1668,444,1275,384,5638,171,
181,30,191,85,6818,0,
896,30,191,0,6576,0,
726,52,162,0,4618,46,
3668,441,1222,109,23877,334,
4611,630,1431,283,23463,461,
4318,1104,2296,1083,19899,788,
3421,636,1104,799,8464,189,
859,353,426,312,9677,17,
902,48,107,0,8090,0,
983,51,169,0,8017,23,
4747,538,1073,58,53690,244,
6078,1006,1796,510,47944,948,
7697,1536,3565,2132,49459,1211,
7496,1417,4041,1544,28232,948,
1852,745,1207,752,27814,278,
903,27,50,0,7564,0,
351,0,67,0,5234,32,
3868,139,905,45,33577,189,
3158,335,788,486,22298,448,
6567,1147,3572,960,30603,1190,
4836,1130,3081,1240,16913,769,
1758,302,1343,421,16689,219,
109657,1211,1349,579,157034,132,
128897,2855,4582,1794,362559,1057,
556331,45470,51886,31494,2645090,11652,
587975,104708,98823,72419,3525184,24799,
551528,95643,118157,106415,2222440,24631,
174352,28879,48978,39617,888709,7597,
30134,4538,8604,6672,314038,1253,
750,0,0,0,1730,0,
833,141,0,0,2958,60,
5423,312,181,352,19790,95,
4777,502,1121,624,25269,209,
6441,637,1265,1300,19466,320,
1290,496,564,438,7720,168,
551,43,87,113,4952,22,
2973,22,51,0,3314,0,
1515,100,23,0,3338,0,
8838,434,480,173,22495,70,
6598,317,865,406,27251,73,
5812,1078,1263,950,20760,341,
2197,455,664,393,9400,161,
735,76,281,67,6967,45,
4542,21,0,0,4315,58,
2567,46,0,0,4500,0,
14232,244,718,219,41841,48,
15527,947,1788,1017,52649,617,
17687,1216,1917,1370,54717,323,
7759,1009,1543,1100,28056,537,
2310,332,689,213,18786,80,
2738,16,30,0,3809,0,
2235,70,22,56,3411,0,
10483,296,358,17,23741,20,
10913,261,479,577,21675,32,
11896,529,1767,657,27842,218,
5916,467,1592,777,16038,156,
1943,49,778,272,10754,66,
37782,192,465,35,49207,0,
67805,557,940,388,179791,348,
125599,4268,8463,2775,742161,2393,
60901,9843,12362,8673,556964,3754,
22534,9919,10527,8799,180025,3305,
11129,2298,4465,3667,47899,1549,
1907,351,1266,853,17544,139,
298,0,0,101,544,0,
430,0,35,0,1340,0,
976,0,175,167,6822,0,
1492,267,452,389,10494,296,
1094,353,398,250,5460,329,
222,84,430,30,1721,43,
27,0,54,0,835,0,
677,0,35,0,3225,0,
787,52,0,22,4554,0,
2236,209,101,25,20128,165,
1800,423,798,260,20080,148,
1220,679,620,267,12226,85,
1056,700,173,86,5348,252,
307,26,67,44,1487,29,
1102,0,86,29,8862,0,
638,0,93,0,7012,0,
1550,137,340,125,33100,24,
984,569,520,26,28777,281,
1446,464,545,470,19227,70,
1057,170,259,288,7988,147,
305,210,100,0,4149,22,
500,0,0,0,7266,0,
194,0,29,0,5525,0,
1392,26,82,28,25034,19,
1285,143,428,110,16827,73,
1321,232,218,314,13739,148,
912,98,112,102,5409,0,
309,0,25,32,3351,0,
29283,272,392,140,40798,32,
60365,548,1007,130,161179,118,
124297,7429,7623,5550,663363,1147,
82869,18305,19914,20512,786577,2125,
34143,14862,14387,18086,265750,1789,
16924,4447,5595,6317,97585,929,
2602,481,984,679,26143,20,
342,0,0,0,450,0,
365,0,0,0,1197,0,
523,49,131,0,6832,62,
1026,413,331,281,12745,127,
1038,456,254,416,7705,0,
436,159,411,93,3584,34,
97,27,38,23,1713,0,
1027,0,158,0,2906,0,
692,42,0,0,4549,0,
2225,103,220,212,20785,0,
2835,469,292,417,29294,147,
1753,562,260,471,18399,0,
812,108,364,388,6212,0,
132,0,59,0,2256,25,
1504,0,92,0,7364,0,
1355,0,0,0,8666,101,
4541,278,232,39,34505,18,
2959,496,331,282,33833,52,
1318,300,713,572,16583,48,
607,436,279,389,4983,162,
90,100,32,229,3287,0,
2630,165,32,0,5955,0,
1423,0,57,0,5840,0,
5202,29,155,0,21866,0,
2378,40,218,124,16919,0,
1994,195,185,113,9077,32,
337,57,154,263,2220,23,
379,0,0,0,1785,0,
1167,45,0,54,2397,47,
1120,54,0,0,4955,0,
2668,222,259,131,28013,241,
3491,1863,1161,973,38585,614,
5177,2697,3146,2155,40715,1046,
3042,882,1462,2050,12725,84,
418,232,141,142,13777,87,
956,0,66,0,1987,0,
874,0,0,0,2476,0,
1239,163,374,144,15271,45,
2361,1095,1441,507,30419,560,
5044,1791,2696,1532,33926,843,
2881,834,1355,723,10122,426,
549,243,224,130,13308,149,
2293,215,0,0,13313,0,
1801,92,94,111,14930,0,
4268,86,565,263,45161,133,
5599,1338,1879,812,56485,548,
7514,2958,3629,1732,53921,982,
4119,2484,3023,1379,24765,571,
1451,599,1058,487,15815,140,
3325,75,161,0,20685,0,
1524,83,19,105,14170,0,
4744,289,349,0,47289,0,
3451,1229,561,201,40693,383,
7847,3783,4197,1871,80361,982,
7870,4581,6198,2974,65623,1251,
1991,673,1580,273,43701,123,
770,0,0,0,10939,0,
703,0,0,0,7641,0,
3154,342,345,41,25980,33,
2593,293,407,78,18539,113,
9137,1599,2822,1314,54412,1237,
4672,1626,2369,1554,28417,210,
1036,162,601,140,22712,50,
1387,24,0,39,1780,0,
712,0,0,28,3218,0,
3855,303,354,483,21451,115,
6674,1041,839,1065,34688,361,
9395,1500,2573,1931,37007,456,
4325,743,1078,1125,13955,286,
1043,146,222,280,12287,0,
872,0,39,0,1323,0,
778,0,0,26,2464,0,
2552,208,176,140,12604,68,
5132,1054,824,451,25960,31,
9297,1990,2355,2684,31775,364,
3175,751,854,778,9646,84,
660,127,203,189,10303,0,
5330,131,116,96,12288,0,
2791,143,91,25,11590,44,
8821,391,184,146,39259,109,
10305,1551,884,902,52707,246,
13085,2547,2521,1934,55847,282,
4675,819,1333,1243,16773,187,
824,171,361,204,10557,56,
9376,105,0,106,24333,0,
5237,155,16,43,14184,0,
17462,655,129,143,54817,14,
15122,1005,918,244,52769,144,
30181,2609,1473,1806,99305,378,
14407,2162,2725,2206,53754,435,
2246,331,575,320,25232,21,
6391,0,0,0,12817,0,
3471,18,0,0,8099,0,
14776,21,247,27,31511,22,
13177,329,240,293,26861,0,
28603,768,1462,1100,57790,266,
8224,597,636,751,18341,201,
1820,190,190,61,14176,0,
22317,268,870,323,78507,183,
20736,469,1825,271,118555,178,
45976,3455,6530,1988,350300,2327,
34308,6500,10229,4896,313057,4584,
17872,5457,8864,4872,113385,1824,
7167,1479,3420,1826,31308,910,
1126,459,657,168,19716,85,
4605,276,101,179,46001,99,
3509,224,616,65,29303,70,
6307,621,1449,245,62869,465,
4977,1646,2197,722,48894,964,
2872,966,1655,854,17226,493,
1051,293,621,445,4846,302,
108,26,64,35,2754,41,
16866,1477,2483,322,357862,131,
5280,439,1120,221,93391,109,
11752,1267,2479,507,201874,782,
7526,1650,2869,247,93079,1129,
3380,852,1186,947,33006,313,
1244,458,390,277,7055,54,
243,141,146,94,3323,0,
10147,1051,1125,220,286668,155,
3341,270,512,70,70095,0,
7716,897,1726,301,190267,548,
4545,932,1242,101,77701,1047,
2915,550,1758,764,39759,377,
1785,560,1091,368,8405,116,
396,128,292,15,9100,51,
6186,38,283,146,174368,100,
1547,0,169,0,34454,86,
4087,737,617,191,109969,46,
2564,328,759,154,41209,239,
3615,543,1202,390,32834,484,
2075,447,773,483,9614,543,
750,78,158,54,7613,101,
33527,422,341,117,53283,327,
28572,394,1460,265,82993,193,
62024,4636,5202,4714,286693,1062,
53156,10736,9948,8843,350918,1884,
22608,5111,6227,5810,125264,1328,
8911,1309,2427,2392,45641,370,
1574,231,427,376,15425,35,
10197,239,191,118,25048,39,
5733,120,280,154,18661,60,
13118,694,744,650,49297,53,
9217,1905,1662,1124,55289,487,
3035,1175,756,720,19043,351,
1404,274,459,294,6140,24,
405,35,0,0,2310,0,
63534,388,464,115,167197,79,
16040,227,581,96,49418,105,
32380,697,1373,471,116214,247,
13934,1425,1467,703,76378,296,
4964,349,651,795,26325,136,
1441,102,493,400,6510,19,
620,18,53,0,2797,91,
98395,375,208,400,187806,98,
20170,41,335,181,43769,43,
48244,423,1128,308,138489,93,
18144,513,711,351,72633,220,
10765,630,1153,822,44869,148,
2457,350,211,442,8279,110,
1693,118,79,78,7938,80,
45583,61,302,0,84755,0,
8662,65,0,0,16014,0,
26354,212,330,284,63441,104,
10397,218,300,122,32775,23,
10122,671,716,354,31449,196,
2366,151,565,123,7580,29,
2433,118,125,93,7679,88,
3434,0,0,0,7617,0,
4557,109,94,0,14499,33,
9959,160,740,30,48590,162,
4266,744,924,224,39952,293,
1368,320,783,577,8982,227,
705,41,231,131,2119,136,
105,154,33,18,1523,0,
60,0,0,0,300,0,
0,0,0,0,252,0,
0,0,0,0,685,0,
35,0,0,0,418,0,
0,0,0,0,161,0,
0,0,0,0,58,0,
0,0,0,0,34,0,
76,64,24,37,3676,0,
102,0,0,0,437,0,
36,28,0,0,1457,0,
77,0,77,0,1038,0,
0,0,0,0,194,0,
0,0,0,0,77,0,
0,0,47,0,0,0,
40,0,0,0,2062,0,
0,0,0,0,911,0,
117,0,0,0,1132,0,
21,0,0,0,928,0,
0,0,0,0,202,0,
0,54,34,0,134,0,
0,0,0,0,137,0,
66,0,0,0,2931,0,
0,0,0,0,412,0,
71,0,0,0,632,0,
0,0,0,0,247,127,
84,0,0,0,579,0,
31,0,0,0,7,0,
15,0,0,0,75,0,
3594,27,41,72,4544,0,
5765,127,50,17,10736,0,
10390,310,744,446,40841,114,
6813,966,974,769,51970,576,
2202,295,571,845,12944,100,
801,242,308,358,4854,0,
205,41,0,0,1484,0,
21,0,0,0,54,0,
0,0,32,0,75,0,
89,0,0,0,306,0,
228,0,15,12,310,0,
0,0,26,29,286,0,
43,0,0,28,22,0,
0,0,0,0,35,0,
446,0,0,0,1364,0,
23,0,0,0,279,0,
246,58,27,0,1062,0,
253,0,0,0,673,0,
0,0,30,0,153,0,
0,0,0,0,88,0,
0,0,0,0,104,0,
663,0,0,0,1535,0,
139,0,0,0,193,0,
204,0,0,0,1067,0,
113,0,0,0,796,0,
51,0,0,0,374,0,
45,0,0,0,25,0,
0,0,0,0,25,0,
484,0,0,0,1108,0,
65,0,0,0,120,0,
50,0,0,0,150,0,
0,0,0,0,121,18,
25,0,0,0,184,0,
0,0,0,0,22,0,
21,0,0,0,14,0,
104,0,0,0,834,0,
167,49,0,0,926,0,
606,173,164,49,3309,0,
401,45,231,74,5689,59,
445,241,257,199,2558,29,
239,0,206,62,837,46,
0,0,0,0,906,25,
307,0,0,0,225,0,
0,0,0,0,124,0,
99,28,0,0,1263,0,
