2010 Physicians: full-time, year-round workers age 25-64 by race/ethnicity, gender and earnings, wgtd 2008-10 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgePro,Earn2
7,2,4,9
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
25-34,35-44,45-54,55-64
<40K,40-54K,55-69K,70-84K,85-99K,100-124K,125-149K,150-199K,200K+
1467,13867,3192,1673,829,1832,1266,1922,3336,
934,4071,1074,1813,893,3541,3345,7810,28144,
1503,1582,1177,2091,1024,4507,3294,9062,43746,
1233,994,904,1700,1571,4648,3453,8206,33902,
1538,10661,2065,970,990,1686,751,1313,1400,
903,2196,1499,1023,711,3011,2625,4342,8125,
695,776,768,907,998,2655,1796,3746,8237,
377,460,467,515,371,1195,1158,2702,3354,
41,750,580,28,20,27,78,161,136,
50,222,290,236,93,208,250,744,1312,
116,335,137,277,218,276,160,295,1743,
23,91,275,95,128,286,211,262,842,
238,1927,286,141,31,200,327,211,158,
165,422,181,19,52,1042,395,795,826,
53,161,87,231,58,399,213,138,662,
72,35,86,20,0,55,87,190,436,
1035,5890,1727,492,286,754,356,692,1841,
497,1101,450,488,301,1087,679,3209,8553,
289,572,281,320,207,991,412,1862,6301,
78,122,43,254,137,723,613,828,4642,
910,5368,1646,337,504,476,622,851,1017,
626,1074,465,337,276,861,1066,1671,3053,
273,318,113,269,84,399,359,1077,1763,
42,147,29,136,19,532,303,828,1004,
539,1399,320,94,86,216,20,105,203,
334,442,51,427,227,282,258,521,2335,
199,227,131,102,38,270,187,619,3633,
108,81,99,149,65,293,90,277,1504,
274,1326,518,63,60,91,124,113,149,
79,263,0,278,38,352,387,257,659,
55,77,116,69,113,132,347,480,365,
41,149,0,155,0,161,158,51,160,
0,0,0,30,0,0,0,0,3,
0,0,0,7,0,0,0,9,0,
0,21,0,0,0,0,0,13,128,
0,27,0,0,0,49,0,0,75,
0,10,0,0,0,22,0,0,0,
0,0,0,0,0,32,0,117,0,
0,0,29,62,0,0,0,67,20,
0,0,0,0,0,28,0,0,0,
0,105,0,0,0,71,0,0,63,
68,0,0,0,0,19,21,24,173,
0,0,4,27,0,0,46,0,129,
71,0,0,0,61,0,36,0,104,
0,210,25,23,0,44,0,0,0,
0,19,0,0,29,31,27,0,0,
0,0,0,0,0,135,0,0,34,
0,0,0,0,31,55,0,0,31,
36,219,130,16,0,30,0,24,115,
0,74,68,56,24,40,43,286,573,
0,0,20,0,12,58,0,76,334,
0,0,0,0,7,0,24,83,178,
64,438,32,19,0,26,10,29,87,
0,17,0,40,0,86,167,0,63,
0,0,0,37,7,29,0,50,129,
0,11,0,0,0,76,23,0,47
*****
