2010 Hispanic Groups: full-time, year-round workers age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Gender,Immentry,Earn
6,2,5,6
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
Native,FB<1980,FB80-89,FB90-99,FB00-current
<25K,25-34K,35-49K,50-69K,70-99K,100K+
132677,112738,119581,81490,36250,12528,
4361,3430,4025,3097,1473,517,
28897,20486,17618,11234,3418,1586,
162675,81990,51496,20541,6081,2376,
192570,57017,28280,11381,3802,1536,
139384,105945,93603,41184,14889,4029,
4037,3605,2210,1522,691,195,
21366,12132,9382,3881,1238,260,
69810,18528,8893,3404,832,349,
62857,9628,4437,1516,991,451,
30647,28557,30877,18735,9381,3421,
46,0,37,99,112,0,
258,99,66,0,17,0,
310,338,130,41,0,36,
171,347,177,0,63,0,
32215,28737,26516,13419,5626,1537,
13,0,0,0,0,0,
0,45,34,101,0,40,
213,215,29,65,0,20,
143,61,68,37,24,0,
4069,4889,5026,4585,2266,2047,
0,19,145,15,83,35,
747,528,1176,371,274,94,
1529,1835,1446,535,423,287,
3832,2923,1290,402,129,172,
3420,4671,6070,3361,1780,791,
49,195,98,44,21,0,
897,542,1232,190,43,46,
2418,1163,964,416,124,49,
4213,1084,593,81,50,52,
10349,8491,10320,6072,3824,1585,
435,645,339,585,378,103,
8778,6621,7312,3777,2848,679,
34261,22135,19334,6957,2607,855,
57104,19488,11011,3408,1055,440,
9865,8057,9061,5562,1967,665,
528,189,734,338,155,15,
6806,6142,6695,3283,1438,242,
23876,10158,5980,2424,491,138,
27185,5813,3223,1188,301,43,
4439,4989,6808,6070,2808,1635,
577,334,444,737,79,140,
2436,2982,2422,1616,876,631,
7926,7125,6976,4758,1469,1046,
12950,10007,7390,3896,1884,1353,
4824,4679,6469,4753,1444,847,
588,255,165,285,145,71,
2088,1924,2736,1538,380,194,
6502,5292,4191,2469,776,226,
13988,6474,5599,2350,369,409,
12718,9038,11638,8316,4317,2033,
96,0,71,94,0,0,
580,243,530,343,470,137,
1442,1214,1007,534,203,78,
2418,1010,1172,432,213,429,
13925,10895,11138,4547,2385,802,
131,49,95,73,75,134,
208,259,490,283,145,22,
1453,683,331,164,127,46,
1651,412,627,412,291,20
*****
