2010 Education for Hispanic groups, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,AgeEduc,Gender,EducAll
6,5,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
25-34,35-44,45-54,55-64,65+
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
544723,263920,599840,399591,117570,18245,8645,
480507,219444,514623,453606,159716,35474,10468,
540563,195752,429166,292671,99495,27950,11923,
516547,167497,410620,339619,121285,34172,12274,
394567,116364,254725,201717,64983,17404,12149,
402530,101319,259530,232744,69346,22879,8131,
245699,50439,122948,119339,34607,14562,8100,
296803,55545,158016,122029,29336,14422,4302,
298639,50421,89810,67056,19223,8497,5745,
425843,66784,138836,73259,16043,7363,2436,
20086,29716,77708,67523,24767,5525,1924,
14672,28259,64211,87403,35883,10218,2683,
22714,25736,68892,60472,22396,6182,3497,
18826,25997,65645,79223,32813,12228,2928,
25542,24256,53199,48983,16840,5827,2531,
25969,21849,54103,63221,23269,9596,2626,
32204,12740,35161,25990,9299,4730,2252,
37934,16606,43638,34731,11377,5579,1913,
51267,13160,26967,13906,6639,1694,1814,
76435,18621,42818,18616,6794,3540,1261,
3871,4982,20875,21240,10536,2237,1603,
2142,3898,19301,21771,14773,4422,1887,
7358,7212,35874,22788,15272,5864,3408,
4345,4606,24970,28450,18371,6967,3954,
9061,7148,27833,22559,16308,6395,4350,
7604,5681,22724,27489,15082,5496,3710,
12870,5604,16139,13401,8587,3963,3473,
12490,6098,22010,14782,9225,3224,2255,
40800,12484,25411,15109,10100,4002,5436,
67156,15532,37083,21264,13498,4194,4007,
136452,42831,107882,78738,28687,4778,2777,
99199,35443,86841,84777,39973,8989,2972,
114101,29620,74367,55122,23192,6943,3136,
97853,29393,80982,65557,34434,9938,3427,
71784,19836,49760,37430,19636,4419,3486,
80730,23441,62011,52889,19908,6176,3225,
39312,7909,21661,16276,8598,2426,2295,
68643,14087,32420,23351,10830,3669,1554,
34435,5810,12187,7388,5376,1245,1867,
84523,11617,26149,13848,6798,1716,926,
14249,9071,42323,48032,30611,9217,4522,
11678,8080,38676,58776,42132,12654,6223,
13835,10052,41876,41177,33729,12589,7997,
13023,8362,46711,50925,44647,15120,8264,
12677,7484,32997,35426,25564,9942,7821,
11520,10463,43940,46256,30724,8587,6158,
8655,6134,20624,18662,12208,4711,4298,
15592,8253,33614,22571,13903,4250,3273,
15298,6572,19470,12194,9143,3561,4519,
37894,12512,36813,18197,9501,3538,2006,
10544,11448,34494,32534,14615,3367,1936,
6911,7997,28002,44818,18269,5499,2535,
10443,9815,26916,33634,15796,6456,2813,
8883,7269,29443,39373,18318,7490,3295,
8085,8894,28707,28705,13306,4686,2738,
9032,7386,30298,38312,13230,6765,2149,
8243,5560,16515,20515,8019,4520,2557,
10212,7946,23056,24113,8009,4376,1567,
18847,8708,22088,18726,8223,3779,3346,
30002,13330,37469,22465,7599,2971,1470
*****
