2010 Education by Immigration status in the United States, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
260233,620953,3055065,3748618,2784669,609000,275999,
343,593,2252,3647,3304,990,1518,
1219,2352,11626,18526,20038,5967,4789,
6859,7187,34698,42491,38437,15168,7153,
10647,7641,57198,55643,76004,43866,24103,
315277,630468,3534959,3777442,2715279,929947,441653,
2945,4551,20179,20208,20382,8876,6740,
5715,5647,21642,25821,22683,11174,7682,
7873,9306,54736,53039,56282,35905,28277,
8266,6074,42374,33548,48211,32441,22649,
440911,810189,4727851,4398646,2805596,1052667,588736,
10037,11610,48781,59944,48762,24412,11654,
7998,8290,34765,39657,37386,22591,19902,
7066,6742,41246,35101,44307,26079,20949,
5409,3774,25226,20602,25257,14880,9196,
446729,524750,3293390,3773015,2493573,1196482,713939,
29434,18811,68688,78856,62812,36603,30367,
6140,4354,21076,18916,22741,14141,13545,
4479,4257,19044,16303,20909,12760,9831,
4795,2910,13101,9917,12114,6223,3665,
1235690,986908,4074921,3045121,1966723,1003301,760689,
102360,48468,123939,101863,71523,44411,55561,
9072,4067,10804,9454,10714,6794,6206,
11816,4733,14814,10200,14121,7138,7022,
8651,3170,11365,6266,6569,3289,3213,
199855,421611,2161269,3830560,3197146,1039449,290105,
211,118,1219,3387,3673,1421,974,
819,1558,8738,18213,21451,7286,4166,
5879,5155,28216,45649,46528,19000,6638,
9994,8486,47061,69163,94329,49615,19690,
226181,419205,2848212,4220198,2950104,1207538,357641,
1794,2404,17471,25115,23408,9147,5152,
4683,4049,21671,28523,24013,10664,6879,
8717,6317,53486,73411,66999,35892,20867,
6577,6915,39231,40470,52318,28916,14562,
318316,568653,4355288,5222445,2966097,1258014,370445,
10694,10152,53855,67155,41569,16937,7319,
8611,5991,37417,49833,37495,17480,8944,
9435,5770,42911,44826,47823,25097,13272,
6385,4405,29568,26524,26641,11133,5927,
353089,539733,4054300,4172657,2163844,1372861,338158,
31120,20695,106588,105303,57247,31730,13218,
7879,3910,24841,23708,19125,11913,6027,
8197,5128,22965,19709,21411,9951,5505,
8200,3843,16518,13046,11463,4720,2427,
1487850,1525441,7021822,4001175,1741462,889231,211336,
167150,99851,285728,203164,76908,39779,18999,
18207,5728,18064,11843,8862,3864,2785,
23523,5535,21957,15535,17768,7691,5144,
14892,4428,17141,8514,8328,2750,2009,
97961,293110,784297,726733,247380,45404,14640,
82,133,1033,985,726,180,42,
1301,2333,10459,15796,8340,1457,504,
4846,6295,26153,36099,21395,5096,1321,
11979,9583,35028,48959,26191,8226,2885,
79795,230502,829205,713918,238326,72400,22172,
942,1063,6764,11085,5510,1762,857,
3105,4396,19811,24099,14191,5857,2063,
8754,6475,33399,34901,19628,9472,4070,
10069,6954,33029,30688,21841,9537,4459,
121497,279549,848266,672915,217942,67768,23923,
3690,4108,14216,19358,13039,6578,2192,
10129,8871,32319,31755,20930,10624,4781,
8270,6707,20942,18404,12082,7189,4535,
6866,4431,15448,11958,9412,3850,1755,
136303,186364,508824,443576,144977,62983,27268,
6944,5490,17747,20857,13218,8547,4465,
9745,5665,17881,11980,5960,3812,2147,
4519,3129,7055,6236,3483,1504,1833,
4319,1975,6318,3744,2721,1266,790,
292682,187492,343624,223098,75655,46409,22554,
13315,8810,20963,11659,6888,3868,3561,
7386,2786,7116,2990,1650,753,498,
4886,1283,4037,1801,1267,831,411,
4410,1475,2763,2024,718,636,511,
60121,224481,641547,1006310,380396,127151,28829,
169,75,919,1398,1023,351,182,
891,2344,7130,18418,12210,4237,923,
4640,7120,22600,44297,23069,6929,2067,
13267,9886,38881,49986,25299,6717,3146,
62814,196586,708577,975742,348347,156657,35574,
759,1113,5775,13419,7316,3931,1583,
3241,4653,19341,31721,19931,8100,2287,
8427,9219,35683,45937,22592,8319,3565,
11472,8560,33799,31402,15066,5143,2478,
91189,244504,769726,974040,310892,137071,31201,
3242,3228,14353,25543,15319,6918,2947,
9318,7064,31712,35383,19445,8353,2054,
9818,7812,29041,20889,11315,4504,1579,
10404,5927,18546,12858,7157,2234,973,
109329,202428,577880,598058,193274,123801,29556,
6789,5364,21662,26802,12341,8062,1609,
10938,6595,18546,12230,6217,2387,692,
8059,3210,10772,6642,3824,1790,927,
10109,3602,8529,6373,2930,856,489,
388908,320427,575825,360013,114929,90815,16190,
21733,10525,28521,17803,8291,4015,886,
13703,3726,10007,4461,1355,659,315,
12231,3152,6601,2997,1644,546,90,
15183,2004,5844,2553,1051,590,144,
4034,9240,52579,101869,133005,29566,24858,
140,881,3048,6864,8560,2576,3092,
2759,6679,22221,47576,52407,11962,8405,
9975,11888,39724,61103,74120,34601,11145,
13977,9279,31583,50220,151509,140311,40770,
3425,4553,29303,48596,58739,23098,17256,
2033,2857,12376,32315,40256,16137,13031,
13267,13260,39474,66200,63488,26659,13476,
24718,16175,47893,52482,99027,97718,43691,
17483,10328,32884,31793,89963,53125,31438,
3434,4118,26718,45855,39553,14179,10831,
8161,7428,22144,45100,38804,17636,10723,
29943,21087,51119,68570,74003,48173,33832,
20081,11342,40359,31566,55148,31015,26430,
15744,9059,29879,18894,39384,14787,11846,
3672,2411,16349,29642,27303,10589,7858,
14372,9186,27981,49200,54853,33158,27470,
27459,10098,32942,30003,44995,18136,12901,
17623,9489,26302,21942,28285,8722,6039,
12390,6830,17780,10821,20778,6376,3568,
8557,5646,30394,23005,19141,6413,5691,
27778,10667,29167,31031,51412,29641,40682,
30523,8992,22907,15756,24545,5504,5672,
24701,10579,23395,14056,20227,3812,3487,
15018,3985,12825,7768,16892,4228,3108,
3459,4752,33182,87891,131875,41820,31497,
