2010 Family type by poverty status for Asian groups, all ages, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Asian,AgeAll4,FamType,Pov
7,6,3,2
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
688,1653,1448,4600,1524,2314,
5385,76509,1157,9341,2366,9584,
10155,164455,1195,9514,4597,18764,
12727,177895,1422,10315,5639,21741,
9955,112610,658,6357,1859,13182,
13008,74801,655,3149,1397,7927,
143,488,75,356,112,346,
703,13446,212,667,625,1495,
712,33373,5,1244,581,3459,
456,34436,87,2684,744,5507,
337,28313,79,2437,376,4082,
844,36228,22,2867,489,9576,
268,2403,543,2185,1298,3134,
1497,58283,559,8085,2791,11796,
2245,116421,589,9109,3703,19798,
1893,109826,550,7208,1957,24565,
1717,82565,286,4969,1241,18799,
1917,58916,78,2901,1282,12903,
420,1336,1025,795,979,1566,
4032,34149,864,4196,1330,5383,
7639,76628,402,4360,4297,7517,
5150,65490,421,4086,2924,12616,
3324,39170,116,1987,873,4424,
5022,31940,98,1035,626,2947,
250,2878,1035,1870,470,774,
5700,168344,802,7382,1450,4279,
8866,203939,611,5872,2373,6141,
6667,120495,536,4594,1180,6909,
3913,78781,95,2269,566,4317,
2683,39295,79,1832,173,2090,
303,1789,736,1627,738,1958,
2748,30156,593,7515,2448,8642,
7986,82401,924,7354,5924,11664,
7151,66343,742,5186,2639,9110,
6512,42718,681,2619,1584,5821,
3415,22684,382,1863,1067,3358,
1774,7149,2313,4490,3485,4173,
9416,65969,2360,13700,6414,14563,
14244,108008,1816,10513,6466,16883,
10638,89589,1397,7613,5063,13584,
5802,56294,691,4071,2342,8020,
3038,23125,280,2013,622,4690
*****
