2010 Occupations, age 16+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Occup2
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
580706,1657649,1705128,923932,935315,149486,
2063361,1817740,940371,1515240,1043573,99741,
2663616,1822263,815755,1685019,1231471,111842,
3098317,2043530,822058,2029508,1520929,167478,
2531789,1680279,626652,1251858,1092861,142943,
1089660,837180,373900,423489,510208,133063,
729175,2613233,2197174,57588,200946,72154,
2565771,2856163,1329816,78931,247512,43927,
2819041,3107632,1197632,98025,337508,45953,
3184500,3933566,1295819,128998,485533,58578,
2355653,3091807,894809,78994,340393,38255,
704472,1392960,452829,32155,135514,22728,
67429,383400,380757,100352,212779,7442,
208382,357195,303696,198717,320360,7898,
248509,312820,280935,219768,373112,9492,
222327,272066,280037,236967,360465,13048,
136074,152785,153375,126748,209267,9349,
44713,48837,70495,37002,68747,4181,
94227,697633,386252,13973,63922,2727,
346071,727284,447151,16745,101364,3332,
410386,681551,436986,21445,130448,2465,
368695,608126,440360,22162,140678,3972,
234014,353257,268357,10116,78879,2137,
65213,104627,120917,3014,21124,1035,
76180,160539,91908,22883,41923,2016,
363964,188040,80992,49159,58949,1950,
358498,166050,82781,60665,78007,2462,
224388,140871,81050,64421,84204,3519,
129566,91978,63055,39525,59881,2867,
50496,31617,24572,10507,17248,1928,
75987,206560,99202,2826,11349,1165,
357591,237634,105877,5247,25451,1296,
310708,222184,133048,8557,44678,1714,
203937,199129,131020,10875,59222,2577,
112291,126197,92471,6935,41182,2085,
26701,36433,27696,2387,10489,827,
91584,446219,499638,379469,314370,68790,
269769,434738,536588,814677,470451,89451,
294686,327950,416537,654096,462157,76610,
218837,227547,267305,401876,338491,55734,
116489,114635,141570,168487,174808,28757,
38767,44761,56275,40043,50806,11362,
113743,759531,453804,17586,84255,22517,
347217,794649,562461,38502,186130,37510,
325295,597026,559200,40128,217298,34426,
226653,428322,425088,26342,162265,23879,
108151,206172,226573,12509,73303,10401,
27103,60619,65708,3915,18421,2717,
3582,17499,28539,18138,14927,4118,
11845,19094,20854,27962,17019,3664,
14692,16173,17757,30881,18263,3106,
16122,12748,16517,25459,18249,2647,
11134,9251,8101,13325,9760,1845,
3642,2667,2864,2773,3524,717,
5946,38538,32354,1314,5418,839,
16750,40530,29389,1922,5960,824,
21381,38665,27422,2647,7506,680,
19325,34544,26921,2998,7561,672,
13445,21198,13562,1102,3657,298,
3142,6132,4372,235,1128,215,
2031,6648,5647,2924,2449,324,
11605,7575,5332,7399,3822,588,
9285,5989,3978,6519,4717,329,
7910,4753,2704,3606,4271,539,
3518,2726,1797,1595,2204,126,
1315,789,559,780,507,0,
2209,10819,7665,418,1082,19,
9219,13227,6229,160,1736,165,
7863,10338,8012,612,1026,136,
7413,6746,5196,318,1829,126,
2610,3901,3467,20,668,0,
1205,1089,704,51,133,29,
17362,64625,62346,24394,29505,2994,
47687,51015,33069,32504,29271,1204,
42855,34441,23156,31206,24091,1470,
34630,25286,18016,28374,21723,1791,
19944,16125,9098,13183,12374,1442,
7025,5958,4403,4626,3697,934,
24525,109201,76284,2067,7017,2296,
60326,83951,44986,2093,6922,1155,
52752,62789,28538,2430,7483,685,
40935,58001,26599,2357,7243,1016,
23204,33438,16198,1164,4729,607,
6525,11400,7207,374,1560,281
*****
