2010 Occupation and immigration status for Asian Alone by Asian groups, age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Asian,Gender,Immentry,Occup2
7,2,5,6
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
Native, FB<1980, FB80-89, FB90-99, FB00-current
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
22290,12023,3701,1610,1617,80,
1843,881,296,99,281,0,
9647,6294,2083,933,984,53,
16671,7190,5496,1689,1278,0,
28281,6869,5795,1562,1253,110,
25027,12241,2810,109,417,31,
1775,565,123,0,114,0,
11790,6015,1326,70,449,31,
17993,10502,4026,253,565,0,
30567,14542,8395,136,1306,56,
4413,3508,1240,1080,927,87,
227,83,0,0,0,0,
862,229,323,91,0,0,
769,688,382,24,64,0,
4995,1792,559,233,83,0,
6244,4791,1076,30,76,34,
494,221,34,25,0,0,
881,594,502,0,0,0,
1988,2357,512,27,70,33,
4106,4092,1398,310,167,25,
15627,17694,6753,5324,3519,11,
786,553,89,282,0,0,
4654,5574,2782,1881,1851,58,
6163,8689,3936,2334,3253,201,
6984,5842,4589,2023,2166,0,
18754,17959,5419,437,914,0,
946,622,464,0,0,0,
6423,6167,2271,55,412,0,
9713,11504,4522,192,1284,39,
17428,13692,9116,219,1619,96,
8045,6415,1238,756,919,0,
1602,683,227,69,71,0,
5562,3697,1245,1257,552,0,
5071,4169,1039,954,836,0,
7981,3368,1913,423,562,0,
9006,7302,1342,196,220,0,
3079,2084,386,215,173,0,
8024,5554,2268,56,248,29,
6602,4287,1403,36,21,0,
8539,5101,3095,34,604,0,
18030,6936,1594,764,665,9,
2140,314,67,0,115,0,
6390,3697,969,778,780,0,
25660,10101,1519,1266,2845,0,
105151,17346,4017,1831,2726,58,
17147,6314,1246,37,412,0,
1860,745,155,0,0,0,
6191,3449,694,60,119,48,
17833,10571,2875,25,845,36,
63937,17551,3246,266,1624,224,
4898,5356,1769,1270,1157,24,
1444,1412,243,256,411,0,
5275,4522,1919,1447,1020,88,
5053,4438,5722,2378,3957,166,
1752,1692,2394,992,2015,43,
6753,4927,2537,0,150,0,
1697,1382,333,29,45,0,
5819,3875,2652,0,226,46,
6280,4873,8977,263,1300,21,
3027,3793,10057,428,1771,0,
11620,13810,6313,8762,7921,279,
1523,1516,607,322,1165,0,
5165,7014,2631,2638,5517,238,
7365,6556,3139,1964,4809,49,
9942,7023,4403,1724,3598,396,
13152,22298,6985,616,1697,134,
1944,2017,635,53,267,11,
6865,8696,3765,322,2558,101,
6370,7108,3670,168,2290,64,
9337,9749,7518,580,3488,237
*****
