2010 Occupation and immigration status for Hispanic groups, age 24-34, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Gender,Immentry,Occup2
6,2,5,6
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
Male,Female
Native, FB<1980, FB80-89, FB90-99, FB00-current
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
110650,189790,125135,179617,133001,10936,
2918,4703,3135,6034,5714,522,
10180,20764,20689,35212,22312,4967,
18554,32449,106077,191037,94738,29061,
14159,25069,123713,182684,75389,36951,
152982,359751,152122,9133,36314,4335,
3799,11223,4124,357,1928,163,
13783,38172,22984,1366,8966,1853,
14948,59681,95911,7361,47413,13070,
9994,36208,103081,8487,42467,14445,
28963,49015,40562,34938,35769,804,
112,68,31,115,37,0,
115,196,67,121,39,0,
55,235,139,278,565,0,
0,235,131,465,161,44,
43569,98186,41018,1724,10979,423,
65,0,0,0,0,0,
175,192,66,0,0,0,
206,261,218,0,130,0,
184,246,271,0,0,0,
9810,9286,5735,4696,3261,179,
158,76,115,73,0,0,
703,1547,348,1215,602,0,
1198,1685,994,2326,1353,366,
1179,1438,1912,3146,4070,509,
12872,14537,4239,221,626,0,
195,214,34,0,0,0,
1428,2291,311,0,95,0,
1484,3755,1566,234,433,0,
1559,3893,3759,149,1058,71,
11087,17754,9544,10931,9356,80,
706,610,546,513,863,145,
6061,12442,7813,8633,6961,377,
7621,15998,26142,42159,26788,1900,
5047,8980,39424,70738,25320,3526,
15439,28569,10668,817,1880,105,
895,1408,1142,0,78,0,
9902,19500,8902,314,1924,112,
8510,25677,31585,2506,10466,465,
4753,17157,44532,3367,15028,2059,
11084,12459,4933,6035,3541,198,
706,990,325,233,685,0,
4033,5505,1944,2089,1616,0,
6601,8578,7329,9081,7220,59,
10922,9448,9827,16564,8168,272,
13572,15627,5924,211,802,143,
1215,810,171,0,148,0,
4135,7539,2373,151,284,25,
8009,15076,7024,522,2286,59,
13645,21264,18075,907,4515,227,
13729,19163,13898,17268,12731,698,
247,171,0,25,20,0,
520,741,726,999,246,35,
479,766,1601,2071,1324,229,
2169,985,1713,2123,1128,224,
20045,38253,18632,1205,2261,359,
251,449,251,0,38,0,
731,1225,564,74,85,0,
1116,1578,1725,56,633,29,
2458,1944,1448,0,458,119
*****
