DOCTORS2K: 2000 Physicians: full-time, year round workers age 25-64 by race, gender, and earnings, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes
4
RaceLat,Gender,Age,Earning
7,2,4,9
NLwhite,Black,Asian,Latino,AmIndian,NLOther,NLMulti
Male,Female
25-34,35-44,45-54,55-64
<40K,40-55K,55-70K,70-85K,85-100K,100-125K,125-150K,150-200K,200K+
12881,9434,3218,2851,2006,4050,2118,1194,2988,
6004,4719,4699,4581,3223,13599,9826,11178,39075,
6253,2479,1379,3961,2033,10242,8299,11089,51485,
3651,1938,790,2219,1639,5841,4278,5655,20573,
10533,3135,1777,1255,809,2042,425,749,729,
3304,2726,1805,1699,1822,6632,3275,2811,8285,
2651,2386,1945,1091,1778,2726,1635,2076,5910,
160,288,281,446,845,684,489,487,777,
651,566,0,0,323,110,346,195,176,
651,129,324,447,259,749,459,100,2284,
332,428,273,163,108,444,254,230,465,
203,227,92,0,275,109,383,213,571,
1741,1013,249,196,0,108,32,0,0,
852,336,457,69,171,582,135,634,326,
385,308,79,61,70,308,481,342,82,
39,0,105,79,0,116,0,0,88,
4128,2607,385,429,586,991,319,253,505,
3438,1383,180,842,836,1682,1154,1249,5024,
923,253,67,911,828,1929,1419,981,6855,
580,217,230,253,790,1377,758,821,3542,
3102,925,600,342,171,605,643,0,29,
1334,402,388,318,212,1245,788,471,132,
785,243,0,436,218,947,621,574,1832,
356,0,297,571,226,750,653,425,641,
1682,58,123,242,0,184,73,0,372,
1067,864,268,236,344,1351,692,575,1712,
182,345,92,483,112,93,214,376,1735,
135,0,111,321,240,253,526,98,776,
1274,719,288,120,0,0,0,66,61,
480,166,257,258,300,945,321,107,155,
226,380,0,0,183,118,175,0,88,
0,0,0,0,0,0,0,0,223,
62,184,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,105,
0,0,0,0,0,107,0,0,98,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,132,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,218,
158,0,0,0,0,110,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
294,278,0,92,110,215,0,0,0,
188,223,230,185,119,445,0,246,618,
60,0,232,268,0,0,0,394,395,
235,0,0,0,0,79,0,0,289,
454,547,0,119,0,0,0,0,0,
0,185,66,0,0,82,0,0,93,
230,328,118,0,0,37,0,93,298,
0,0,0,0,0,0,0,0,132
*****
