EDUASN2KA: 2000 Education and Immigration status for Asian alone by Asian groups, age 25-34, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Asian,Immig,Gender,Educ
7,4,2,7
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Native,FB<1980,FB80-89,FB90-00
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
712,1246,2456,6474,16267,3804,3615,
222,912,2164,4296,15177,5778,5180,
173,686,727,4429,9179,2943,2428,
548,539,407,3514,8905,2639,1756,
2596,3777,6359,11607,17722,8301,2904,
2587,2846,5678,11509,20143,6381,2645,
4679,2966,7997,7883,22561,31841,10327,
5523,4423,11221,16301,37450,28972,7966,
375,696,3269,7680,11669,1677,600,
144,873,2474,5494,10211,2272,1125,
0,42,62,434,785,98,66,
0,252,336,412,665,400,253,
0,0,66,1001,1448,161,0,
0,0,429,1456,2347,742,132,
30,0,3019,4139,9145,2615,3066,
328,435,4450,13171,14457,2910,540,
285,1246,7165,16520,12856,2861,1057,
579,1038,6570,15330,14758,3168,702,
30,725,3195,6696,8266,1027,1245,
172,466,1126,9648,5984,1017,897,
354,2116,6950,16233,5715,254,615,
462,2486,5664,17051,10272,1179,1101,
607,1665,5047,12514,15653,892,921,
1195,2633,6533,20021,33964,1301,2400,
152,0,1679,2069,4916,1939,535,
111,111,1083,2538,5551,1450,1911,
190,508,2084,4058,8008,951,2753,
0,535,1281,7696,10825,2483,2413,
349,276,3182,6731,8004,1737,1264,
102,1570,4127,8414,9657,2031,1318,
631,207,4303,6955,13401,7699,2699,
335,1237,10627,9130,17102,7969,1532,
1386,494,1888,1883,7054,2298,3167,
454,660,726,2097,7638,3113,3622,
66,132,1176,3317,5171,2178,2555,
304,138,1232,2608,6494,2386,2066,
1340,2071,4646,7091,9733,9628,3115,
438,1941,2624,7115,9582,3162,1969,
1394,4227,7005,8629,59559,56411,12383,
3230,6099,8466,14668,50721,34856,10709,
897,1222,731,882,788,75,71,
368,757,270,854,464,198,0,
614,595,1943,4422,6387,995,1690,
175,577,1990,3807,8346,489,1305,
3710,5320,7217,10735,11166,1149,1500,
3762,4065,4963,7613,9973,1143,1482,
10627,9260,12404,11491,6484,679,426,
10537,11149,16084,16479,5593,368,656,
1451,4369,13123,15540,7126,1330,875,
1179,2420,10750,13006,10425,3484,551,
817,984,2632,4092,3050,837,265,
411,654,2344,5203,2727,1159,355,
4059,6229,10365,11212,9315,1852,796,
6105,5454,8651,8416,5915,1255,482,
4549,4204,7341,5921,12245,7538,2657,
4985,3772,7342,10764,14313,5354,1676
*****
