EDULAT2K: 2000 Education for Latino groups, age 25+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Latino,Age,Gender,Educ
6,5,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
25-34,35-44,45-54,55-64,65+
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
782938,382331,524304,350918,105423,16181,15691,
552368,267180,404747,369473,124460,22241,16233,
612382,238523,323129,265023,84816,20071,21242,
499158,183654,304796,282690,84192,26866,17314,
370758,91436,151569,161760,49107,19161,14431,
330505,95695,170416,155993,37231,16654,8105,
198781,42556,67372,56285,13805,8412,3197,
222089,49691,83225,52936,11289,5653,2260,
214639,35598,44265,31742,10350,5010,3477,
294176,54441,62239,29886,7126,3360,1654,
31830,50916,81060,73247,25872,4943,2577,
28267,41388,81967,99921,32009,8018,3431,
35431,46502,72878,66815,18591,4950,5009,
35827,38725,72301,81974,30057,8791,4145,
39229,26181,37623,39330,11938,7156,3026,
37567,22851,52942,48384,16115,8740,3043,
36950,15824,22086,12931,3808,1853,836,
44253,17284,25989,14743,4775,3153,952,
38138,11044,14571,8667,1979,984,894,
62827,12446,16718,10346,2719,2708,401,
6554,14224,23094,26316,11911,3813,6016,
4080,8896,17822,26253,14837,6124,3861,
10660,16884,26522,35201,18945,5026,8687,
7964,10521,18863,35818,16595,5924,4479,
16041,14010,14611,18322,8605,4954,6227,
12631,9258,17926,19998,9913,4662,3185,
22573,10701,10959,12370,6552,2285,3580,
26349,9574,14249,15251,6353,3012,1836,
48566,12412,15648,10350,5638,2432,6643,
66739,18361,22571,12530,7660,2949,5935,
109623,51751,64020,57305,17414,4204,1254,
73187,42682,54347,65349,22883,4983,3498,
86717,33077,45823,46502,16289,3037,5852,
84909,34620,54673,52263,17761,3937,5881,
49926,17331,20659,19946,7807,2578,3555,
63734,20748,26794,22281,8746,2539,2552,
23118,5508,8175,5228,2544,1813,993,
35198,6353,10480,6634,2632,765,550,
17786,2817,4650,2206,1106,588,1302,
39866,7280,9860,3535,1462,926,949,
12664,12769,37257,38649,21783,10372,7486,
10083,7012,32041,45628,31565,9850,5459,
15414,12884,33626,45698,21257,8343,8232,
12472,12030,37576,46406,27638,8847,8158,
8392,10659,19519,22574,9273,3600,6225,
16003,10491,28345,25568,11184,5816,3091,
10972,4742,8321,7871,3362,1562,3467,
12897,7396,13992,12703,3552,1243,2245,
7633,3548,5744,4024,2100,664,2913,
17822,7153,10727,4938,1581,744,718,
98435,75098,119088,106676,34750,9054,5979,
81338,65241,123999,131922,40698,10200,6099,
84065,56508,94434,93992,30622,10361,9286,
78694,54061,110772,119746,36502,10001,6894,
59834,31236,57459,55842,20704,8506,10110,
70018,33677,73963,71290,19928,9996,3493,
37391,15047,25507,22275,10198,4322,3118,
54758,21460,38668,34107,5833,4220,2011,
58269,17954,22738,17669,6076,2417,3776,
89492,27111,37668,21787,5720,3422,1480
*****
