EDULAT2KA: 2000 Education and immigration status for Latino Groups, age 25-34, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Latino,Immig,Gender,Educ
6,4,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other 
Native,FB<1980,FB80-89,FB90-00
Male,Female
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
64823,130168,238720,211774,69098,10121,4656,
53303,97546,195191,244585,89397,15968,5677,
28599,26471,36205,31578,6226,578,983,
22795,21133,33591,36465,8329,1527,163,
293486,108410,108373,53845,9234,1312,2110,
173581,66766,69891,37196,8854,944,2918,
396030,117282,141006,53721,20865,4170,7942,
302689,81735,106074,51227,17880,3802,7475,
30876,49521,78108,72063,24904,4916,2466,
26868,39895,81070,99106,31157,8018,3431,
70,89,84,0,409,0,0,
124,0,108,248,0,0,0,
435,152,448,481,282,27,0,
770,191,382,0,266,0,0,
449,1154,2420,703,277,0,111,
505,1302,407,567,586,0,0,
964,3040,7104,13320,6364,2378,3114,
650,1882,4915,10748,9108,4264,1892,
698,1791,2728,3151,1862,277,576,
366,479,1966,3248,1239,1240,553,
1785,2692,4162,5087,1297,282,122,
613,1973,3827,6258,1636,86,233,
3107,6701,9100,4758,2388,876,2204,
2451,4562,7114,5999,2854,534,1183,
3560,3145,8339,12095,4651,735,216,
2133,2230,4654,12411,7681,2227,630,
2638,1843,4429,5242,2133,483,358,
1551,1527,4025,7449,2910,399,406,
38047,22793,23623,22427,5903,1146,237,
23931,20199,22702,25398,5926,1046,338,
65378,23970,27629,17541,4727,1840,443,
45572,18726,22966,20091,6366,1311,2124,
889,1262,3990,9539,7015,2872,1440,
870,902,2584,9693,10099,2645,718,
86,560,3488,4185,3525,131,267,
175,236,1953,5965,2031,1424,194,
3702,4682,9432,9256,3525,1391,1042,
2563,1936,8129,11616,4907,2175,309,
7987,6265,20347,15669,7718,5978,4737,
6475,3938,19375,18354,14528,3606,4238,
23301,41946,78606,80905,25394,4887,3179,
19936,33591,82220,97896,31228,5881,2378,
4128,4651,3380,3799,1064,743,154,
3044,3922,5503,5851,1358,499,227,
30837,13429,19215,10217,3484,788,897,
25697,14111,17138,13243,2567,518,283,
40169,15072,17887,11755,4808,2636,1749,
32661,13617,19138,14932,5545,3302,3211
*****
