FPOV2K: 2000 Families by family type and poverty status, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes
4
RaceLat,Age,FamType,Pov
7,6,3,2
NLwhite,Black,Asian,Latino,AmIndian,NLOther,NLMulti
<25,25-34,35-44,45-54,55-64,65+
Mrrdcpl,MaleFam,FemlFam
Poverty,NonPoverty
86434,767386,35521,156503,189624,199564,
244601,6164841,61365,432717,388302,796491,
314420,10170610,73015,668536,363836,1525660,
227580,9825547,40325,537877,133087,1197028,
236333,6760466,18215,217645,62559,608818,
264550,8364455,16308,318623,82821,1160019,
17140,73262,20055,44172,216805,118778,
59579,632468,34066,123943,400945,498646,
72667,970949,35059,142204,349227,690412,
60745,842483,19524,102137,155505,482180,
48721,506804,12955,54325,86199,253900,
49177,476847,16545,71042,96418,335320,
3611,17572,5111,10973,5570,10901,
31824,337877,4130,40854,14477,37784,
46627,561266,3853,34841,18314,53381,
33873,474289,3060,24579,12290,67537,
16045,251120,1365,11498,5631,31712,
20085,171209,1105,11644,3853,36782,
62542,198099,29672,89379,86423,62705,
237305,1127087,46606,195279,178682,210103,
214797,1238687,37411,150650,171248,274595,
94206,836946,17272,94193,75032,210824,
48538,429200,8275,37883,33744,99698,
47082,355772,6506,32141,25362,116836,
4023,9956,1988,3237,7039,5559,
11333,61601,2623,10015,17561,17284,
13603,87674,4026,10810,18977,27462,
6995,74870,3610,8048,8626,20067,
5839,44406,996,3607,5323,9916,
3516,29331,611,3040,5042,13758,
629,2074,258,344,488,797,
1320,11738,414,1305,2290,2128,
1568,17414,298,2389,1226,3792,
361,10824,308,820,305,2278,
478,6997,80,413,83,1327,
461,3975,0,223,738,1205,
2716,17539,2773,8508,10142,12097,
15302,118741,2807,20889,24417,31000,
18264,174958,3405,18468,19296,41198,
10530,134028,3112,15755,9336,32580,
6518,75480,567,6611,3090,15268,
6471,65340,1016,5269,2922,21941
*****
