FPOVASN2K: 2000 Family type by poverty status for Asian groups, all ages, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes
4
Asian,Age,FamType,Pov
7,6,3,2
Chinese,Japanese,Filipino,Korean,Indian,Vietname,Other
<25,25-34,35-44,45-54,55-64,65+
Mrrdcpl,MaleFam,FemlFam
Poverty,NonPov
932,1838,1406,2587,400,2104,
6645,66630,1014,8435,1212,7383,
13540,147984,863,8147,3178,11901,
9212,119811,470,6871,3121,16069,
4978,56972,209,2257,1105,5759,
10442,52927,216,2603,1346,6916,
0,992,172,175,0,356,
1497,15084,47,1260,362,1757,
1794,40677,105,2169,1064,3860,
670,36689,145,2455,695,6238,
361,21032,0,1819,596,2360,
663,38772,310,2927,371,12014,
1068,2922,186,1902,888,2042,
1586,47181,358,6149,2484,8302,
2341,82227,597,7118,2956,13040,
2103,88091,744,4653,1466,17242,
1419,52114,274,2355,653,10306,
1528,30406,196,2462,640,9410,
0,1089,632,847,695,1668,
6615,27797,208,3289,1271,4735,
6558,58935,443,1653,3444,7057,
3644,42314,0,1279,998,7635,
2425,30135,0,700,627,3332,
3098,15052,132,745,875,2421,
390,2554,837,1526,418,891,
5646,104018,456,6905,939,2461,
5797,107468,315,4484,1019,4195,
5094,85092,177,3044,754,5238,
1962,41961,140,1213,773,1299,
795,11969,0,895,106,853,
101,2010,599,1668,1065,1516,
2668,30231,669,8332,2217,5976,
6629,56619,603,5135,2081,4164,
5739,46040,421,2953,2350,6325,
2755,23353,335,2204,1053,4340,
1815,10621,251,936,272,1851,
1120,6167,1279,2268,2104,2324,
7167,46936,1378,6484,5992,7170,
9968,67356,927,6135,4572,9164,
7411,56252,1103,3324,2906,8790,
2145,25553,407,950,824,4316,
1744,11462,0,1076,243,3317
*****
