LATUSA2K: 2000 Latino population by Latino group, age, gender, and immigration status, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Latino,Immig,Gender,Age
6,4,2,9
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Native,FB<1980,FB80-89,FB90-00
Male,Female
0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75+
1137768,1840834,1189112,729360,572234,358222,185263,135265,63176,
1088858,1771387,1098704,701667,589891,380902,200923,154618,96486,
0,0,16673,130640,332938,313395,144223,66001,45717,
0,0,20904,124003,269647,253986,146577,84509,60387,
0,39887,186903,576770,423497,108675,30650,11950,4903,
0,35789,168251,360150,320835,92744,38351,17197,9456,
79098,327466,874590,741016,236517,77930,30272,12552,5517,
70022,288073,531718,570882,218297,86967,41292,19549,10680,
160467,338700,286769,262854,243395,160301,93024,50546,24411,
150674,319602,292232,289545,267103,186778,108912,64017,42427,
0,0,113,652,1744,2301,836,692,509,
0,0,294,480,1688,1571,1376,230,890,
0,0,915,1825,2677,916,262,0,0,
0,0,724,1609,1767,510,583,271,154,
598,860,1702,5114,2360,965,166,29,90,
569,1284,2517,3367,1262,783,278,0,176,
29108,51254,45554,36284,22045,8754,4827,1667,1140,
29657,46594,42843,33459,19719,6458,4364,3878,3100,
0,0,439,11083,50939,31444,37992,49565,30422,
0,0,306,9091,46226,42680,51651,55993,48890,
0,266,6887,15427,17303,26065,17370,7276,4655,
0,699,5445,14626,13632,14687,11679,7849,7159,
2298,12026,16340,29134,31638,16507,8831,4587,2377,
971,10808,12558,24697,20587,13748,8930,6826,3050,
88824,137869,64490,32741,11857,5945,1935,1402,181,
84168,128948,63549,31966,11137,5642,1709,1489,1603,
0,0,1764,17126,43710,49065,23174,11404,5670,
0,0,2271,18267,57382,61340,33603,23477,13433,
0,4350,49665,114176,116364,45492,15400,4853,1535,
0,4619,48703,99540,115326,54175,16000,8281,5901,
10668,48961,151959,141528,65366,21300,6870,4080,1330,
6602,48229,108695,117156,70199,26237,11300,8448,1246,
35013,50313,35258,27007,12060,3031,2002,507,313,
31213,47086,39190,27511,10873,2917,1738,420,581,
0,0,1696,12242,30510,31249,25668,13147,3147,
0,0,1926,11978,32089,41422,31951,15978,9361,
0,2795,22151,33030,53117,23858,6982,2425,1505,
0,4173,22401,31635,55340,30555,9872,5350,3143,
6699,33202,54920,68701,49767,22104,5645,3930,1652,
3968,26828,54098,70514,54825,25604,10467,6663,2187,
317926,562289,365017,258218,210401,142909,71124,53647,33288,
303394,525965,363347,273130,236049,158834,93086,66926,54904,
0,0,3335,17919,41269,48030,30477,18628,9650,
0,0,3458,20404,44025,59657,43325,25033,17463,
0,6849,41859,78867,84510,33841,8763,4227,2506,
0,5763,36522,73557,83035,39926,14165,7666,4021,
9433,50253,98011,94076,43088,18911,7494,5320,1633,
8275,46922,80041,92406,53561,23948,10481,6778,3889
*****
