MARLAT2K: 2000 Marital status for Latino groups, age 15+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Latino,Gender,Age,Marital
6,2,6,5
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Seprated,NevMrrd
393634,3597,12510,19576,1837961,
1299149,7022,75650,55881,740084,
1117817,8106,130380,53327,255556,
640223,12995,95995,32371,76638,
300069,13771,41115,11586,23867,
244265,47608,26451,9494,17263,
485160,3079,18462,26974,1285902,
1164906,8974,95174,72150,415498,
988789,22883,144585,84013,158400,
539158,38618,119450,51281,66092,
259398,56413,57314,22567,31451,
181327,191547,41357,12795,25856,
34552,0,1772,3030,250145,
124857,390,18455,10181,116562,
143708,1586,31048,11995,61839,
103730,1582,27028,10955,21188,
62941,3336,12459,6648,8904,
46804,12112,7274,4919,5168,
44480,803,3473,5366,241645,
136804,1385,26048,21024,109740,
138484,6888,47019,23669,55760,
94910,11043,40669,18384,24636,
51380,16839,21226,10385,11319,
34182,42765,16684,6277,8257,
7026,287,710,354,60843,
48413,209,6465,2792,34049,
77239,517,17305,6186,20678,
52831,858,13412,2876,12793,
48388,1608,9671,3552,5801,
73160,10011,9066,4003,5449,
10080,294,502,1177,49099,
52594,182,6213,3434,19450,
69928,846,14982,4299,10109,
49615,3390,16589,1806,6173,
48643,7607,14366,2439,3569,
54654,54248,16731,2953,8159,
34839,97,1042,2385,229515,
147631,616,12140,9418,135766,
160409,2237,19813,12089,42749,
88380,674,12524,7448,12776,
34199,1495,5297,2765,3623,
19030,4135,3495,1446,2349,
47763,193,1225,5113,168924,
151681,1779,14863,17035,81571,
156154,3935,31085,21743,41127,
83691,6859,24505,15927,16412,
28687,8571,12926,4671,7757,
16100,25081,10529,3919,8249,
12703,276,234,729,100083,
70560,166,6227,4239,59788,
100392,858,12643,7429,24132,
61996,718,7626,3222,6680,
30986,1045,4988,1300,1978,
20021,2298,2639,761,907,
18975,218,1410,1468,95544,
87776,627,9714,4864,38657,
110688,1878,15454,8430,16677,
64103,4539,14929,7314,9613,
29596,8181,8307,4259,3685,
13826,18481,4470,2669,4237,
75391,1646,3724,4134,423327,
247137,2389,25825,12975,160754,
245279,2476,45401,15157,70955,
173699,3465,33804,8480,24243,
85392,4252,15908,5012,7294,
91056,15813,9895,5412,6723,
100325,990,4849,8266,368938,
262034,2264,41511,20393,133295,
258922,7151,65127,26366,59104,
174554,14301,50845,17974,24691,
89759,22750,28465,8907,11176,
67187,81642,20414,4727,12710
*****
