OCCASN2K: 2000 Occupations for Asian alone by Asian groups, age 16+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Asian,Gender,WkAge,Occup
7,2,6,6
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
TopWC,OtrWC,Service,TopBC,OtrBC,Farm
23583,46091,17641,3433,6021,0,
102277,37934,20169,7770,11234,176,
116001,35813,32469,15187,16691,717,
67209,31242,27185,14044,15919,317,
29503,13242,15512,4940,7009,330,
12752,5822,8162,2199,4041,88,
22955,51606,15972,420,2889,184,
103434,55004,15572,1231,9953,110,
91462,62972,22593,3941,25822,665,
48292,50213,23274,2896,23637,119,
17959,15564,11652,1680,13220,0,
4572,5415,4495,466,4174,315,
4659,7671,5448,1809,1881,249,
23911,12710,4173,3984,3560,120,
33769,15428,5327,6270,4374,468,
30325,10333,6339,5214,3426,1185,
11534,5663,3334,4858,3316,314,
7043,4014,4446,2518,1957,888,
5127,17084,5950,0,424,0,
21282,24301,5526,554,1046,198,
27445,22558,6600,174,1716,122,
23041,25245,6021,846,773,195,
10820,12473,4193,583,2198,77,
5793,10147,6134,893,2619,902,
9723,45142,19216,9321,12122,1156,
39077,39934,15566,13257,17904,485,
33636,40545,21217,17000,20333,1236,
26225,30118,19402,18207,18014,1464,
17063,13183,13385,8246,8821,1328,
6107,4223,6373,1740,3053,521,
10670,57711,19239,892,3541,76,
56517,65772,22563,887,9061,279,
64055,65902,32516,2370,17040,377,
54450,52983,33004,2613,14127,870,
25454,22759,18877,1253,7454,671,
6042,5352,7438,317,3585,664,
7549,23842,10224,2548,5244,0,
37322,22882,6385,4530,4318,107,
29330,25016,5384,9380,6953,198,
13940,18225,5313,6655,6865,192,
9898,11958,2258,4738,4392,99,
3362,2780,1766,1129,1595,413,
11432,32725,13076,168,1774,26,
42408,31151,10174,913,3729,143,
26166,29593,16465,1750,10348,599,
15328,25281,17443,2547,10196,502,
4952,11467,8295,1582,5709,203,
1301,1128,2809,253,1555,0,
29515,37738,10244,4427,5940,236,
145169,36889,9041,6097,15698,216,
83561,34230,7701,5898,16562,753,
52996,25544,7306,6695,14047,789,
26316,11021,5042,2553,5356,270,
6545,3647,2018,209,1064,118,
17274,40824,7245,610,2198,402,
78079,43827,8666,1094,4986,146,
42000,34124,10929,2114,8646,289,
26517,26757,9408,984,9370,742,
9743,7516,4230,305,2864,132,
1323,528,823,126,40,158,
7549,21090,12349,5638,9199,340,
26783,22691,16490,14651,25482,1083,
23143,19430,12301,15090,20164,1983,
10258,9786,7990,12017,19292,469,
4606,6051,4364,4829,11020,204,
991,2715,1749,662,1130,421,
6093,26735,12067,523,4101,208,
26126,27588,23193,2067,20055,0,
13575,18332,19580,3000,20101,460,
6482,12480,16613,2863,23315,453,
1529,3226,5921,1140,9040,68,
599,699,874,0,1345,296,
12586,39768,21701,10246,20066,739,
35338,36508,17363,16560,28314,1335,
29733,21821,16389,17465,29013,1584,
21393,16262,11702,11346,20588,880,
6414,4613,4849,4050,7730,378,
1588,1779,2116,880,979,379,
13019,60655,20714,1094,8912,714,
30701,46711,19387,2649,14051,297,
23536,35973,22028,3412,23140,400,
12956,21065,14772,1767,12112,172,
5095,7803,4994,648,4002,288,
1183,609,1541,274,1075,46
*****
