OCCLAT2K: 2000 Occupations for Latino groups, age 16+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Latino,Gender,WkAge,Occup
6,2,6,6
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
TopWC,OtrWC,Service,TopBC,OtrBC,Farm
70836,325814,414712,404094,376256,97369,
163660,301699,382515,599652,511189,116814,
146230,199861,238351,429735,383915,85226,
87337,104712,135588,210602,203983,47448,
31942,43397,58464,75930,84496,26718,
11867,18795,29621,25377,25922,14265,
78326,562942,300357,21060,130024,35662,
183417,504075,331421,32227,220097,46523,
159790,357692,289418,30090,220495,43499,
92682,190685,174574,15620,114662,19614,
26724,75619,81878,5249,41495,10809,
9841,21874,30265,2693,11108,3937,
20266,96145,77871,59493,63705,4346,
61588,101321,83590,93377,89545,6311,
68186,89117,72141,90180,80840,8524,
52721,57533,45527,60400,57850,6749,
25491,31677,29514,35354,33279,4858,
10555,11310,11876,8769,11581,2404,
30323,191841,61476,4875,23086,867,
84767,210689,75719,5354,46241,1583,
91399,160687,66586,6427,53248,1634,
70348,92744,48998,3850,39627,665,
20590,36237,27160,2603,21330,321,
6409,9414,11341,1093,3660,349,
4539,17771,11819,5389,6797,752,
20625,20474,9864,18979,17041,1135,
32156,29098,12281,22260,19718,929,
19931,17843,8771,15682,14649,758,
11534,14500,11088,13610,10102,495,
9479,7675,7818,7959,7410,864,
5436,26253,8322,319,2101,357,
23417,34493,10636,887,5282,259,
30049,36864,12747,1056,6480,240,
16414,28038,11124,1009,8267,293,
9209,18219,11693,1597,9245,671,
5609,10500,7404,1399,5554,111,
9406,51809,43721,47756,41728,4816,
25442,52323,58235,82805,69720,6510,
24795,37391,42045,64284,58106,3789,
11812,18208,25084,28755,30993,2266,
4200,6505,10652,8892,10885,679,
2242,1772,3663,1512,2600,60,
10779,79340,34864,3058,14908,825,
29232,78401,69895,5128,35469,2205,
23746,58934,81290,3763,43915,1260,
12776,25563,52811,2139,24230,817,
3905,8234,16898,921,6481,587,
2074,3305,4256,267,2486,0,
6377,29266,22863,11828,10931,661,
33822,31632,24047,22766,21513,844,
35155,26209,21173,30130,27316,746,
17536,12716,13570,13929,18744,450,
6981,6552,6728,8649,7395,417,
3399,3727,3604,2439,1265,175,
9702,45441,18912,1091,7002,137,
34251,45879,27884,1982,11716,79,
34936,42383,33172,1979,14848,184,
15512,25439,27671,2430,12468,384,
5790,10764,12218,898,6941,356,
806,3083,4465,135,1834,119,
24440,97067,85572,70136,69245,9277,
53812,86017,71056,105675,95182,13700,
55805,61803,53638,94362,83805,9344,
39001,40289,33510,56401,48659,5179,
15489,18628,16413,20289,23028,2910,
8085,7194,10536,9113,9582,2924,
23421,177743,85114,4551,23811,4098,
71917,165021,87296,10193,45983,5614,
61083,131884,98234,7638,42731,4257,
41512,84064,63684,4664,30667,3621,
15706,34482,30490,1801,13339,1894,
6640,11171,12198,877,4324,443
*****
