2008 Full-time, year-round workers, age 16+, Arizona, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Earn
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
<25K,25-34K,35-49K,50-69K,70-99K,100K+
24685,12888,9249,3411,585,295,23530,31116,43681,34081,16455,9177,16205,20470,37859,41771,32372,31254,17821,21956,35705,41670,34691,37958,12227,13425,21757,24599,19374,24568,5866,3160,3394,3845,2388,3119,
21441,8896,4852,1021,351,128,25165,28425,30288,15336,6819,2634,20724,21299,32197,23116,11706,8573,26012,28410,38149,28254,15114,10521,16998,18593,22930,16796,8122,5460,4460,4145,2355,1245,1066,528,
2582,1376,743,72,0,125,3299,3302,2392,1594,415,183,1766,2404,2631,2667,1141,764,792,1369,2791,1584,1044,873,711,569,758,373,420,325,125,56,127,164,97,24,
1098,807,473,68,10,0,2146,2070,2059,990,140,54,2057,2185,2975,957,802,373,1035,1575,1716,953,853,105,766,1229,678,120,311,144,202,61,81,59,0,0,
855,385,277,132,43,0,1182,1198,2323,2248,2082,735,1606,939,1674,2210,1617,2112,785,596,730,1217,1120,1829,669,729,558,659,262,515,252,29,133,37,27,178,
849,283,33,92,0,0,1443,1164,1306,1142,535,275,1172,1289,1126,1549,842,742,1721,1482,997,743,596,242,1035,591,606,511,200,116,393,137,10,22,0,0,
33484,9160,3890,850,407,62,53712,32503,24770,11122,4131,2269,27117,22867,21999,13932,6277,3145,18265,11163,14433,8862,4460,2714,7314,5609,5246,3543,1924,1124,2234,1073,634,417,162,290,
17137,5310,768,296,73,0,25677,16535,8226,3237,1091,562,23895,12431,8492,4570,2104,847,16224,7729,8441,3433,1778,838,6877,2932,2746,1263,414,147,1720,223,93,73,0,52,
2041,650,387,97,30,0,3064,1937,1751,1023,365,173,1937,1614,2022,1133,173,38,1801,1168,1459,1336,478,204,809,1041,769,324,202,48,232,120,124,61,14,29,
1716,769,124,17,0,0,3558,1761,1996,222,308,0,2041,2449,1615,887,180,64,2519,2002,1573,492,102,176,1176,805,628,138,198,70,99,38,22,29,0,0,
21,0,48,0,0,0,125,202,118,20,28,0,49,112,19,95,108,56,209,0,85,126,29,0,186,29,69,28,49,16,133,57,0,21,23,0,
43,0,0,0,0,0,83,38,17,0,0,0,198,50,47,29,0,0,155,103,64,21,0,0,256,90,43,31,0,0,0,28,0,0,0,0,
739,61,263,142,58,21,902,662,663,516,392,72,465,327,562,544,249,209,136,329,413,237,164,226,171,207,170,104,119,110,230,46,0,0,0,0,
772,161,253,40,0,0,767,633,442,180,109,39,352,376,804,225,33,121,372,589,532,135,275,38,132,228,255,64,74,0,26,47,0,0,0,0
*****
