2008 Full-time, year-round workers, age 16+, Florida, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Earn
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
<25K,25-34K,35-49K,50-69K,70-99K,100K+
75263,35970,18672,5217,1222,676,72886,90237,110034,74080,32865,18399,56988,78055,124046,113717,78400,76931,62187,75932,115669,113337,90097,100800,46829,47383,68964,69520,52648,68450,18165,11620,11503,10856,8489,15382,
63265,22970,10381,2795,197,120,73209,79017,74547,32527,12722,6385,75249,78911,92075,59803,30187,20668,91155,89481,103899,75896,39930,27819,60142,62381,65585,45321,24853,13815,16095,11770,9498,5207,2734,1849,
27737,9370,3232,123,275,130,37482,29248,23482,10951,3959,1017,29490,25576,28807,17126,8117,4522,26833,23600,22731,14415,6817,3726,14060,11001,9927,6089,2848,2270,3802,1672,1717,987,368,286,
28929,7826,2561,1057,20,45,42150,30207,21094,6564,2273,707,43742,28654,26381,11455,5353,2184,41667,25934,22027,12011,5406,1540,20080,10782,9393,5751,2376,690,3364,1597,456,384,196,35,
2267,907,387,184,22,14,4713,2515,4032,3404,3550,1300,4560,3701,4479,3955,4108,4579,4650,3679,3454,3111,2085,2481,2794,1800,2076,1569,1217,1473,956,406,223,410,230,232,
1871,666,221,81,0,0,3981,2799,2801,2707,949,740,6068,3496,3454,2612,2092,1264,5888,3439,2660,2198,1349,867,2748,2356,1377,1389,872,544,920,515,241,101,110,70,
53999,16614,5246,1535,289,356,87370,53914,43392,21531,9403,5755,65717,45878,45370,31078,18409,15677,42804,28279,31539,22012,13500,14715,26942,15835,13908,9628,5178,6420,9845,3383,2955,1678,866,1366,
32182,9118,3510,644,192,19,48696,32163,24901,10652,3560,1337,60550,29107,25307,13178,6957,5672,50627,23577,19844,11994,5407,4121,29378,10281,8092,5003,2633,1878,5474,2526,1427,634,270,250,
579,84,29,36,0,0,1020,671,279,173,62,0,467,498,619,346,189,116,843,461,652,382,210,123,133,104,437,216,104,165,125,48,0,59,0,29,
349,128,29,28,0,0,389,315,302,114,0,0,603,321,542,240,58,0,486,503,235,190,368,0,334,192,406,55,29,0,64,0,36,0,0,0,
1192,601,212,0,0,0,1104,910,408,339,80,0,943,558,423,239,481,196,543,276,497,211,136,94,214,79,179,240,0,53,27,22,0,91,0,0,
420,152,74,0,0,0,823,702,701,268,15,29,998,465,577,185,195,20,454,144,267,202,29,68,180,287,56,106,71,32,62,0,0,0,0,0,
1995,683,258,25,27,65,1443,1983,2573,1062,458,234,791,1607,1581,1250,913,653,1012,606,1069,541,799,529,622,446,613,405,418,361,302,101,12,26,9,37,
1423,678,339,134,72,0,1873,1301,1496,590,188,67,1343,1398,1060,463,256,179,1327,1095,767,767,391,187,1101,720,450,267,166,19,155,182,105,34,0,18
*****
