2010 Education by Immigration status in Alaska, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
676,1020,9978,13375,5937,1366,341,
0,0,0,0,0,0,0,
0,0,0,0,37,0,0,
0,0,112,132,0,0,0,
0,0,56,265,62,0,0,
558,1012,8660,11862,7100,1858,947,
0,0,51,0,0,0,0,
0,39,23,0,43,0,0,
0,49,78,0,0,85,0,
0,0,0,43,0,54,0,
552,1567,12532,13979,7783,2847,1721,
17,19,110,83,86,0,12,
0,32,48,41,39,0,0,
0,0,114,0,70,71,86,
0,0,63,0,0,0,31,
506,789,6791,12162,7655,3950,1657,
37,0,99,258,9,70,153,
0,18,0,13,124,12,0,
33,0,0,35,17,10,0,
0,0,12,61,28,0,0,
1059,1101,4589,5838,3142,1703,1406,
37,13,250,163,65,43,37,
16,0,0,0,0,0,65,
0,0,0,0,35,21,0,
0,0,0,0,0,0,0,
409,360,5587,11300,8832,1756,414,
0,0,0,15,0,0,0,
0,0,0,0,0,0,0,
0,0,47,18,52,0,0,
0,0,0,447,368,48,126,
144,763,5521,12105,7447,2318,886,
0,0,0,0,16,0,0,
0,67,54,19,0,0,0,
0,0,135,87,43,0,0,
0,0,7,262,103,51,33,
211,785,7253,15308,7678,3529,1292,
30,0,102,207,34,90,56,
0,27,71,42,23,0,0,
0,40,0,10,180,152,51,
0,99,45,148,26,83,31,
153,802,4832,11424,6011,3219,1002,
82,40,172,434,147,31,0,
0,0,0,0,36,20,0,
0,0,55,0,0,0,18,
0,0,0,51,0,0,0,
873,1306,5140,5974,2616,1620,408,
216,106,400,383,171,69,0,
133,0,0,0,22,0,0,
0,0,0,20,0,33,0,
0,0,10,26,0,0,0,
12,31,489,1088,221,0,28,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,88,0,0,0,
95,0,71,123,0,0,0,
17,40,457,944,238,113,0,
0,0,29,0,0,0,0,
0,0,0,0,0,72,0,
0,0,0,46,0,0,0,
18,0,63,50,0,0,0,
20,55,561,659,85,64,0,
0,0,0,0,20,0,0,
0,42,416,50,35,0,0,
0,0,0,0,0,0,0,
0,0,0,0,30,0,0,
0,41,196,383,136,58,0,
0,0,0,0,0,0,0,
0,0,0,30,0,0,0,
