2010 Education by Immigration status in Alabama, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
9059,17391,51664,60112,35623,7135,3096,
0,0,0,0,31,0,0,
50,0,110,49,0,33,0,
0,0,91,96,165,0,0,
43,86,540,195,348,163,46,
11920,17142,63041,65028,36005,11375,5583,
101,0,138,94,79,51,178,
0,0,0,137,44,26,28,
0,0,173,156,166,51,270,
0,155,106,235,109,242,91,
13828,19588,80715,65799,37655,13330,7519,
0,0,68,236,297,34,30,
0,0,0,58,277,70,398,
0,0,0,164,215,72,105,
114,47,184,74,56,113,135,
14676,13688,60112,58290,36809,13270,8483,
0,84,188,214,359,84,89,
30,0,0,36,33,0,33,
0,0,68,33,88,47,105,
8,0,32,0,0,0,0,
31845,18066,70628,48363,30168,12202,10206,
79,81,98,445,239,176,301,
43,0,86,30,30,26,31,
37,0,35,0,34,0,0,
35,0,18,24,0,0,24,
8900,13770,38862,65300,41847,12901,3559,
0,0,0,35,10,0,0,
0,146,36,0,60,16,0,
71,0,172,236,151,183,0,
0,48,228,357,433,165,171,
9108,13046,51479,73296,41472,17118,3964,
0,0,18,64,123,0,85,
0,0,104,289,61,43,0,
101,32,249,332,136,91,102,
27,154,259,225,251,0,34,
12243,14438,77101,75495,41019,18214,4116,
15,44,106,649,93,31,33,
0,52,134,116,40,23,0,
0,44,133,116,120,63,28,
0,0,78,258,109,103,0,
12889,14700,76217,64895,26542,18741,3893,
37,114,366,260,174,212,0,
0,0,50,78,0,0,0,
0,0,59,162,0,58,11,
0,7,49,0,65,0,0,
41895,35762,117967,59138,22374,11030,3209,
226,513,1656,1013,464,203,87,
50,0,47,29,44,0,11,
39,0,0,41,0,0,0,
31,0,42,0,0,0,0,
4156,12498,27754,23573,6798,1153,246,
0,0,0,0,0,0,0,
0,0,63,0,0,0,0,
0,77,0,83,355,25,0,
8,28,0,337,242,131,27,
2305,9372,30266,21278,5881,1561,647,
0,0,65,0,42,0,0,
0,0,85,22,46,0,0,
9,0,29,110,119,47,93,
28,0,31,90,37,63,0,
5649,10089,33375,21887,6802,1291,512,
0,0,0,81,48,0,0,
0,0,22,17,9,35,51,
0,0,0,74,26,36,95,
0,33,0,27,52,0,0,
7467,7316,20285,14651,4598,1987,899,
0,0,57,0,26,93,44,
0,0,24,17,0,0,119,
21,8,0,25,0,0,74,
0,0,35,0,0,0,0,
14114,6955,12651,6111,1402,1878,390,
28,0,23,33,0,75,15,
0,0,0,0,0,0,0,
0,0,140,0,0,0,0,
0,0,0,0,0,0,0,
3288,11032,24441,34262,13425,3907,470,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
26,0,19,269,138,90,78,
25,33,123,242,59,6,49,
3495,7583,27317,32517,10809,4447,813,
0,0,0,81,0,0,0,
0,0,0,25,89,70,196,
0,0,72,102,147,161,41,
0,0,293,118,45,23,30,
4534,10208,30877,34502,10214,4292,634,
0,0,0,25,28,0,0,
0,0,0,6,52,0,27,
0,0,6,81,102,0,22,
0,46,50,43,0,0,0,
5513,8151,22856,21492,6301,4316,974,
0,0,0,76,23,27,0,
0,0,0,0,0,0,28,
0,0,0,0,0,0,0,
0,0,25,25,26,0,0,
20396,13615,18949,10079,3609,4207,501,
0,25,55,0,26,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
130,0,0,56,0,0,0,
19,0,135,528,414,38,54,
0,0,0,0,0,0,0,
0,165,0,169,107,120,0,
0,116,273,61,467,60,0,
179,0,119,287,496,580,350,
0,0,308,70,66,0,82,
68,0,45,96,280,89,131,
53,102,55,301,142,47,38,
91,129,239,41,370,479,178,
31,63,350,54,275,376,121,
0,0,91,185,82,13,11,
0,79,0,71,42,95,50,
108,82,140,72,243,11,264,
160,122,117,0,122,92,255,
25,42,285,90,383,170,36,
0,0,0,25,86,9,35,
35,25,145,246,106,175,202,
36,52,61,101,0,39,141,
0,0,0,0,118,0,0,
0,8,0,0,68,0,19,
130,24,24,0,0,0,0,
0,0,0,0,84,141,241,
227,0,0,0,96,48,0,
33,45,12,0,74,29,0,
0,0,0,45,54,0,0,
0,4,224,452,658,71,108,
0,0,0,48,0,31,0,
0,0,183,150,107,48,27,
29,0,201,151,247,163,0,
108,57,515,437,893,696,320,
0,0,178,124,142,90,45,
0,60,55,212,81,40,0,
28,139,196,52,4,88,29,
85,0,182,300,551,261,218,
170,0,353,424,261,322,146,
0,0,51,242,0,38,0,
9,54,206,76,120,126,0,
67,0,297,198,232,85,54,
0,0,243,87,44,231,160,
31,117,14,69,406,0,56,
0,27,74,75,11,45,36,
200,183,550,231,245,241,66,
260,0,76,18,168,35,0,
63,50,74,34,199,0,0,
0,9,176,0,32,46,0,
31,0,0,54,0,0,22,
142,207,497,144,143,26,33,
83,64,222,13,0,42,0,
34,0,43,0,0,0,0,
32,26,269,24,0,0,0,
802,200,1173,745,790,50,79,
0,0,46,0,0,0,0,
249,27,112,0,21,0,0,
3307,474,1121,606,300,43,0,
