2010 Education by Immigration status in Arkansas, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
5447,10116,45634,41826,20418,4567,1707,
0,0,221,22,0,0,0,
0,0,0,156,0,25,0,
0,0,0,80,32,13,0,
27,0,112,38,195,204,47,
5994,9745,50588,40804,22202,5443,2742,
0,0,51,23,32,21,0,
0,0,0,0,31,0,0,
0,0,61,52,151,58,127,
76,0,22,60,0,111,36,
10163,12619,62004,42178,19961,5307,4083,
0,0,63,266,49,48,0,
31,20,0,0,18,27,0,
0,30,181,157,32,0,35,
0,0,59,7,0,0,25,
9414,9834,46054,40278,19771,7507,4542,
0,70,52,129,190,33,35,
0,47,129,0,40,0,0,
0,0,108,31,0,0,0,
0,40,0,0,0,0,0,
25178,14607,53268,35252,17600,7651,5626,
37,102,429,313,305,168,8,
0,0,0,0,14,0,42,
0,0,0,22,0,0,0,
19,37,0,0,0,0,0,
3189,6612,35706,46406,26066,7140,2197,
0,0,0,0,0,0,0,
0,0,0,120,94,0,0,
0,0,0,87,118,0,0,
65,0,120,20,209,0,0,
4575,7378,42150,47988,24629,7927,2133,
0,0,0,90,0,0,0,
23,0,60,0,21,0,0,
0,33,18,137,43,0,52,
0,0,46,110,266,22,0,
6655,9196,55479,53286,23343,8393,2114,
0,0,175,277,81,67,62,
35,0,156,211,0,0,22,
104,0,170,284,54,0,31,
0,0,41,100,60,0,26,
7480,9505,56797,43561,16962,9861,1702,
30,157,278,474,89,37,0,
10,0,113,130,0,25,0,
25,0,0,38,0,0,0,
0,0,0,64,0,0,0,
29939,22588,83255,42640,14274,7579,1448,
485,506,1380,566,165,87,28,
0,0,72,0,0,0,0,
45,40,30,22,0,0,0,
33,0,32,74,22,0,0,
893,5243,11796,8303,1618,562,120,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,34,0,
24,0,37,0,11,89,51,
1093,2630,13623,6285,2440,803,223,
0,0,0,0,42,0,0,
0,0,0,0,32,0,0,
0,0,0,59,0,27,0,
0,0,0,20,0,82,0,
1830,3818,12464,6673,2016,724,249,
0,0,0,0,0,0,0,
0,0,0,95,0,0,0,
0,0,0,0,0,0,98,
0,0,0,91,40,0,0,
2619,2628,7224,4998,1569,361,277,
7,0,0,0,34,0,0,
0,0,45,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
5323,2786,3872,1781,796,441,124,
0,0,0,39,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
475,3525,8707,14672,4718,1100,155,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,66,0,0,0,
25,0,0,0,0,0,0,
1389,2088,10721,12074,2429,1092,150,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,13,76,159,11,0,0,
0,0,0,22,0,50,0,
1553,3333,11787,11366,2908,1553,158,
0,0,0,0,0,0,0,
0,0,8,0,0,0,0,
0,0,0,0,0,0,0,
0,0,37,0,0,0,0,
2213,3268,7254,6477,2099,1172,92,
0,0,0,0,0,0,35,
68,0,32,18,32,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
6751,4803,6563,2503,1370,709,50,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,41,0,0,0,0,
28,0,0,0,0,0,0,
0,25,214,348,117,0,0,
0,0,0,0,0,0,0,
0,64,79,105,110,0,0,
0,49,83,186,33,72,0,
123,60,45,59,482,356,253,
0,13,0,66,20,33,103,
0,29,0,89,182,0,0,
17,164,220,83,7,80,24,
128,59,143,0,348,39,69,
21,33,64,192,286,133,107,
0,0,17,95,24,0,0,
29,34,224,59,57,0,85,
231,104,75,244,19,0,0,
0,14,33,62,206,0,94,
28,30,43,86,85,0,21,
26,0,97,40,32,0,0,
83,29,153,59,0,83,103,
106,0,88,79,22,73,0,
0,0,44,25,25,76,0,
0,17,0,0,0,0,0,
0,0,54,0,0,0,0,
101,20,7,0,167,37,79,
142,0,75,46,0,0,0,
47,0,51,107,22,0,0,
0,0,0,13,0,0,0,
0,64,337,310,134,0,0,
0,0,0,0,79,56,0,
0,0,50,87,81,42,0,
64,0,407,81,357,0,0,
338,157,138,353,492,379,191,
0,0,108,80,57,0,94,
0,0,31,191,24,245,0,
99,89,202,145,25,0,0,
195,10,340,209,172,41,82,
31,127,154,213,42,0,125,
0,0,26,96,26,51,37,
112,25,37,165,35,25,45,
253,63,274,166,144,0,0,
47,0,244,86,199,14,46,
0,17,75,64,81,0,0,
0,0,27,108,37,20,0,
149,105,143,58,58,111,81,
138,60,42,74,64,0,0,
107,22,60,110,61,0,75,
88,151,25,69,0,45,0,
0,9,61,0,0,0,0,
198,115,303,60,0,0,0,
112,71,99,0,0,0,0,
78,0,0,0,0,0,0,
0,0,130,0,12,0,0,
397,832,943,1334,429,181,0,
0,8,30,7,0,0,0,
30,122,130,155,0,46,0,
2709,697,1428,242,159,0,0,
2955,888,2104,806,296,73,0,
471,334,1334,749,472,45,0,
10,100,0,138,38,0,0,
2286,387,799,306,88,0,0,
2014,226,1284,275,98,0,83,
1096,159,962,314,187,58,77,
157,113,802,391,274,110,74,
564,142,54,8,28,43,0,
1453,267,216,130,47,0,75,
557,136,379,69,20,0,30,
776,124,133,0,0,0,0,
67,307,595,395,126,0,102,
355,0,204,44,12,0,91,
291,117,0,119,0,0,26,
282,23,0,0,0,0,0,
114,0,140,42,0,0,0,
58,0,228,36,126,110,0,
30,147,177,125,0,0,0,
134,0,33,0,45,0,0,
73,0,0,0,0,0,21,
63,0,0,0,0,0,0,
641,485,922,942,311,375,78,
0,0,0,0,0,0,0,
81,203,331,73,0,0,0,
1985,612,805,309,167,0,0,
2586,668,1713,412,531,47,0,
445,45,742,945,467,75,22,
104,0,116,0,109,0,0,
686,100,581,202,0,0,0,
2497,480,841,521,120,18,52,
1361,80,533,31,100,49,46,
448,91,369,709,94,87,36,
480,65,40,29,91,198,44,
421,210,103,77,119,0,0,
943,115,87,26,41,0,117,
832,0,290,256,93,0,0,
165,153,1009,407,14,46,0,
139,0,79,0,13,0,0,
260,27,99,71,0,19,0,
293,0,0,0,0,0,0,
182,0,88,0,0,20,0,
188,185,457,213,0,0,0,
27,82,54,164,0,9,0,
149,0,0,0,0,0,0,
86,20,0,17,0,0,0,
44,0,0,0,0,0,0,
64,98,160,190,105,0,30,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
31,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,103,356,435,205,34,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
131,0,0,0,0,0,0,
0,0,7,0,0,0,0,
113,102,382,479,175,0,0,
0,0,0,0,0,0,0,
0,0,0,52,0,0,0,
0,0,0,0,0,0,0,
0,0,51,0,0,0,0,
92,20,115,342,20,120,70,
0,0,0,0,28,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
37,64,147,115,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,142,603,456,363,61,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
75,0,0,5,0,0,0,
123,0,30,0,0,0,0,
43,14,100,565,186,70,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,46,0,0,
0,106,750,646,155,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
