2010 Education by Immigration status in Arizona, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
3760,11529,49456,88409,49457,9318,3792,
0,0,24,187,0,65,66,
23,0,288,706,373,104,119,
223,93,455,1187,359,87,39,
321,227,786,1286,915,519,347,
3308,10282,50812,86537,51142,16070,6853,
0,55,55,631,269,50,161,
0,159,369,447,562,343,114,
118,291,1022,869,723,235,680,
261,0,753,467,1118,392,160,
4261,12152,63014,97890,53712,19550,9692,
60,86,946,1405,777,482,189,
50,110,312,289,875,359,289,
96,28,1047,1311,719,260,403,
80,135,239,504,348,243,118,
3960,8088,47203,91075,53866,26412,12498,
117,363,1220,1793,1534,506,400,
16,139,393,582,527,304,223,
148,0,263,317,564,207,276,
79,151,427,599,538,100,93,
12614,16830,79842,93920,57370,29175,20487,
1353,952,3154,3071,1688,1066,952,
223,221,215,188,178,128,240,
288,307,629,499,231,90,141,
382,284,751,402,378,100,64,
2902,7178,37583,84226,54530,15714,4291,
0,0,48,22,144,29,45,
0,0,191,360,303,263,0,
29,80,579,860,421,132,101,
393,187,456,1664,1515,737,182,
2953,7452,39469,87515,51084,19906,5649,
0,53,249,600,400,50,145,
35,141,542,599,444,248,79,
113,20,926,1601,1246,469,298,
334,50,645,775,1043,260,120,
3953,9888,59536,111661,52755,22277,7089,
223,228,948,1279,933,213,95,
167,21,791,794,518,149,247,
110,265,907,1050,1110,509,113,
164,123,551,677,688,200,148,
2575,8658,62747,108522,45446,29400,7437,
256,282,2027,3240,893,515,180,
94,98,778,725,363,370,99,
93,91,486,646,292,183,26,
57,309,486,714,408,48,85,
14134,23993,126425,123023,44323,22914,5595,
2095,1980,6580,6448,1732,740,321,
274,252,322,295,364,52,0,
382,315,571,747,200,82,57,
52,582,667,511,144,0,32,
486,1992,5464,7868,2481,236,168,
0,0,0,0,0,0,0,
0,0,6,115,51,0,0,
18,33,108,223,237,0,0,
177,153,454,566,483,146,19,
367,1329,5049,7043,2616,1078,196,
0,0,73,42,0,20,0,
0,44,49,234,32,48,0,
39,0,162,438,176,40,92,
211,43,365,411,168,149,44,
508,1081,4306,5221,2533,1015,188,
27,0,108,158,0,0,15,
28,22,24,93,371,22,20,
83,24,27,21,146,63,93,
198,0,175,53,86,222,25,
304,535,2452,4417,1127,706,377,
0,0,94,129,0,69,20,
118,0,94,0,0,24,0,
16,0,20,0,0,0,71,
132,31,324,49,0,0,0,
1059,556,2172,2062,618,225,124,
24,16,58,73,23,64,0,
0,0,0,18,0,29,0,
0,0,35,0,33,0,19,
23,0,0,0,0,0,0,
419,1225,2808,7264,2796,1059,415,
0,0,0,0,0,0,0,
0,0,0,73,17,0,0,
0,0,213,164,186,65,0,
447,172,516,388,243,32,0,
332,724,3018,6818,2365,1208,135,
0,0,61,15,23,46,0,
0,0,0,44,23,84,128,
17,0,186,250,189,201,95,
106,29,357,243,155,26,53,
442,902,2811,6846,1985,871,390,
0,25,155,73,12,0,0,
25,0,80,195,19,33,0,
112,0,42,58,0,129,0,
18,0,73,219,84,21,0,
589,566,1669,4025,1414,791,95,
0,0,43,89,130,0,0,
0,0,0,18,24,0,35,
0,0,43,0,0,43,0,
116,19,0,248,0,0,0,
994,787,2445,3026,738,595,152,
0,0,30,89,124,0,0,
0,0,0,0,28,0,18,
0,0,22,0,0,0,0,
31,0,0,0,0,0,0,
116,119,859,1667,1679,459,434,
0,0,22,317,99,99,237,
0,64,621,483,189,34,85,
89,132,325,613,523,153,108,
127,0,341,1161,2751,2968,400,
31,81,737,967,997,316,303,
22,42,12,290,538,125,145,
27,204,537,684,547,530,304,
280,302,335,287,1381,1566,874,
303,127,516,257,852,734,477,
49,69,567,678,982,232,122,
73,0,233,567,806,189,222,
207,79,411,639,590,584,248,
162,125,443,319,406,329,155,
364,134,27,245,554,142,48,
66,12,425,438,268,218,151,
131,115,55,524,373,327,120,
233,21,249,418,376,155,90,
205,217,425,175,49,61,56,
47,0,114,169,305,20,33,
22,0,361,272,381,126,72,
101,168,323,141,329,106,434,
127,61,406,199,276,46,192,
154,212,57,144,135,0,0,
113,101,397,111,362,30,38,
0,69,289,1930,1607,410,301,
0,0,201,162,287,38,29,
0,77,180,539,562,0,69,
91,116,394,777,760,128,103,
218,355,771,1111,4567,1879,429,
0,42,450,750,828,291,265,
0,22,262,546,429,215,236,
33,61,780,1005,921,244,91,
395,149,784,1122,1739,970,443,
281,188,657,628,1762,758,219,
0,58,515,956,936,338,201,
43,115,277,721,476,75,85,
257,134,984,1403,845,246,102,
222,159,355,797,691,317,86,
352,181,392,250,666,128,127,
17,0,253,552,315,225,0,
299,208,1314,998,1244,131,182,
380,173,526,389,528,48,0,
489,273,202,441,380,50,43,
152,26,229,274,256,117,0,
162,77,304,288,41,117,0,
606,227,1091,810,621,100,226,
487,63,189,228,137,157,49,
332,29,189,92,47,111,0,
397,148,202,317,131,0,99,
4245,10813,25067,26904,6900,823,363,
24,139,819,652,43,19,0,
