2010 Education by Immigration status in California, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
9273,37460,172548,305150,253329,49190,24473,
20,229,493,1008,930,195,391,
190,671,2219,5652,6045,1393,1636,
607,754,3616,7624,7217,2390,1852,
1474,1234,6628,9135,11753,7304,3952,
11888,42959,181413,293121,240892,85362,45842,
335,1042,2556,4626,4600,2076,1876,
876,1063,4131,6682,5720,2655,1855,
670,858,6292,9778,10403,7019,5084,
879,943,6008,5212,8847,6810,3937,
14958,55780,246604,406121,259833,101613,61071,
1462,2148,6098,12179,12032,6614,2627,
1435,1466,6464,9757,9086,4717,3829,
1063,1059,5837,6025,9189,6073,3510,
412,490,4072,3561,3673,2050,1804,
12115,27832,154681,359423,230746,114431,84050,
3297,2152,7731,16243,13944,8016,6188,
850,1023,3787,4689,5769,3494,3112,
491,588,2522,2840,3850,1933,1731,
1131,642,2057,2086,1702,1066,621,
38479,51401,204468,312052,204043,108704,89884,
11390,6431,15996,21409,16334,9613,11038,
3527,1096,3009,2277,3416,1977,1184,
3130,720,3021,2072,3399,2003,1364,
3075,596,2294,1542,1448,815,679,
6784,20271,111161,283203,262450,74393,26890,
129,0,182,990,773,432,309,
101,393,1723,4649,5373,1915,1374,
664,628,3051,8425,8809,2750,1296,
1330,894,5590,11772,16956,7977,3206,
9666,26222,135529,302284,240161,93868,40679,
195,251,2064,5488,4115,2188,1038,
858,955,3847,7272,6408,2793,1854,
1100,648,6835,14316,13616,6731,3755,
706,551,4814,7381,10289,4798,2360,
12197,38653,209093,450656,258933,105914,44140,
1219,1829,7016,14339,10425,3488,1599,
1455,1116,5759,12043,9394,3213,2226,
957,817,5345,8376,10117,4766,2830,
1217,701,3940,5106,4703,1582,1298,
11431,29369,189760,397134,210180,120067,48097,
2818,2514,11892,20818,11688,6189,3005,
1835,919,5310,6057,5768,2476,1156,
1342,818,3255,3585,4183,1651,831,
1546,688,2795,2025,2177,675,296,
50723,83519,396339,422764,193767,87327,28125,
19184,13953,40886,41248,16904,7659,4171,
5719,1362,4787,3174,2378,777,353,
6586,918,5409,2934,3723,1893,1023,
4680,727,3905,1635,2141,661,464,
3570,14726,40628,55512,19825,3341,1167,
0,38,127,49,33,0,0,
85,77,262,898,305,103,68,
282,350,675,2657,1167,319,48,
581,237,901,2271,1207,238,266,
4541,14059,39773,56548,19454,5729,2077,
19,0,300,500,330,165,141,
488,255,635,1188,398,477,143,
572,35,1047,2467,1149,685,209,
192,151,1100,1019,1161,739,340,
5496,13401,43493,64504,17788,5822,2378,
245,227,639,1057,1013,661,397,
492,210,866,1968,1680,903,445,
356,165,349,831,1080,578,224,
211,19,493,715,280,153,27,
3754,8156,26014,43567,13464,4349,2575,
392,235,537,1734,1037,1025,960,
215,87,429,436,614,254,16,
71,86,252,225,118,40,170,
95,68,153,192,129,136,39,
10458,9433,22694,28810,7924,4631,2621,
520,139,515,597,490,190,356,
116,84,267,184,154,0,44,
150,40,141,124,53,142,0,
0,37,0,32,20,64,20,
1995,10322,30569,64169,22765,5798,1495,
70,0,0,16,105,0,0,
0,229,234,887,242,272,0,
321,222,653,2172,1045,155,61,
602,260,1360,1937,1336,244,305,
2687,9570,30238,66142,22262,10456,2044,
55,58,63,880,260,132,55,
296,81,614,1668,760,276,111,
570,143,1561,2976,1683,542,234,
63,234,830,1670,976,309,19,
3406,10973,33531,78176,23883,8236,2628,
210,262,402,1219,582,378,201,
376,342,824,1851,1310,534,142,
317,333,449,1220,785,499,43,
224,70,623,566,240,132,30,
2807,6941,24641,51492,14917,9415,2527,
315,315,335,2097,910,488,66,
165,119,519,742,80,134,156,
57,0,215,203,151,99,149,
124,268,473,440,228,65,29,
12140,15764,32066,41680,9938,7745,1517,
1052,428,729,831,211,168,50,
224,53,162,354,22,28,53,
445,43,403,214,289,0,0,
516,139,159,41,105,0,0,
1240,4325,16689,39407,51919,9905,6109,
40,421,1041,2652,3661,738,834,
1060,2331,7192,20077,20994,4038,2521,
2102,2876,11204,22214,26017,9741,2785,
2134,1517,8545,16186,33637,25859,6455,
1419,1373,9173,20203,24676,7727,5241,
585,1114,5429,13952,16561,5952,4172,
4441,4000,11920,27792,25752,9149,4369,
6545,3889,11083,17753,30058,24427,8981,
4795,2077,9380,9852,26113,10600,5939,
959,1105,7329,19381,17788,4882,4255,
2797,2862,7840,20597,16865,6720,3752,
10871,6956,17173,29378,30033,15993,8491,
5725,3409,11411,13307,17937,7957,4704,
