2010 Education by Immigration status in Connecticut, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
1640,3627,29596,30622,35151,11296,3233,
0,0,61,0,23,0,0,
30,0,338,591,211,87,0,
262,215,950,680,1090,340,44,
323,440,1860,1666,961,794,468,
2215,4701,42254,37228,43140,17760,7996,
56,237,864,474,398,229,71,
62,109,820,277,277,258,233,
151,107,1288,1061,1039,922,463,
400,153,811,785,849,724,603,
3337,7517,60492,50932,47963,21611,11358,
338,746,2252,1780,1097,542,418,
191,479,893,518,366,385,465,
203,183,883,501,652,818,359,
25,172,605,298,591,371,150,
3447,5318,36447,40732,36009,23480,12232,
1499,928,3474,2145,976,975,729,
275,35,804,236,664,386,409,
140,64,485,179,279,345,123,
104,104,353,179,281,131,48,
12637,12001,49106,33337,28922,17884,12862,
4561,1812,3304,2347,1717,1067,998,
331,26,52,98,156,72,140,
190,75,232,124,130,94,118,
69,29,73,19,43,0,29,
900,1910,19104,31932,38426,19041,4040,
0,0,0,29,79,23,0,
37,0,163,237,450,122,57,
104,45,806,1185,613,649,140,
224,52,1130,1182,1385,880,463,
1673,2638,32088,47835,46431,24951,5867,
89,0,663,605,608,71,50,
40,203,347,470,509,227,136,
284,125,1003,1329,1208,968,469,
160,372,1007,1249,1074,805,264,
1716,4733,51599,67090,50216,28229,8639,
344,361,1802,1855,546,256,116,
330,19,949,1128,544,432,160,
340,195,1064,759,589,647,207,
101,133,668,512,517,187,66,
1944,3507,46434,48650,31533,29169,6188,
1644,1130,3811,2464,1085,1029,197,
112,97,777,421,189,297,221,
171,153,509,316,261,161,19,
75,50,213,152,219,47,80,
16118,17584,97321,45724,26385,19389,5281,
7230,2369,7581,3740,1625,1088,253,
578,89,255,229,84,110,23,
238,114,305,115,200,96,40,
66,74,97,56,138,31,0,
789,1957,6288,4822,2349,183,141,
0,0,0,0,0,0,0,
0,195,224,155,213,34,25,
60,314,1016,821,379,178,26,
274,89,725,1010,384,155,133,
591,1190,7900,4998,1740,564,99,
0,0,440,84,394,119,0,
0,199,744,549,246,46,11,
287,172,994,619,291,175,0,
267,81,977,1000,188,88,56,
1086,2347,6582,3900,1998,1006,449,
0,130,481,319,32,0,50,
150,158,1342,749,260,152,0,
390,85,461,266,237,18,166,
107,0,165,201,125,43,0,
734,1419,3629,2225,919,529,577,
94,107,325,231,39,138,27,
292,128,583,266,42,0,0,
153,239,317,68,25,23,79,
74,32,263,60,113,0,0,
1884,1992,2747,1105,430,433,88,
236,325,587,203,57,73,0,
149,79,222,24,74,0,0,
66,0,81,35,42,0,0,
197,24,163,0,0,0,0,
290,2239,5852,7133,2393,662,277,
0,0,0,0,0,0,0,
0,42,148,466,328,39,0,
148,161,574,1519,547,217,22,
96,238,641,732,401,31,150,
458,1103,6191,6412,2752,945,136,
0,25,172,328,315,68,77,
52,216,430,1534,742,417,23,
109,305,1114,1422,411,37,26,
255,195,725,1029,232,24,23,
592,2263,5808,6856,2135,1342,380,
0,50,357,478,201,83,184,
224,346,547,1191,153,0,25,
170,158,906,438,261,300,57,
204,197,613,371,152,59,0,
548,1911,4935,4591,680,798,257,
111,70,267,403,247,133,59,
244,50,333,332,89,34,0,
303,215,422,100,46,28,0,
102,51,276,128,0,0,0,
2678,2585,4755,1930,625,599,178,
692,499,779,384,140,167,0,
268,211,156,78,0,0,0,
179,108,104,0,0,0,0,
307,112,123,0,0,136,0,
23,40,262,467,859,146,112,
0,0,72,29,34,56,50,
0,201,150,322,370,31,121,
201,148,188,411,627,430,262,
191,122,555,315,3164,2561,431,
0,0,26,49,321,226,201,
35,80,113,153,229,223,64,
151,167,247,706,459,344,116,
316,23,857,463,1186,1226,909,
174,42,240,278,1604,611,490,
51,0,109,169,157,98,31,
0,23,110,118,198,111,185,
187,124,677,671,523,294,760,
196,126,363,170,694,215,647,
91,204,209,312,142,225,115,
38,0,85,48,108,234,123,
109,0,38,33,426,531,319,
95,82,218,210,247,199,219,
261,182,116,100,167,0,138,
206,85,173,69,141,32,0,
0,0,0,31,26,17,0,
50,119,222,200,140,167,638,
51,161,52,9,113,0,79,
0,0,119,124,143,80,0,
173,0,428,135,82,0,24,
36,185,77,408,542,483,211,
0,0,58,0,103,28,65,
0,0,75,318,356,268,120,
167,155,165,405,701,351,102,
511,81,331,621,3660,2330,1110,
61,0,113,320,356,544,202,
32,0,97,183,398,290,209,
25,82,473,268,503,184,214,
292,159,680,686,1494,929,786,
195,327,529,534,2021,596,317,
0,0,106,92,332,273,130,
28,0,155,93,507,184,38,
324,114,717,539,615,527,168,
250,113,513,331,482,267,296,
91,371,154,367,404,52,96,
0,0,39,44,141,92,0,
145,65,138,151,830,69,153,
