2010 Education by Immigration status in District of Columbia, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
0,176,396,1974,13123,5180,3766,
0,0,0,0,0,27,0,
0,0,0,34,48,70,57,
0,0,30,80,551,364,141,
0,0,75,36,279,622,670,
67,44,320,1312,5095,4662,3266,
0,0,0,2,24,119,0,
0,0,150,0,56,21,87,
0,0,0,83,123,137,200,
0,0,27,0,30,411,347,
0,21,448,1109,2870,2486,3025,
0,0,35,28,54,98,38,
0,0,57,70,19,27,189,
0,21,0,0,79,48,79,
0,0,0,33,97,261,106,
61,65,269,774,2065,2419,3196,
0,35,106,0,62,81,221,
0,31,0,27,0,52,101,
0,0,0,20,0,21,192,
0,0,20,0,0,128,33,
55,303,521,778,1839,1498,4117,
0,0,34,0,75,208,300,
0,0,0,36,0,36,62,
0,0,0,0,0,46,17,
0,0,0,0,0,0,0,
38,20,153,1160,12835,8586,4656,
0,0,0,0,0,30,0,
0,0,0,0,44,99,0,
0,0,0,174,210,225,87,
0,0,0,161,452,645,293,
0,29,106,493,4163,3209,3018,
0,0,0,0,32,80,49,
0,0,0,11,22,70,119,
0,0,0,30,128,163,213,
36,0,58,30,100,442,272,
29,21,124,468,3281,2361,1826,
0,0,0,25,51,30,51,
0,0,0,31,0,0,156,
0,0,0,28,44,169,0,
0,0,20,0,64,30,51,
157,49,395,1057,2516,2798,2182,
0,0,58,56,215,136,192,
0,0,0,0,26,26,54,
0,0,0,18,27,0,44,
0,0,0,46,28,153,56,
41,78,902,1635,2681,2191,1467,
23,0,207,519,257,202,249,
0,0,0,0,20,0,27,
0,0,32,20,27,0,0,
0,0,148,0,0,0,0,
408,1265,5689,4399,2505,1174,381,
0,0,0,0,0,41,0,
0,0,73,0,51,0,0,
31,57,89,206,87,76,64,
0,144,290,232,282,0,0,
393,1643,6265,4300,1894,665,445,
0,0,33,0,36,0,0,
0,0,0,289,20,19,21,
0,0,52,69,135,102,73,
76,0,258,212,209,83,94,
1512,2208,8179,4522,1934,685,555,
49,0,49,45,138,0,16,
0,56,257,85,157,22,57,
84,39,187,28,0,0,0,
55,32,92,150,103,0,0,
1057,2056,5376,4121,1226,874,520,
23,34,53,274,249,56,100,
37,0,0,32,0,102,56,
0,0,35,51,0,0,0,
0,0,0,98,23,27,27,
2572,2371,4473,2816,1509,748,302,
115,22,64,69,161,0,19,
109,0,0,20,0,0,0,
73,18,23,0,0,0,27,
23,48,0,0,0,0,0,
270,1696,5710,6116,3316,2237,600,
0,0,0,46,0,0,0,
49,0,0,28,102,40,0,
0,0,0,82,88,187,48,
31,0,345,192,625,92,0,
407,1798,6813,5386,1852,1053,790,
0,0,67,29,156,0,27,
0,0,126,0,23,49,145,
0,20,132,218,47,91,0,
0,81,260,267,145,178,42,
1153,2846,7957,7605,2703,1469,417,
0,0,0,150,117,25,0,
0,14,181,23,111,0,19,
108,29,0,78,16,144,21,
39,26,102,28,89,0,0,
1095,2142,6421,5343,1850,1761,974,
20,0,147,275,223,41,0,
20,23,70,33,0,19,0,
26,0,0,0,24,28,18,
45,0,0,99,18,0,21,
3446,4751,7994,4666,2123,1562,457,
134,63,501,202,67,0,88,
132,26,0,0,46,0,0,
64,43,51,18,0,0,0,
111,42,0,0,0,0,0,
0,0,42,163,622,340,811,
0,0,0,0,30,0,30,
0,0,40,29,25,0,98,
0,0,88,41,151,109,29,
0,0,0,38,178,406,47,
0,0,0,22,199,364,137,
0,0,0,74,26,23,27,
18,0,0,0,54,74,58,
46,31,29,0,180,77,51,
0,0,86,20,12,71,79,
0,0,0,0,0,0,39,
0,0,0,0,0,42,0,
39,0,0,0,121,0,159,
0,0,22,0,79,0,85,
0,0,0,0,33,38,0,
0,0,33,0,24,75,48,
0,0,0,64,30,0,172,
0,0,47,86,0,33,31,
0,0,0,33,0,0,0,
0,0,55,0,24,0,0,
33,0,0,0,0,0,0,
0,0,0,0,43,26,0,
0,89,34,0,37,0,0,
0,0,0,33,0,0,0,
0,0,54,0,0,41,0,
0,0,0,0,678,478,535,
0,0,0,32,0,21,56,
39,32,0,0,311,179,188,
0,0,20,0,183,253,57,
0,0,27,48,288,314,183,
0,0,0,21,176,30,196,
0,0,0,0,78,142,190,
0,0,0,0,0,75,18,
44,0,0,0,120,193,48,
99,0,41,100,70,94,149,
0,0,0,72,45,51,0,
0,0,93,0,0,0,29,
0,52,151,0,60,0,44,
85,41,0,0,128,37,40,
0,0,24,0,0,37,0,
0,0,27,27,36,38,31,
78,0,33,0,78,65,39,
0,0,76,0,38,36,0,
32,55,38,32,38,0,51,
87,0,45,0,33,0,0,
14,0,24,0,22,0,0,
106,0,67,53,90,22,85,
65,0,90,0,54,0,44,
0,0,0,0,0,0,32,
0,0,0,0,68,0,0,
217,71,33,266,817,511,196,
0,0,0,0,0,0,0,
117,236,0,0,88,0,0,
686,276,184,23,55,31,0,
957,168,388,327,510,465,55,
75,0,132,123,376,137,297,
0,0,0,0,54,0,0,
353,127,75,171,20,30,155,
683,183,58,132,33,179,110,
463,0,258,19,120,50,240,
63,0,51,65,131,158,133,
79,0,0,0,21,79,0,
526,55,43,71,33,0,31,
374,0,0,20,134,23,0,
255,0,113,15,168,0,0,
0,0,0,25,186,29,32,
45,0,108,196,25,77,0,
286,22,94,30,64,0,25,
63,0,91,0,0,0,0,
83,0,0,0,0,0,35,
22,0,0,0,0,0,0,
147,39,0,113,18,15,105,
267,0,0,0,16,0,0,
0,0,0,0,0,0,0,
35,0,24,58,0,22,0,
71,79,27,481,626,379,314,
0,0,0,0,0,23,0,
36,0,0,0,24,58,0,
540,0,105,147,189,116,80,
1046,26,278,364,260,309,131,
0,83,114,198,81,105,426,
0,0,0,70,25,51,0,
23,21,26,0,39,0,53,
628,0,260,311,28,93,42,
497,89,178,68,0,82,106,
0,0,82,32,18,63,29,
142,0,69,37,23,18,18,
230,0,58,129,0,24,0,
703,0,156,13,0,0,0,
230,0,24,209,57,71,0,
0,0,20,90,144,76,75,
65,0,62,98,89,0,0,
187,0,21,25,38,19,30,
109,44,48,18,0,25,0,
159,0,76,17,0,0,0,
64,0,0,57,32,31,25,
90,0,63,310,134,232,64,
237,39,0,26,0,0,0,
32,49,20,0,0,27,0,
133,0,0,29,0,0,0,
0,76,0,0,96,92,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,23,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,76,0,67,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
19,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,20,0,0,0,0,
0,0,0,0,0,0,27,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,136,36,93,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,28,22,0,75,
0,0,0,0,0,0,0,
0,0,0,23,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,106,0,30,32,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
31,0,0,0,0,0,0,
0,0,14,0,0,0,0,
0,0,55,0,0,21,0,
0,0,0,0,0,0,0,
0,0,23,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,162,34,0,0,
0,0,23,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,26,0,0,0,
0,0,0,0,0,0,0,
0,0,28,0,0,33,0,
0,0,0,0,0,0,0,
0,0,0,0,128,0,0,
0,0,0,24,50,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,25,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,31,0,
0,0,0,0,0,0,24,
0,0,0,0,0,45,36,
24,0,21,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,18,0,0,32,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,27,0,
0,0,0,0,0,0,20,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,31,
0,0,0,0,0,55,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,55,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,39,51,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,80,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,45,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,28,0,0,
0,0,0,0,0,0,0,
0,36,70,82,326,54,223,
0,0,0,0,0,0,0,
0,0,0,2,20,0,0,
0,0,0,0,0,0,0,
0,0,0,0,33,0,0,
0,0,42,177,44,170,64,
0,0,0,0,29,0,0,
0,0,0,0,28,0,23,
0,0,0,0,31,0,0,
0,0,0,0,0,0,0,
0,72,52,268,33,0,19,
0,0,0,0,0,0,0,
0,0,0,25,0,88,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,72,24,0,0,
0,0,22,0,33,0,0,
0,0,0,0,0,23,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,42,45,0,22,0,
0,0,0,0,0,0,54,
