2010 Education by Immigration status in Florida, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
16088,36782,160682,176347,108886,20809,11260,
74,33,141,295,20,29,72,
0,157,846,1430,1097,258,273,
137,425,2958,3143,2808,884,71,
775,410,5239,4438,6249,1774,1222,
19258,38916,184917,196439,122386,36317,19890,
83,240,1658,1489,1456,447,349,
132,288,2429,2809,2130,626,654,
436,685,3674,4516,4236,2128,1548,
279,273,3795,3583,2923,2035,933,
25190,48990,245677,244725,146543,45931,27514,
371,659,3272,4110,2881,1180,671,
442,787,2674,3390,2490,1577,887,
322,509,3150,3382,2570,1322,1279,
88,138,2252,1913,2565,1036,545,
20605,29033,182241,235708,149995,67835,37498,
1371,1618,4758,5297,4643,1938,1667,
603,409,2249,1858,1591,970,739,
265,397,2251,1964,1587,1088,577,
263,272,1955,1922,1982,948,558,
60386,70436,298934,278324,183317,85307,63190,
7509,5364,14375,13622,8518,4584,5304,
828,582,1917,1647,1228,696,584,
810,994,1857,1312,1395,979,838,
1006,1184,2878,1128,1665,522,876,
11272,23217,113802,189264,128234,34670,11447,
0,0,126,251,162,146,55,
0,33,558,2024,933,384,192,
233,237,2363,3473,3991,972,291,
345,728,5614,4733,6260,2712,651,
12582,25074,151590,219488,133910,45934,14307,
25,224,1076,1956,1678,407,299,
235,176,1909,2451,2553,514,179,
373,336,4351,6048,4775,2164,1086,
332,377,4048,3358,4132,1979,898,
17827,32511,234915,288268,150346,53830,16197,
205,605,3776,4683,2405,1435,650,
327,333,3874,4797,2852,625,572,
464,429,3393,4000,3393,1332,636,
101,913,2990,2682,2225,827,622,
15381,32362,246256,271932,129167,69628,16806,
1523,1648,9997,8765,4660,1939,610,
320,245,2480,2100,1198,482,157,
544,553,2566,2493,1830,594,508,
470,568,2324,2780,1841,679,274,
65645,101558,516717,333381,139562,69220,16245,
10811,10497,33741,23982,7777,3298,1273,
929,867,2677,1766,788,238,376,
1130,950,3090,1785,1711,505,287,
1425,1325,3701,1636,1285,275,131,
8885,23763,55504,46730,14886,2325,810,
59,26,184,496,90,79,0,
258,589,2067,3247,1202,130,73,
1074,1557,5265,7788,3072,776,166,
2233,1719,6454,4958,2142,667,74,
7220,18814,54043,39658,12444,3479,1011,
146,246,1301,2261,770,274,41,
624,1321,5079,4539,2274,722,260,
1928,1702,8321,5507,1898,542,221,
1580,1238,5130,4048,1741,467,379,
8692,18588,50327,35309,12509,3697,1240,
1133,892,4049,3578,2185,835,187,
3631,2905,8253,5242,1516,931,429,
2808,2000,3943,2395,1323,626,501,
1362,875,2873,1275,1113,319,225,
9319,11890,29411,21187,7624,3066,1305,
2477,1206,3288,3640,1946,749,373,
3518,1886,4566,2796,1095,531,311,
1058,895,1401,974,297,71,132,
949,708,1233,474,494,208,117,
18760,10141,17311,10923,4575,3472,1179,
5035,2685,5647,3203,1582,980,474,
2882,1130,1634,985,291,250,124,
1643,337,1018,449,65,30,51,
1586,593,783,500,62,119,106,
4893,14611,51444,64801,24111,7208,1789,
0,0,308,343,57,0,31,
167,642,1865,4294,2010,866,70,
816,1150,5579,8319,2777,936,500,
1003,1823,6041,6610,2675,674,303,
4376,12563,46718,54804,19319,9184,1795,
44,183,1306,2891,885,578,173,
934,997,4656,6448,3294,1234,246,
1901,3530,7241,7078,2050,756,369,
2032,2126,5562,6189,1886,491,408,
6256,15930,49352,52207,17077,6916,1363,
625,378,2746,4744,2837,644,323,
3699,1715,7519,6714,2787,1466,272,
2324,2275,6229,3922,1218,432,133,
2799,1181,3744,2119,1273,308,141,
7594,11211,30474,31092,10356,5997,1456,
1830,1061,4769,5001,1931,969,278,
4084,1952,4150,2410,1029,562,70,
2115,1141,2436,2032,558,150,103,
2121,830,1434,1327,683,183,72,
24724,18229,26068,17555,7107,5114,1183,
6068,3009,6497,4077,2159,721,218,
3725,1086,2597,1476,226,144,29,
3043,859,1686,286,422,195,0,
3680,415,1632,478,278,152,68,
97,205,1657,3903,3303,698,637,
0,67,239,323,152,27,111,
23,161,666,1417,1428,545,96,
305,237,1139,2006,1767,1238,200,
221,425,1327,1510,4132,3828,803,
83,86,651,1565,1390,681,490,
51,144,341,901,670,338,501,
478,311,1666,2105,2511,535,648,
756,427,2044,1803,3376,2609,1275,
504,420,1694,1232,2789,1226,1273,
24,48,495,708,537,331,283,
253,339,862,1552,1213,686,364,
1054,781,1792,2126,2245,952,597,
341,565,1748,1130,1828,1278,860,
318,257,1151,792,1499,649,360,
135,27,126,256,289,144,32,
384,535,1363,1946,1438,1052,1002,
716,361,1035,999,1180,389,549,
474,341,697,976,1088,311,200,
208,328,728,498,913,158,143,
32,4,438,297,107,25,173,
947,444,1359,1350,2244,801,2056,
776,351,664,368,617,353,141,
615,515,622,377,369,100,197,
286,65,112,327,412,109,333,
153,168,953,2550,2442,652,694,
0,48,362,76,269,70,186,
0,243,884,1489,1782,195,425,
228,253,1641,2269,2465,751,386,
805,475,3014,2996,8182,3637,1000,
25,13,483,1411,1456,301,209,
92,103,349,1368,1113,552,583,
423,559,1771,2132,1748,443,345,
1391,971,3190,2840,5335,1942,963,
969,712,2040,2360,4134,1470,713,
0,30,585,943,570,110,104,
335,517,1237,1948,1524,201,374,
2031,784,3360,3006,3022,896,453,
834,972,2071,2374,2328,1039,525,
598,827,1588,625,1464,259,252,
43,91,222,367,336,127,93,
1616,1038,2341,3222,2632,790,621,
1057,684,1305,1509,1448,450,253,
824,275,1611,977,1001,78,104,
333,439,746,567,1015,134,52,
38,89,300,360,103,80,44,
2482,1068,2303,1944,2170,636,960,
1838,570,687,258,472,151,196,
1557,340,1112,252,464,153,0,
1077,288,607,221,745,57,210,
8248,11649,42291,47238,17369,4004,1459,
119,307,809,1166,585,37,90,
2189,2807,8227,7974,2959,782,169,
16143,7213,19194,11188,5118,937,211,
