2010 Education by Immigration status in Georgia, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
13391,23687,86444,92735,74039,16486,7695,
0,85,89,51,57,83,0,
0,26,285,401,540,73,109,
190,103,530,1199,863,451,125,
406,287,1499,1308,1869,1395,612,
15509,23882,107146,102589,86729,27821,12502,
82,0,306,342,116,199,105,
290,62,298,222,557,148,33,
192,238,1331,1261,1712,532,538,
178,171,1164,493,1606,909,508,
18747,26628,124213,104264,86510,29537,14143,
32,79,180,740,1232,560,159,
0,82,385,1192,622,452,418,
253,55,1194,647,1297,953,397,
95,74,617,606,442,510,77,
21046,19030,89553,89006,68772,27747,18739,
24,150,284,995,797,606,436,
68,47,96,211,553,220,209,
95,0,289,459,593,437,309,
54,24,55,119,252,26,96,
40253,22337,93459,73364,49430,20158,18823,
503,132,1151,887,1050,519,999,
155,32,102,260,265,120,33,
241,24,164,181,329,262,75,
64,25,140,126,63,117,26,
9491,16712,64014,105367,85755,30244,7655,
0,27,23,52,31,0,0,
0,95,130,281,374,150,19,
220,264,855,832,917,327,43,
193,104,1670,2035,1994,983,209,
10329,16039,93920,112286,91930,36073,12690,
0,0,129,227,477,75,43,
29,0,114,476,553,251,52,
470,183,1327,1651,1847,669,538,
42,166,777,870,1575,653,225,
13822,20873,121967,128744,80220,34454,11789,
0,195,451,781,805,277,282,
45,258,642,1212,720,494,176,
260,154,1184,1101,921,381,245,
31,107,374,389,823,392,140,
15575,19203,116402,102363,56152,32880,11942,
174,128,1308,1408,1197,482,222,
91,0,543,446,324,224,190,
135,216,268,396,514,240,91,
61,70,387,189,195,38,37,
53007,42594,165138,88872,39658,18248,6149,
996,1066,3850,3070,986,457,290,
306,98,331,246,143,23,0,
486,125,345,194,259,72,73,
152,0,198,196,322,102,28,
6603,23681,61071,57267,21758,4359,975,
0,0,209,0,30,0,0,
25,137,506,1409,517,240,0,
161,237,1396,2306,998,257,112,
431,307,1592,2887,1255,448,41,
5592,16685,69979,57648,23704,5401,2106,
13,15,225,1073,429,133,0,
127,71,545,1358,901,173,125,
144,302,1704,2405,1683,651,185,
280,242,1403,1608,1546,392,153,
8894,19674,70720,48191,17801,5675,2122,
84,187,312,813,824,462,161,
215,384,1191,1605,1261,633,453,
271,228,809,789,789,640,656,
76,0,1022,497,516,143,55,
12490,14238,39412,26485,11066,4805,1895,
132,154,609,861,733,452,255,
144,44,516,567,453,281,165,
132,71,263,393,267,72,100,
39,56,201,75,74,91,48,
22278,12374,20179,11535,4294,2983,1440,
330,138,634,315,243,228,141,
56,88,219,75,97,136,96,
42,63,151,147,0,100,0,
28,31,131,189,58,0,21,
5351,17078,56515,81525,33641,13833,3035,
0,0,72,127,115,19,0,
167,101,347,1087,922,350,32,
59,364,1090,1952,1891,423,233,
434,361,1460,2177,1393,465,43,
3959,14681,61567,85825,34762,15324,4789,
0,0,125,985,391,579,268,
105,93,721,2274,1839,614,143,
289,167,1563,2751,1710,737,301,
115,173,1101,1730,632,321,116,
7092,18764,66436,72632,25891,11284,3071,
0,119,260,1687,905,457,224,
62,38,731,2337,1514,586,134,
63,218,665,1027,435,311,65,
214,249,833,334,547,41,46,
10364,18325,47524,38757,14538,8355,2596,
237,161,735,1296,555,650,248,
0,317,847,491,439,97,0,
313,238,190,358,196,132,98,
332,222,312,486,126,60,21,
35482,22207,33671,17159,7397,5857,1244,
481,172,1205,695,207,101,69,
196,78,388,399,51,21,0,
597,22,180,152,0,58,0,
134,68,481,251,88,115,0,
89,36,919,1355,1712,550,349,
0,0,77,169,44,49,0,
0,192,463,655,1172,303,47,
67,356,1456,951,2333,1118,163,
225,382,800,1184,4210,3232,641,
38,116,382,506,674,331,401,
64,0,101,555,340,131,193,
281,189,1023,1096,1032,638,309,
565,617,1971,1506,2402,3077,1249,
362,250,796,695,3025,2428,867,
60,24,518,211,260,279,92,
326,65,573,808,775,284,114,
639,431,1235,1710,1700,1157,759,
561,368,956,535,1488,766,678,
265,95,745,715,1348,406,278,
0,53,39,156,63,49,71,
284,47,473,557,912,581,362,
445,147,713,516,818,265,193,
339,174,767,578,641,326,61,
168,214,534,177,576,283,169,
0,0,151,119,76,0,18,
105,53,315,274,540,631,514,
545,195,649,191,345,44,180,
291,181,523,325,555,154,163,
313,19,246,115,353,165,0,
15,116,671,1073,1610,743,589,
0,27,77,320,241,41,0,
107,0,229,363,691,349,181,
213,311,1227,1293,1940,630,285,
380,567,1663,2225,5694,4339,556,
30,169,416,290,557,441,303,
0,0,332,947,911,175,181,
344,414,1049,725,898,380,290,
978,588,2562,1887,3371,1741,1062,
458,611,1618,1293,3702,1768,571,
26,127,181,338,364,386,163,
356,309,847,989,885,253,0,
844,435,1880,1594,1882,746,372,
687,408,1271,1069,1714,748,291,
566,152,1235,671,1601,495,96,
0,15,280,318,127,56,24,
658,509,1284,1046,1279,264,153,
612,140,969,380,782,194,56,
557,502,926,573,458,186,22,
490,342,547,230,354,61,37,
144,35,256,87,41,69,0,
421,499,1091,450,603,171,96,
1026,201,516,149,227,62,0,
1084,119,379,110,308,100,23,
893,164,415,332,167,105,0,
2058,1769,4836,5209,2309,447,354,
51,23,154,184,0,0,0,
1038,777,1657,580,250,21,22,
14470,3018,8277,2743,606,259,89,
22210,3471,12226,3704,1773,387,245,
1127,1078,2875,3560,2644,774,437,
669,139,434,180,274,0,145,
5728,901,4101,1382,415,184,23,
9887,2528,6705,1750,1513,346,22,
9169,1949,4193,1334,1308,369,253,
1038,654,1745,2822,1185,629,377,
1446,444,1039,841,386,249,139,
3685,708,1606,1109,427,159,118,
3937,638,1296,735,450,58,84,
3587,171,1723,785,447,344,144,
291,194,1167,1262,585,319,159,
596,284,692,1083,525,243,25,
1353,144,330,190,149,66,25,
1154,80,655,79,91,0,28,
1365,112,430,98,223,0,0,
487,197,781,771,500,134,74,
456,24,512,139,550,118,268,
269,0,63,78,69,40,0,
736,50,73,0,0,0,23,
191,120,0,0,28,0,31,
1415,1444,3661,6915,3336,898,355,
0,0,114,69,80,0,0,
344,347,1038,1104,351,225,0,
8722,2513,6225,2233,625,141,150,
12011,3183,8719,2740,2174,553,182,
607,852,2510,3873,3015,1087,498,
222,331,445,580,366,88,29,
2332,813,1125,1140,414,104,80,
8542,1746,5595,2524,1674,514,135,
5592,779,3443,1809,1436,357,287,
608,459,1448,3030,1054,664,349,
901,337,463,1106,283,104,79,
1266,501,1419,1091,648,171,94,
3431,248,1191,705,1084,225,102,
2292,56,855,937,494,45,116,
449,215,1556,1229,760,115,117,
506,445,646,750,286,51,68,
504,174,91,125,348,7,0,
1361,327,307,344,118,43,0,
772,106,514,205,85,0,0,
873,373,1463,892,257,103,31,
746,108,1038,515,270,286,33,
409,72,176,29,69,0,23,
635,29,391,146,0,85,0,
674,198,291,89,204,0,0,
209,188,340,246,208,0,0,
0,0,0,55,0,0,0,
0,0,0,0,0,0,0,
40,0,101,0,0,0,0,
101,0,68,0,0,0,0,
0,53,305,663,216,140,46,
0,0,0,0,0,0,0,
52,0,0,0,0,0,0,
21,0,132,0,66,24,0,
0,0,0,0,0,0,0,
55,159,573,706,229,185,44,
0,0,0,0,0,0,0,
68,0,34,0,0,0,0,
12,25,0,0,0,0,0,
21,0,0,0,0,0,0,
49,64,237,587,194,45,63,
20,0,0,0,0,0,0,
0,0,0,27,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
170,25,218,298,35,43,44,
0,0,0,0,0,0,0,
0,0,37,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
23,7,398,507,123,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
36,0,0,72,0,0,0,
0,0,50,0,42,0,0,
25,271,140,518,221,76,104,
0,0,14,0,0,0,0,
63,0,0,0,0,0,0,
120,0,0,0,0,0,0,
0,0,54,0,71,0,0,
277,77,406,628,181,0,79,
36,0,0,0,0,0,0,
0,0,0,0,0,0,0,
14,0,34,0,0,0,0,
21,0,0,0,0,0,0,
128,241,475,274,84,73,121,
98,0,0,0,0,0,0,
0,0,23,0,0,0,0,
0,0,18,0,0,0,0,
0,0,0,0,0,0,0,
154,169,158,344,97,0,0,
0,0,0,0,11,0,0,
32,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,16,168,291,160,0,73,
0,0,0,65,0,0,0,
0,0,15,0,0,0,0,
0,0,95,173,0,21,0,
480,71,179,100,174,0,0,
0,250,113,184,31,78,0,
0,0,0,0,22,0,0,
0,0,84,0,0,0,0,
24,0,37,125,134,106,0,
46,81,184,0,0,31,0,
24,40,154,80,20,21,0,
0,0,0,91,35,0,0,
0,0,0,72,67,0,0,
68,0,29,29,22,0,0,
22,146,0,0,0,0,0,
0,31,19,68,144,72,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
38,0,55,18,96,0,0,
0,0,0,78,0,0,145,
0,0,0,0,104,33,0,
0,0,0,0,0,0,64,
0,0,0,0,0,0,0,
0,24,116,0,0,0,39,
9,0,0,0,0,0,0,
0,118,234,452,275,83,26,
0,0,0,0,0,0,0,
0,0,0,74,23,0,0,
63,0,0,0,0,0,0,
325,153,233,161,270,57,65,
38,69,148,525,61,69,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
78,0,189,30,85,0,0,
0,179,110,62,24,0,0,
62,0,0,195,47,76,0,
0,0,0,0,159,0,21,
59,0,44,0,0,26,0,
0,137,52,181,0,125,0,
0,0,0,0,0,53,0,
24,17,112,90,46,30,6,
74,0,0,11,0,0,35,
0,0,0,24,0,0,0,
0,0,56,24,0,0,0,
0,0,0,0,0,77,0,
0,0,0,0,21,34,0,
0,0,0,0,0,0,0,
34,0,80,0,0,0,0,
115,0,67,0,0,0,0,
6,0,0,0,0,0,0,
31,206,1564,2945,1174,232,112,
0,0,0,40,0,0,0,
0,0,81,0,25,0,0,
0,0,40,120,63,66,0,
158,0,26,0,68,63,0,
370,152,868,1565,1225,341,91,
0,0,27,0,30,98,0,
0,0,23,0,29,29,0,
0,22,73,23,25,113,45,
0,0,13,57,48,6,0,
363,472,1271,1303,555,109,120,
0,0,63,102,26,0,18,
0,12,0,112,20,0,0,
0,0,43,11,47,29,0,
22,52,0,0,62,0,0,
292,136,782,544,411,278,124,
0,0,28,88,10,26,92,
47,0,0,0,33,29,0,
34,0,0,0,53,0,0,
32,0,0,0,26,27,23,
233,72,621,463,96,62,114,
0,0,0,25,24,0,43,
0,0,0,20,0,0,0,
0,26,0,0,9,0,0,
70,0,0,0,57,0,0,
107,240,1452,3455,2047,571,101,
0,0,0,0,0,38,0,
0,0,81,34,0,12,0,
0,0,0,74,18,46,0,
26,30,54,0,192,168,0,
36,382,803,2575,1409,475,294,
0,0,0,48,89,0,0,
0,0,80,0,136,0,0,
26,0,106,109,18,82,0,
0,20,47,37,98,22,0,
149,268,1098,1934,938,435,120,
0,20,0,138,87,0,22,
24,66,48,150,30,0,0,
0,0,176,111,33,17,22,
0,0,0,29,46,0,0,
193,147,721,999,407,331,53,
0,37,44,121,41,26,20,
0,26,0,13,28,64,0,
0,0,0,0,44,0,0,
31,32,0,0,23,0,0,
616,352,698,801,172,30,29,
37,0,0,43,72,0,0,
16,0,0,23,43,0,0,
31,0,28,0,27,0,0,
86,28,0,0,17,0,0
*****
