2010 Education by Immigration status in Iowa, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
1877,7141,43249,62991,37002,6715,2358,
0,0,0,0,0,0,0,
0,38,0,19,0,0,0,
219,117,581,188,173,70,23,
30,30,429,69,323,203,337,
2836,5573,48791,58384,33838,9189,4003,
0,0,0,35,17,0,69,
0,0,112,116,149,0,41,
0,78,329,249,258,41,110,
0,51,7,213,8,89,0,
4439,8138,81532,63083,29850,8862,6618,
0,0,59,265,42,49,18,
0,0,0,70,127,63,122,
34,172,331,199,259,0,108,
0,0,31,348,67,0,0,
4930,5529,58178,52118,31241,10703,6852,
0,0,270,204,22,18,66,
0,0,0,0,109,0,46,
0,46,246,32,0,35,0,
0,27,0,55,30,0,0,
22278,12135,80563,36158,17668,8011,7385,
147,190,353,242,266,16,111,
0,0,0,0,0,0,0,
30,0,0,0,0,0,0,
18,0,126,0,0,0,55,
1865,4511,26942,63780,45287,10426,3362,
0,0,0,0,0,0,0,
0,0,47,110,44,0,48,
169,108,388,262,90,19,0,
43,55,327,389,173,219,174,
1668,4351,34057,65891,39219,12604,3930,
0,0,0,82,25,47,0,
0,0,47,85,89,0,0,
35,0,391,123,141,102,162,
0,0,210,118,0,61,38,
2868,5696,63753,80393,37582,10586,2934,
73,44,105,268,15,78,0,
43,0,48,225,51,35,74,
24,80,690,229,343,9,84,
0,0,195,116,0,61,0,
3568,5345,61414,56918,28232,12428,3458,
0,67,429,347,41,43,36,
0,0,56,0,12,0,73,
242,0,32,22,39,35,0,
0,0,132,164,0,4,49,
23103,16015,122553,55960,22231,7234,1351,
376,391,996,721,154,118,42,
0,0,63,0,0,0,0,
138,0,0,0,0,0,61,
40,0,38,116,0,0,0,
279,932,1656,2144,305,0,50,
0,0,0,0,0,0,0,
0,0,0,0,156,0,0,
62,0,0,0,56,0,0,
0,0,0,376,95,51,0,
0,621,1581,1362,899,280,60,
0,0,17,0,0,0,0,
0,0,0,0,27,0,0,
30,0,0,35,29,0,36,
151,75,125,397,161,236,20,
146,535,1636,1633,521,132,38,
0,0,0,0,0,0,0,
0,0,0,0,0,118,0,
19,0,0,31,0,0,0,
60,0,0,84,0,25,0,
