2010 Education by Immigration status in Illinois, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
6654,19701,109284,150411,146571,35127,13939,
75,0,0,60,227,37,62,
27,71,626,1018,1244,345,229,
682,695,3830,3420,2998,1097,166,
414,363,4303,5136,6228,2294,1108,
6578,16525,127279,152313,130371,49163,19965,
109,265,1556,720,925,547,241,
375,477,1810,1651,998,837,234,
717,788,6691,4621,3242,2802,1006,
442,494,4019,2739,2017,1551,1171,
11442,25357,181902,190838,122732,53675,27262,
556,525,2755,3419,1989,1261,406,
352,674,2905,3037,1568,1544,981,
557,773,4636,2376,2446,1669,1319,
475,263,2541,1487,1198,840,416,
11641,19010,125072,150784,97373,52439,27782,
1921,1673,5540,4880,2784,1554,1563,
444,232,2599,1529,1462,789,555,
605,788,1671,881,1890,1019,651,
286,156,792,476,391,390,140,
39773,39620,175988,113217,67301,35361,26014,
7904,2749,8073,5566,2712,1801,2006,
706,198,917,225,309,283,291,
641,165,699,382,622,289,210,
798,118,530,402,285,104,157,
5463,11886,69811,150227,159491,60089,13971,
0,21,0,332,553,28,55,
0,27,540,1541,1514,122,431,
260,329,2754,4464,5016,1776,513,
347,405,3426,6000,5806,3772,1055,
5541,12713,101210,171849,134557,58169,14788,
65,215,1027,1301,1225,532,337,
343,191,1657,1605,1336,566,318,
399,631,5811,5132,4432,2338,901,
414,152,2926,2906,3027,1921,480,
8889,17786,170561,221068,130881,58308,15670,
660,734,3593,3025,1812,632,308,
702,263,2689,3082,2152,1055,435,
691,328,4115,2353,3237,1913,989,
489,400,3186,2239,1273,594,148,
9317,18193,157163,162165,85974,58360,12616,
1901,1248,6757,5318,2818,1408,693,
508,602,2590,1635,1270,751,237,
988,618,3126,1139,1661,737,529,
789,414,1560,704,831,379,155,
58279,57330,305378,156166,63081,34184,6658,
12465,5417,14122,7739,3019,1797,807,
1401,120,1455,872,519,311,323,
1778,122,1500,463,937,647,249,
1017,231,792,458,352,124,78,
4348,14806,34988,37341,11694,2418,906,
0,0,0,35,55,0,0,
20,44,170,186,117,0,0,
87,86,486,488,240,364,17,
318,326,725,1600,393,99,205,
3923,10694,34103,40539,13053,5202,1417,
0,0,43,50,277,61,112,
15,94,70,55,66,312,0,
164,13,496,786,487,270,176,
26,192,316,713,485,319,132,
6079,14754,36195,38864,10996,3906,1186,
8,45,214,432,465,209,199,
25,0,95,700,624,390,137,
68,25,36,787,388,267,150,
166,26,236,413,314,72,15,
5094,10257,24191,25202,7282,4029,1635,
143,73,342,498,275,134,34,
121,37,34,323,215,108,0,
98,55,131,24,38,81,148,
28,0,73,63,64,0,40,
15213,10971,18563,14931,4087,2088,1461,
71,129,226,227,101,109,228,
198,0,30,46,0,0,0,
126,0,0,0,0,0,52,
49,0,64,0,0,0,0,
2851,11363,30668,51198,21018,7581,1147,
0,0,116,0,0,0,0,
0,33,57,123,130,0,0,
0,91,173,657,426,236,0,
0,211,541,1371,501,174,0,
3057,10346,31318,55911,19914,9329,1969,
0,0,0,92,26,63,197,
12,53,124,337,212,48,16,
81,196,391,703,460,172,155,
246,160,535,343,260,117,0,
4582,14521,31894,57147,17870,8162,2711,
22,29,205,245,121,173,67,
0,24,332,308,171,207,24,
48,34,638,334,178,219,106,
119,152,405,424,97,29,37,
4421,12553,26702,35403,11113,8383,1785,
49,110,245,466,23,36,0,
0,47,208,0,158,0,36,
106,36,101,45,31,140,38,
153,0,105,29,137,47,0,
20089,16932,31888,26459,6586,5433,684,
233,65,266,308,162,58,0,
340,104,165,0,0,0,0,
54,79,34,35,30,0,0,
213,66,0,0,0,0,0,
204,138,560,3808,7180,2245,1398,
0,0,82,163,114,307,266,
79,129,634,1184,2079,277,372,
178,249,884,2461,3830,2539,416,
124,141,622,1960,8707,8922,2206,
104,110,240,1094,2363,1079,661,
32,25,242,716,1630,937,820,
211,155,1533,1896,2385,1027,501,
437,248,1415,2519,5359,5879,1473,
242,129,1121,1461,4066,2918,1696,
60,23,285,1089,1297,348,251,
36,237,820,1753,1311,575,221,
544,763,1145,2601,3330,2132,1303,
387,303,1103,1377,2873,2288,1150,
466,330,1141,417,1490,508,565,
0,24,205,275,509,402,123,
295,220,994,1778,4037,1368,1602,
486,329,1194,1236,3210,627,500,
406,352,1522,884,1406,391,473,
396,272,734,366,1299,374,222,
127,203,480,458,303,48,24,
546,420,841,1001,3039,1829,2175,
771,369,635,609,1452,240,245,
327,361,557,422,734,346,205,
322,74,444,721,967,279,163,
108,160,306,1756,7120,2379,2263,
0,0,218,268,335,162,132,
0,29,504,1898,2820,625,534,
191,166,1355,1858,4681,1122,835,
457,437,1860,2676,11685,8841,1312,
0,113,217,853,2342,1374,682,
53,44,405,898,2968,681,361,
237,219,1066,2066,2293,634,288,
524,730,1683,2504,7890,4681,1448,
748,246,2234,1467,5257,2233,962,
36,24,175,948,980,583,199,
