2010 Education by Immigration status in Indiana, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
11280,21847,102316,101614,63481,11160,5470,
0,0,0,0,44,0,0,
0,0,0,42,60,0,33,
22,0,306,50,327,30,113,
81,6,154,728,1076,455,168,
12036,22162,122343,103888,61609,16141,7032,
0,0,103,204,200,0,8,
0,0,27,82,71,146,43,
75,0,261,318,317,158,362,
0,72,398,227,264,338,250,
16126,26549,153786,109629,60863,20115,11222,
0,25,205,938,353,285,26,
0,22,242,218,158,269,295,
24,15,397,183,150,170,308,
0,8,162,69,498,230,172,
13727,16513,114204,88811,49103,23820,13322,
87,194,965,673,402,286,315,
0,0,309,107,60,34,93,
0,65,199,54,23,89,68,
0,0,101,45,60,49,0,
34966,29194,127474,63688,32043,18482,12438,
467,425,962,892,631,220,356,
29,25,64,59,43,73,34,
35,48,98,33,25,4,121,
0,0,94,54,0,0,7,
10109,16997,72776,114826,78092,17578,5634,
0,0,0,28,22,0,0,
0,0,146,24,61,22,0,
58,0,316,300,340,62,0,
0,65,178,696,1027,451,257,
9853,18131,97580,120517,70865,19938,6008,
0,0,215,187,229,67,149,
0,23,191,253,0,194,55,
0,22,414,250,795,451,82,
0,70,291,434,342,322,87,
12888,20445,150550,127743,59632,26410,5407,
0,61,789,584,203,64,66,
30,0,286,323,194,149,131,
33,7,284,419,228,281,122,
0,32,164,626,140,145,41,
13910,18546,134082,94471,35758,33133,5793,
206,193,1233,916,300,191,115,
0,0,155,52,146,0,127,
0,100,159,70,24,0,0,
136,29,27,33,36,22,0,
41976,48613,206982,80036,24549,22280,3376,
1331,717,3117,1991,564,372,200,
22,30,38,67,0,100,32,
21,0,136,0,25,21,0,
11,37,77,50,131,0,26,
1787,5294,14377,11714,3353,550,25,
0,0,0,0,0,0,0,
0,0,47,103,55,32,0,
0,0,130,225,164,0,0,
179,40,60,535,426,154,0,
1171,3515,12570,11943,4266,813,224,
0,0,0,37,0,0,0,
0,36,126,22,75,132,0,
0,0,130,238,235,46,26,
107,134,243,411,490,163,27,
1403,3382,14506,12419,3296,613,263,
0,0,33,62,27,97,73,
0,0,55,89,39,70,0,
24,61,47,108,94,178,22,
83,0,59,90,9,48,22,
1436,2349,9277,6421,2174,665,356,
0,0,13,40,46,85,39,
0,0,0,113,140,0,35,
0,0,0,66,23,0,0,
0,42,25,0,0,21,0,
3681,3765,5884,3627,1060,366,294,
122,0,0,18,35,0,0,
0,0,0,0,0,0,0,
0,0,0,0,47,0,0,
0,0,0,0,0,0,0,
776,4197,11166,18862,5293,1384,391,
0,0,0,0,0,0,0,
0,0,29,39,60,0,0,
16,85,154,195,85,56,0,
208,0,101,292,374,130,27,
852,3626,11028,16912,4591,1505,393,
0,0,0,95,26,0,0,
0,0,0,33,0,111,0,
49,53,94,549,206,0,0,
33,69,119,356,56,147,0,
857,3804,13795,15610,4266,1460,397,
0,0,20,31,0,0,0,
125,0,0,307,26,62,0,
0,28,28,130,0,20,52,
0,68,122,51,30,0,0,
1411,2693,9091,9222,2703,1775,207,
0,0,22,34,0,0,0,
0,0,23,0,0,31,0,
