2010 Education by Immigration status in Kentucky, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
11074,17142,78247,72688,37407,9571,4361,
0,0,0,0,23,0,0,
7,0,85,38,111,26,0,
246,46,134,193,360,62,95,
140,144,222,214,339,284,93,
14879,20644,95044,67169,35848,11088,5488,
0,0,102,48,0,44,24,
0,0,27,31,300,23,21,
39,59,575,347,182,156,283,
80,108,654,180,172,85,106,
25710,25054,112765,62342,32443,11739,7626,
86,0,279,240,149,167,9,
0,0,200,44,151,26,82,
0,32,223,315,69,50,97,
37,75,404,157,135,84,0,
27144,17282,78293,55352,30354,14639,8481,
84,0,118,135,288,99,149,
0,36,24,52,86,0,17,
0,0,166,64,67,128,28,
25,35,73,0,33,0,6,
56477,19314,71544,39775,19546,10981,8733,
73,23,172,286,246,90,169,
0,0,43,0,31,31,43,
0,0,110,93,13,39,58,
30,0,0,0,46,0,73,
7520,14816,58238,84386,46869,17184,4184,
0,0,0,0,0,63,0,
0,0,81,0,63,0,0,
85,35,373,200,240,140,0,
27,37,272,312,716,190,136,
11513,13320,74666,86723,39754,19974,5410,
0,0,56,203,115,0,0,
0,15,105,122,181,88,25,
0,117,428,363,170,20,45,
0,97,303,331,193,273,67,
16360,18009,106523,89019,34304,19175,5254,
0,0,43,390,69,101,15,
42,0,231,155,164,118,26,
43,0,409,181,136,186,149,
154,33,95,141,75,0,72,
21617,17477,96678,61195,21782,21133,5032,
16,112,357,751,166,64,30,
0,0,179,106,0,25,0,
0,0,66,67,132,5,20,
25,27,118,0,4,0,0,
71177,31062,112265,54422,17214,12284,2805,
240,343,1245,849,238,128,126,
0,59,7,36,40,0,0,
87,56,117,79,42,0,0,
41,91,59,0,64,0,0,
1055,2896,8485,7586,1874,591,37,
0,0,0,90,0,0,0,
0,0,0,36,0,0,0,
0,0,39,341,0,89,0,
125,0,440,109,151,158,0,
655,1636,8939,7137,2232,531,210,
0,0,0,0,0,0,0,
0,0,0,0,81,27,0,
75,129,22,251,82,125,26,
92,75,304,111,0,27,0,
1149,2351,8097,8379,1830,344,82,
0,0,31,0,0,0,6,
0,38,43,25,67,0,0,
0,0,25,22,56,0,0,
23,27,0,56,51,37,0,
1025,1769,5333,4725,856,644,262,
0,0,0,0,0,0,0,
0,39,79,70,0,0,0,
26,22,0,0,0,0,0,
0,0,142,0,0,84,0,
2338,1532,3386,2104,375,226,223,
0,0,0,76,0,0,26,
0,13,0,42,0,0,0,
32,0,15,0,0,0,0,
0,0,0,0,0,0,0,
446,2219,5362,9413,3318,1236,244,
0,0,0,0,0,0,0,
0,0,0,0,22,0,0,
