2010 Education by Immigration status in Louisiana, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
9441,14621,54416,52762,34142,4976,4140,
0,0,23,0,0,29,0,
44,0,7,0,139,74,68,
0,53,0,59,45,28,0,
110,171,175,193,218,410,85,
11755,12033,59649,47031,29653,7124,5396,
0,0,323,198,163,31,25,
38,0,36,137,90,19,56,
0,26,255,195,138,150,77,
34,47,132,298,116,23,112,
15179,15102,78774,50686,30760,7840,7183,
17,107,185,488,484,85,43,
0,0,227,226,126,27,71,
93,59,46,92,204,55,71,
0,126,54,41,24,56,81,
13412,9711,55130,44590,30538,10174,7624,
0,57,259,254,432,22,43,
48,0,87,4,23,36,89,
0,0,29,108,26,30,0,
0,25,34,0,60,0,27,
24910,13007,57238,37999,22566,8747,8351,
257,89,297,230,175,73,416,
0,60,61,0,0,0,0,
0,25,0,0,0,0,26,
51,0,9,0,0,0,22,
7480,9772,41010,54140,44370,10028,4235,
0,0,0,33,0,0,0,
0,18,43,91,56,17,0,
39,0,145,93,155,17,0,
0,63,248,295,459,408,70,
6776,8400,54565,53487,37020,9597,3624,
0,0,62,46,49,152,0,
0,0,12,31,99,10,0,
101,0,224,349,256,64,93,
30,0,276,233,151,120,62,
9535,10570,80008,58831,34166,12188,3453,
53,50,247,187,200,54,126,
27,16,202,324,185,0,18,
5,133,0,96,196,75,103,
0,0,0,69,89,0,0,
10518,10997,66913,45968,25488,13757,3227,
6,72,259,483,80,124,0,
0,0,25,166,73,79,51,
0,0,0,61,46,0,0,
50,18,0,27,61,0,92,
30440,23131,100894,41963,18846,8255,2570,
196,637,1199,937,412,112,23,
40,50,180,0,25,0,6,
0,0,28,0,0,28,21,
26,0,26,53,0,0,0,
5673,15401,39306,22992,6299,1187,343,
0,0,0,0,0,0,0,
0,31,77,0,0,0,0,
78,119,51,110,0,0,8,
186,93,410,201,452,103,0,
4467,11123,34408,22668,6536,1199,698,
26,26,0,31,0,0,0,
0,0,26,60,160,0,0,
0,31,162,59,24,107,16,
70,109,170,153,54,55,37,
8100,15949,38587,20242,5552,1276,563,
40,0,100,74,0,0,0,
24,20,206,68,103,0,30,
0,0,53,0,26,0,109,
59,0,26,0,112,29,0,
9167,9352,24381,14349,5433,1717,854,
0,0,131,0,0,24,57,
51,53,89,118,11,0,69,
0,0,0,58,27,0,0,
0,0,7,0,0,0,0,
16729,6455,13071,6223,2734,1419,848,
62,23,74,229,0,0,29,
0,0,39,0,0,0,0,
0,0,149,0,0,0,0,
0,0,0,0,0,0,0,
3765,12355,32665,39110,12349,3854,877,
0,0,59,0,0,0,0,
0,0,0,13,0,0,0,
0,0,54,0,105,0,0,
79,0,130,99,189,63,0,
4717,11876,31472,30620,9744,3862,734,
0,0,118,61,17,0,0,
0,0,15,58,0,0,0,
80,63,65,172,57,0,38,
28,18,25,149,39,95,0,
5668,14097,34114,34650,10359,3724,917,
0,43,139,54,0,0,0,
0,0,51,0,0,26,64,
0,0,50,58,0,0,0,
0,0,0,0,0,0,0,
7287,9457,26533,18937,8570,5121,871,
18,0,27,0,29,0,0,
0,11,0,26,0,0,0,
0,22,0,0,0,0,0,
0,0,0,0,0,0,0,
22828,13176,21221,8370,4216,4153,379,
171,0,36,0,0,0,29,
0,0,0,0,71,30,0,
51,0,0,0,0,0,0,
30,0,0,0,0,0,0,
52,137,588,454,803,32,324,
0,0,74,170,0,68,36,
242,75,33,146,121,0,215,
103,131,255,495,308,0,0,
59,0,57,232,596,789,351,
0,53,0,279,31,58,121,
208,83,105,111,206,0,37,
79,162,362,406,46,106,0,
263,300,325,79,380,501,409,
28,81,49,23,276,87,164,
31,0,63,94,0,28,63,
243,136,190,106,142,20,58,
342,260,303,285,189,428,117,
236,85,136,110,244,21,99,
85,26,73,185,157,20,101,
0,53,165,82,48,43,6,
218,188,105,150,99,126,215,
169,190,185,90,68,0,74,
69,184,56,76,138,15,14,
45,23,22,105,0,92,0,
85,0,0,0,60,0,0,
141,22,137,159,38,155,359,
0,0,64,154,0,0,14,
31,171,175,0,115,54,0,
0,0,0,67,56,0,42,
0,0,165,628,824,135,260,
0,0,95,0,210,33,37,
0,0,67,200,143,59,51,
163,62,171,347,303,96,0,
69,0,194,444,693,726,257,
49,0,48,261,71,60,51,
0,0,97,548,98,32,18,
117,118,235,159,109,19,31,
196,70,596,548,508,131,281,
370,280,282,237,355,117,123,
90,58,31,192,102,108,0,
460,34,175,475,144,23,18,
295,117,256,121,381,250,115,
139,50,180,66,258,54,20,
218,32,84,162,173,48,0,
0,86,0,90,125,7,25,
644,368,463,391,240,68,75,
140,20,89,41,118,31,26,
152,68,328,64,37,0,0,
171,25,20,36,0,93,0,
13,0,21,64,0,0,0,
489,366,246,128,81,56,25,
55,62,39,39,34,29,67,
193,0,41,0,241,155,0,
91,0,0,62,38,0,0,
557,1016,2801,2344,1256,122,179,
42,30,0,0,0,0,0,
255,78,597,348,175,0,0,
1118,374,769,478,101,23,82,
2914,409,3309,506,386,58,35,
1032,568,1868,1646,936,244,100,
207,58,264,248,176,49,48,
662,230,830,571,164,7,60,
877,222,664,253,85,0,23,
1485,272,1391,262,247,43,62,
457,255,1112,1052,481,205,288,
253,60,503,206,334,33,71,
316,109,565,240,202,52,37,
162,36,562,107,98,26,88,
359,302,832,70,177,123,48,
250,53,799,432,510,93,111,
88,129,486,344,135,43,113,
147,11,97,160,117,0,81,
168,97,31,35,73,24,193,
57,125,248,71,51,23,0,
524,278,638,588,235,56,177,
412,177,468,322,156,28,18,
4,33,122,83,124,23,118,
123,24,16,0,0,0,0,
0,49,70,11,43,0,18,
388,129,1238,2324,1659,441,123,
0,0,0,56,60,0,0,
116,0,289,445,185,0,23,
364,267,484,488,65,140,0,
1563,430,1525,874,46,0,0,
597,193,983,1587,1048,323,185,
166,0,199,74,179,0,0,
167,0,371,224,154,0,0,
393,246,324,209,263,66,0,
473,59,1113,166,335,25,113,
477,108,1166,1411,852,107,66,
93,111,361,562,43,50,0,
130,66,464,302,163,0,132,
43,45,350,41,71,27,44,
200,0,283,264,79,21,0,
97,204,906,728,361,281,68,
58,286,381,586,651,25,92,
148,62,104,72,58,0,34,
119,23,54,96,77,0,0,
173,0,68,71,0,0,0,
474,192,765,321,372,176,20,
910,300,646,346,180,166,69,
204,26,381,55,0,0,27,
168,0,34,0,0,0,0,
127,18,93,33,0,0,0,
153,117,485,689,325,34,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
40,23,0,0,0,0,0,
304,0,0,131,0,0,0,
503,305,482,400,189,17,0,
0,0,0,0,0,0,0,
51,0,0,0,0,0,0,
0,0,0,45,0,0,0,
159,0,24,24,0,0,0,
269,180,756,326,362,0,0,
0,0,29,0,0,0,0,
0,0,0,0,5,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
163,110,317,487,74,26,4,
0,0,79,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
560,100,319,31,77,43,12,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
325,155,491,432,207,30,0,
0,0,0,0,0,0,0,
0,0,42,0,0,0,0,
80,0,0,0,0,0,0,
24,0,21,0,0,0,0,
363,139,849,865,96,28,17,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
138,30,37,0,0,0,0,
147,88,1005,267,233,38,0,
0,0,0,0,0,0,0,
0,0,0,9,0,0,0,
0,0,0,0,0,0,0,
0,0,60,0,0,0,0,
512,95,328,375,49,0,6,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
364,88,411,93,40,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,57,15,41,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
98,0,0,0,0,0,0,
31,0,209,0,136,0,0,
0,0,61,138,0,97,0,
0,0,0,0,0,0,0,
0,0,74,47,0,0,0,
0,0,0,22,0,0,0,
42,0,30,30,0,0,0,
0,52,120,107,5,0,22,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,27,0,0,
0,0,0,0,0,0,0,
0,0,10,26,22,0,0,
0,0,0,50,0,0,8,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
65,0,136,81,58,20,24,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
103,0,119,142,0,0,33,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,113,0,0,0,0,
0,0,0,0,0,0,25,
0,0,84,6,31,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,35,0,0,
0,0,24,0,0,0,0,
26,0,36,13,33,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,15,0,36,
0,0,0,0,0,0,0,
0,35,102,35,49,0,0,
0,0,0,0,0,0,6,
18,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,95,148,23,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
33,244,721,688,539,103,71,
0,0,0,0,0,0,0,
0,0,0,9,0,0,0,
0,0,0,0,0,0,0,
0,0,0,13,0,0,70,
77,183,466,597,273,96,32,
0,0,0,0,36,0,0,
0,0,0,0,0,0,0,
0,25,39,55,0,0,0,
0,0,18,0,21,0,0,
55,339,789,762,120,63,97,
0,0,0,146,0,0,0,
0,0,0,30,0,0,0,
33,0,0,0,0,0,0,
0,0,0,0,0,0,0,
159,149,501,247,174,101,22,
0,0,39,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
436,103,299,250,176,58,28,
0,0,53,0,0,0,29,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
46,326,605,782,384,142,104,
0,0,0,0,0,33,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
28,40,34,0,19,21,0,
72,49,584,543,317,146,0,
0,0,0,22,0,0,0,
0,0,53,0,0,0,0,
0,28,41,0,0,0,0,
0,0,0,0,0,0,27,
100,70,762,736,418,117,28,
0,0,0,0,0,0,0,
0,0,23,0,0,0,0,
28,0,0,98,0,0,0,
0,0,0,0,0,0,0,
167,158,679,733,348,56,16,
0,0,9,54,0,0,24,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
374,239,308,286,183,49,17,
3,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0
*****
