2010 Education by Immigration status in Massachusetts, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
3946,9338,61415,62252,87989,23321,10405,
0,66,279,29,0,53,21,
285,85,334,464,720,380,233,
248,646,2113,1524,1902,548,211,
1254,455,5924,3088,3004,2668,2276,
4924,9598,82947,71611,83439,34986,15111,
216,294,2080,735,1207,307,233,
563,310,2038,866,1020,528,611,
790,561,2620,1883,2189,1641,1490,
1200,350,2479,1222,2152,2338,1611,
7798,13001,109649,93160,88416,40181,20098,
1518,797,4134,2146,1771,917,666,
1051,565,2253,1729,1965,858,1120,
505,182,1422,992,1323,927,965,
580,174,851,833,1004,734,488,
8140,8913,74113,75800,65063,41036,23038,
4211,1756,4070,2567,2198,1619,1714,
911,341,920,448,442,639,634,
279,152,387,615,1113,493,557,
317,32,669,130,479,66,117,
23030,22431,91192,62774,48056,30716,22863,
8449,2324,5391,2695,1640,1501,2586,
414,28,205,380,253,349,364,
432,240,439,284,649,410,495,
330,98,626,215,213,308,174,
2374,5689,37803,62417,100429,44263,11731,
0,0,128,147,219,62,33,
32,185,799,719,938,670,149,
540,408,1105,1014,2151,1171,356,
887,378,3093,3296,4830,2632,1617,
3147,6347,57102,91140,94198,48220,15892,
436,348,1786,1137,997,609,140,
526,189,1488,1842,825,394,329,
521,265,2582,2350,1991,1911,1093,
411,572,2712,2045,2276,1337,1217,
4275,7175,89163,125278,101613,48610,14761,
2275,779,3073,3387,1760,704,451,
819,196,1747,1701,1277,924,425,
508,236,1508,1374,2146,1038,379,
302,283,1630,750,752,739,235,
5269,8430,80104,95040,65677,54154,12924,
4743,1436,4733,3157,1591,1138,787,
642,206,836,665,476,831,315,
232,0,783,625,892,424,186,
284,196,347,220,476,181,116,
30420,31990,180558,90232,48981,31305,6843,
13040,4199,11494,5146,2935,2043,848,
468,25,477,220,445,335,140,
724,131,744,763,562,383,499,
637,175,699,222,162,248,142,
690,1367,5707,5186,3282,652,238,
0,0,0,44,29,0,0,
22,155,634,369,404,80,23,
207,176,1021,1767,1358,97,39,
849,254,1476,2175,1428,439,84,
857,1454,5798,4457,2161,982,359,
0,0,264,83,72,96,0,
95,276,818,1415,476,374,100,
224,259,1564,1901,856,399,90,
717,236,1488,1481,955,134,101,
537,1459,5552,5124,1821,467,350,
0,211,328,586,482,192,49,
166,467,1743,1751,926,225,105,
45,326,1241,820,481,242,54,
489,361,764,660,538,44,20,
926,916,2919,3020,1068,908,395,
136,211,835,266,610,301,92,
336,202,943,426,236,20,0,
405,115,489,282,321,27,71,
323,223,275,171,82,0,0,
1901,1244,2249,1477,710,407,463,
515,310,847,437,123,51,170,
180,207,371,140,165,0,0,
80,73,61,69,55,44,18,
144,0,224,155,0,0,0,
226,793,4283,7184,4697,771,322,
0,0,0,50,48,0,0,
0,176,454,798,555,254,19,
167,363,1197,2870,1340,221,97,
582,812,1847,1970,1108,436,134,
668,898,3863,7352,3303,1321,399,
78,126,257,421,396,82,15,
176,206,878,1846,578,31,0,
355,454,1443,2226,1094,322,163,
646,297,1689,1270,297,162,92,
812,875,3534,6662,2258,1403,422,
122,155,597,1113,427,335,0,
594,322,1749,1580,461,268,119,
706,548,1179,663,521,221,0,
845,409,604,559,286,0,64,
741,1194,3816,3788,1484,1380,295,
123,138,764,1064,174,193,93,
795,182,694,563,368,21,56,
583,200,256,325,155,26,0,
743,207,216,240,0,0,0,
2375,2127,4667,2199,1164,1051,123,
972,331,689,577,89,112,19,
988,98,263,207,31,0,0,
630,219,220,86,0,0,0,
926,25,359,261,15,0,0,
44,81,646,534,2481,1062,873,
0,0,151,145,135,83,179,
75,163,894,916,1102,389,167,
351,340,573,943,1873,1286,590,
161,338,988,1003,4811,6374,2596,
28,100,257,350,672,997,713,
0,0,199,277,816,306,397,
570,461,1217,1263,1479,862,516,
327,275,1424,882,2199,2979,2000,
247,167,780,688,1717,1958,2111,
26,0,224,200,551,362,237,
137,188,316,397,484,457,442,
1261,658,1592,1109,971,1108,1153,
223,529,760,713,991,994,1418,
711,266,887,298,488,371,250,
21,76,285,193,183,84,147,
331,401,541,441,462,592,619,
959,304,747,503,591,506,273,
824,311,303,452,542,457,242,
243,223,524,0,318,25,41,
76,0,137,0,45,165,121,
854,243,405,204,318,606,1167,
967,331,299,83,413,34,272,
660,361,378,63,747,16,41,
517,132,217,312,499,74,0,
0,51,362,1002,2689,1109,981,
0,28,0,169,217,62,163,
160,189,452,699,1635,402,446,
228,125,989,850,2370,1093,646,
796,461,1247,2074,7052,6264,2079,
15,60,142,361,867,861,643,
130,51,144,450,650,410,438,
451,562,1771,960,1151,508,371,
703,432,1900,1853,2665,3403,1890,
717,607,1022,498,2104,1631,1251,
25,60,228,197,556,332,402,
208,82,447,703,533,489,201,
1238,520,2139,1001,1323,1442,709,
884,653,1132,668,1087,992,573,
904,151,890,402,680,260,189,
19,8,184,98,278,232,50,
549,62,620,529,921,538,249,
1662,342,806,437,505,236,147,
1144,223,711,288,509,211,39,
599,422,730,401,289,48,0,
32,0,167,199,171,61,0,
1150,389,1032,369,462,479,330,
2178,345,541,80,162,0,64,
1575,209,359,177,406,0,74,
772,122,622,168,468,24,36,
2474,3656,7813,6221,3306,548,154,
0,0,248,95,0,44,0,
309,319,1130,454,652,212,39,
3230,314,3259,1778,588,78,29,
3019,984,4675,1967,1337,608,440,
2614,2582,6823,3702,2167,705,393,
39,162,421,171,384,9,0,
1132,401,1997,781,163,157,71,
2929,729,2425,1120,909,260,257,
2347,328,2118,484,843,346,153,
2846,2448,4169,1650,1169,328,343,
399,336,1047,306,325,135,70,
1826,200,1982,1007,497,75,147,
1453,381,947,315,565,116,62,
842,359,338,464,326,79,88,
2671,825,1776,957,344,346,96,
374,263,372,708,135,30,37,
895,312,676,269,361,44,0,
673,85,224,205,124,0,0,
555,27,270,243,117,30,0,
2759,472,821,439,328,284,175,
628,109,591,560,105,89,139,
360,146,191,97,25,18,0,
402,0,108,0,16,0,0,
579,0,124,23,0,0,0,
1961,2899,6703,8297,4441,1072,471,
0,37,75,59,47,0,0,
209,286,625,683,611,323,48,
1544,685,2463,2351,935,163,22,
3367,739,3514,2045,1477,846,193,
2643,2327,5669,6011,2253,1063,474,
39,0,233,279,247,71,0,
822,418,1685,1259,423,151,0,
2125,591,2607,1899,749,512,113,
1272,500,2354,1303,999,642,220,
3140,1980,3483,3832,1251,695,203,
299,265,491,1171,474,69,52,
1158,562,1412,1473,615,160,150,
1786,502,1415,844,840,91,202,
1060,283,646,431,240,57,97,
3028,827,2709,1442,538,546,173,
934,445,971,573,327,230,65,
748,104,425,351,277,22,18,
1205,123,315,232,50,123,0,
702,114,100,362,21,38,0,
3830,597,1106,488,247,0,0,
1217,387,1031,518,239,166,19,
767,122,247,125,113,16,0,
945,0,271,116,0,0,0,
1083,55,204,69,73,0,0,
21,129,52,156,178,32,0,
0,0,0,40,0,0,0,
0,0,0,57,0,0,0,
22,31,0,83,0,0,0,
23,0,0,0,0,0,0,
0,17,194,262,110,0,18,
0,0,0,0,0,0,0,
0,0,0,85,0,0,0,
0,114,35,20,0,0,32,
0,0,0,0,0,0,0,
146,117,419,313,0,33,20,
0,0,0,0,0,0,0,
74,0,0,0,0,0,0,
18,0,0,0,0,0,29,
0,0,0,0,0,0,0,
128,0,206,111,10,82,16,
0,24,25,0,0,0,0,
0,0,94,0,38,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
199,75,44,0,171,15,26,
57,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,178,245,214,155,63,58,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
56,0,0,0,85,0,0,
131,0,133,180,39,24,0,
0,0,0,0,0,0,0,
0,0,0,46,0,0,0,
0,41,0,78,26,0,0,
0,0,0,0,0,0,0,
24,46,381,292,85,15,41,
0,22,27,0,0,0,0,
0,0,0,0,0,0,0,
0,60,25,0,0,25,0,
0,0,0,0,0,0,0,
47,91,15,155,67,122,0,
0,0,0,0,0,0,0,
0,0,52,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
155,0,118,146,40,26,14,
74,0,0,35,27,0,0,
0,0,0,0,0,0,0,
0,0,0,31,0,0,0,
0,0,0,0,0,0,0,
22,117,220,66,396,0,30,
0,0,0,0,35,0,0,
0,0,70,85,134,0,0,
23,252,367,199,209,129,0,
248,460,805,287,282,487,148,
34,0,282,305,91,30,0,
54,0,0,21,33,0,21,
16,26,319,0,109,0,0,
