2010 Education by Immigration status in Maryland, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
3098,8334,39012,49378,50719,14666,6474,
0,0,153,73,95,0,29,
0,0,44,113,233,196,87,
30,62,246,647,538,231,127,
0,58,601,698,1210,1070,910,
4476,8992,49788,52157,45475,22334,12549,
0,119,146,343,357,187,124,
62,64,123,328,385,277,145,
0,130,607,915,774,739,1029,
78,22,185,514,873,577,929,
6277,13002,68607,62410,54824,29216,16491,
150,138,648,867,899,647,301,
61,134,337,468,568,645,591,
0,56,668,466,872,559,931,
0,0,184,246,653,475,562,
7143,7655,51013,48536,41961,27726,21180,
269,123,681,946,1247,793,1106,
91,61,284,304,462,433,448,
48,27,114,185,411,292,434,
0,98,103,137,211,268,60,
18661,14703,56356,37090,34208,20127,20422,
1101,533,1802,1289,1300,1264,2002,
30,0,179,107,321,247,146,
210,119,196,243,352,169,323,
0,31,58,0,90,48,0,
2748,5493,27011,45532,57783,24519,6949,
0,0,0,54,21,0,24,
23,0,201,157,524,200,72,
46,124,373,408,559,485,110,
136,65,430,900,2171,1362,978,
2840,6290,43708,56702,52181,30265,10832,
0,139,258,392,422,169,177,
30,54,224,435,496,174,244,
168,69,324,946,1345,953,690,
68,23,423,610,1300,1003,636,
4431,6694,67021,80496,56699,31712,11167,
132,123,529,957,737,513,266,
111,59,239,546,733,788,347,
22,59,744,739,895,520,613,
38,26,190,393,588,571,116,
5550,8501,60392,57316,40193,31999,9566,
368,353,1247,1441,1061,1210,316,
31,34,435,449,417,403,168,
22,69,438,155,486,305,166,
0,212,134,321,140,135,35,
22359,24351,104801,56055,32173,18931,5262,
1690,1587,5020,3541,1678,1171,520,
