2010 Education by Immigration status in Michigan, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
7989,23848,120654,149839,85455,18621,8051,
36,0,0,149,39,29,28,
0,88,325,605,245,168,118,
521,569,1754,2171,1320,973,418,
541,48,1615,1456,1951,1490,591,
9354,24376,140183,163935,92209,33668,13305,
173,116,593,805,718,300,173,
303,149,377,412,806,342,196,
383,784,2721,1727,1533,1113,1159,
447,234,1907,1178,1830,678,834,
14120,33207,204215,192356,89479,35703,17539,
482,893,2045,2083,1617,738,382,
234,281,1060,1078,1263,1011,592,
775,645,1477,1499,1646,832,367,
829,273,1207,489,1182,631,177,
11857,21412,135539,165177,80711,42477,20846,
876,747,2959,4000,1881,1059,799,
92,71,641,571,553,477,265,
209,255,528,767,574,371,418,
760,227,387,174,731,203,77,
43832,44224,163198,116112,57756,33790,18659,
4167,2020,5231,4140,2359,1396,1756,
289,148,255,162,280,114,103,
730,306,634,462,417,134,31,
545,146,557,125,161,0,40,
7158,17605,80900,160374,101556,32035,7074,
0,0,126,127,0,67,0,
101,0,188,695,513,138,43,
297,508,1132,2416,1134,510,119,
955,501,1462,2007,2805,1238,430,
6112,14772,113894,183510,100823,45644,9716,
40,179,965,948,784,452,37,
149,173,646,826,626,127,114,
1032,324,2566,1986,1660,387,367,
466,1010,1311,1421,1424,534,729,
9636,22383,192664,224384,97500,40902,9459,
524,329,1883,2372,1303,794,385,
455,144,854,1124,901,244,187,
1119,119,2359,1174,1464,584,369,
751,210,1410,1284,1051,410,134,
9928,20464,169621,167773,69975,46944,9286,
1185,1074,4008,3573,1648,1032,438,
960,63,784,458,381,119,150,
1094,144,865,612,436,274,212,
908,118,381,170,215,30,10,
47870,63724,283924,140272,50339,30386,5416,
6772,3740,11346,6951,2189,1188,342,
964,273,521,219,127,85,57,
1082,93,536,294,285,117,42,
1261,48,203,135,192,131,88,
3977,11367,28861,27406,5313,1586,337,
0,0,0,0,38,0,0,
0,0,38,0,0,0,37,
19,29,0,378,114,192,34,
4,0,162,957,545,0,25,
2785,8931,37221,30919,7018,1632,600,
0,0,20,143,86,31,0,
0,0,75,0,292,29,162,
0,30,105,189,29,352,0,
67,56,252,119,173,55,46,
3270,12777,33200,25802,7152,2651,1048,
0,0,0,59,34,3,0,
0,0,51,147,65,0,84,
0,0,259,145,155,117,144,
83,0,76,410,115,31,110,
2700,8445,20874,21389,6328,2518,1138,
0,132,50,151,162,134,216,
37,31,0,90,29,0,0,
26,0,82,78,120,33,66,
42,0,0,0,121,0,0,
9326,8984,15207,9582,3690,2156,1116,
21,56,159,66,83,91,111,
73,0,0,0,58,0,0,
44,0,32,0,38,0,0,
28,0,32,0,0,0,0,
1886,9291,23000,40354,9929,3481,972,
0,0,0,0,0,0,0,
0,0,0,28,94,93,0,
38,0,133,396,26,78,0,
2,13,569,471,222,135,79,
3136,8836,27323,42727,12380,5991,968,
0,0,66,42,0,15,41,
0,0,99,165,0,59,87,
0,99,127,87,218,117,201,
85,70,279,465,217,42,127,
2404,8931,26779,43277,12654,5506,1185,
0,0,0,0,162,21,0,
36,23,0,79,95,0,52,
124,0,155,101,154,200,0,
183,0,156,29,166,52,0,
2587,8513,22942,29720,8878,5765,1051,
0,44,75,211,0,77,0,
0,0,34,73,0,0,0,
33,0,0,140,105,0,38,
195,0,37,0,0,0,0,
11541,13811,25333,18174,4455,3804,592,
0,26,106,255,97,32,0,
0,0,0,0,0,0,0,
105,0,17,0,0,0,0,
147,0,63,0,0,0,29,
0,103,613,945,1242,401,499,
0,0,40,153,90,0,0,
0,95,313,596,489,87,161,
158,95,943,997,869,887,613,
245,0,369,669,3715,4037,1503,
0,23,23,250,660,324,397,
0,41,230,471,510,214,157,
117,112,354,798,673,788,257,
283,354,907,1068,1395,3374,1597,
152,253,290,557,2438,2076,852,
101,0,145,255,116,69,62,
184,61,124,460,337,136,125,
419,246,274,507,539,1596,1051,
234,114,244,233,1121,1221,917,
192,49,246,279,398,551,140,
108,0,138,68,345,108,33,
215,69,160,476,478,723,704,
261,85,362,185,611,337,342,
180,223,177,379,733,230,93,
135,50,304,25,562,38,81,
29,56,84,229,156,46,210,
189,113,209,406,463,879,1441,
314,89,35,219,295,212,145,
92,0,253,154,554,40,95,
123,26,144,96,169,246,0,
130,37,397,752,1151,724,520,
0,0,30,177,221,33,0,
25,22,372,429,609,157,219,
112,330,964,669,1583,653,131,
865,378,1151,1427,4835,3596,1203,
40,0,57,424,454,310,352,
0,163,167,566,409,365,249,
59,234,357,557,491,411,171,
725,722,828,1432,2679,2277,908,
337,396,1066,1734,2575,816,570,
36,0,259,512,250,204,0,
325,86,341,265,485,144,133,
472,185,785,732,1163,1003,371,
586,172,804,636,1319,627,444,
273,166,291,449,1175,102,54,
0,0,185,179,273,31,210,
369,381,679,593,1605,413,368,
312,101,269,433,805,380,221,
295,305,491,238,311,270,61,
476,14,173,218,484,26,0,
60,0,56,195,52,0,0,
661,306,615,834,951,245,232,
400,167,237,160,213,17,93,
606,19,106,92,333,96,56,
249,0,155,51,427,41,110,
1454,2658,5703,6146,2168,499,285,
0,0,0,39,0,0,19,
31,166,177,163,70,0,0,
2851,1156,1569,465,163,25,63,
3734,796,1947,842,197,155,308,
835,1418,4500,4404,1756,355,514,
176,122,28,98,132,115,0,
1859,687,730,359,112,164,59,
2886,688,1173,1006,194,52,183,
1356,263,548,136,594,241,46,
1167,1096,3559,4873,1276,361,275,
1022,38,306,410,6,41,73,
1517,218,330,141,21,162,5,
1184,31,555,143,104,103,71,
692,24,309,192,32,61,27,
1352,826,2650,2718,955,325,145,
652,343,256,276,41,41,126,
324,84,67,36,55,0,0,
127,32,70,94,45,61,0,
262,0,201,14,181,0,0,
2031,411,1442,1110,650,238,117,
492,80,185,121,95,33,228,
122,0,0,0,0,0,0,
228,0,32,0,0,0,0,
38,0,82,0,82,0,0,
1129,1937,5629,7046,3073,1176,297,
0,0,0,135,0,0,0,
106,143,137,267,30,0,0,
2562,817,948,322,127,40,0,
2396,257,1085,1011,548,204,81,
643,1262,4439,5687,2400,861,133,
28,6,236,246,129,94,0,
646,169,528,164,29,0,31,
2358,285,912,506,661,333,0,
1134,195,842,503,204,87,138,
686,1103,4159,4933,1725,591,185,
363,163,331,278,8,159,75,
751,85,94,384,160,156,113,
719,95,210,114,57,118,28,
601,60,76,89,111,32,0,
964,799,2778,2439,512,312,25,
702,121,324,591,38,0,0,
87,27,34,19,37,0,0,
643,0,123,95,87,0,0,
33,0,32,44,157,0,0,
2316,873,2119,1076,249,18,36,
586,36,366,458,86,63,153,
324,0,119,0,0,0,0,
308,0,0,0,0,0,0,
112,0,161,0,45,0,163,
173,426,1018,1303,299,73,108,
0,0,0,87,0,0,0,
0,0,29,0,24,0,0,
0,0,0,0,0,0,0,
11,0,145,0,0,0,0,
158,276,2264,1574,354,0,0,
0,0,41,30,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
92,0,0,0,0,0,0,
249,600,1780,1458,188,62,37,
30,0,1,0,0,0,0,
0,0,0,0,0,22,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
234,176,909,1104,163,61,59,
0,0,0,35,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
444,304,737,435,33,6,25,
198,7,20,0,0,33,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
100,55,1222,1938,327,181,52,
0,0,0,0,0,0,0,
0,0,0,0,61,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
57,282,1057,1750,397,130,0,
0,0,0,0,0,0,0,
26,0,57,0,0,0,0,
0,0,0,35,0,0,0,
0,64,32,0,0,0,0,
218,261,1408,1803,589,67,0,
0,0,0,10,0,0,0,
0,34,0,19,0,0,0,
27,0,0,0,0,0,0,
0,0,0,0,0,0,0,
101,134,844,983,172,206,22,
0,0,7,43,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
358,463,621,384,163,23,32,
32,68,131,10,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,104,178,113,118,0,22,
0,0,0,0,0,0,0,
0,0,73,0,0,0,0,
0,0,0,0,43,47,0,
0,0,0,19,0,65,49,
0,0,8,318,90,28,66,
0,0,0,27,0,0,0,
0,0,0,25,0,0,0,
0,0,0,0,24,39,0,
0,0,0,63,0,0,0,
0,24,72,0,88,30,33,
0,0,0,29,0,0,0,
0,0,0,0,0,0,0,
0,0,0,36,0,58,0,
0,0,0,0,0,0,0,
0,0,0,79,169,54,0,
0,0,0,0,0,30,0,
0,0,27,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
34,0,91,29,0,62,40,
0,0,0,0,0,40,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,94,90,282,160,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,27,0,258,62,0,
0,0,75,148,151,0,0,
0,7,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,42,0,0,0,
0,0,33,59,0,0,0,
0,0,85,218,175,73,34,
0,0,0,0,0,0,0,
0,0,27,0,0,0,0,
0,0,0,31,53,0,0,
0,0,0,0,0,0,0,
0,0,0,121,0,31,0,
0,0,0,0,0,0,31,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,137,8,0,0,0,
0,0,0,0,0,101,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,140,0,0,0,0,
544,843,2745,3693,1172,154,156,
0,0,0,0,0,0,0,
0,0,0,0,71,0,0,
0,0,21,0,0,28,0,
67,0,48,82,216,91,0,
554,312,2667,3742,861,684,65,
0,0,33,0,0,0,0,
0,0,0,0,0,17,34,
81,74,0,75,0,0,0,
60,0,53,0,75,0,0,
352,675,2331,1857,671,350,191,
83,0,0,220,49,51,0,
120,24,25,55,51,99,68,
0,0,27,70,68,0,0,
32,0,0,59,0,101,24,
300,123,1059,1724,575,211,96,
55,0,53,0,0,75,0,
0,0,0,51,36,27,0,
0,48,0,0,45,0,0,
0,0,0,0,34,0,0,
423,193,713,660,338,82,41,
35,0,0,0,111,26,84,
0,0,21,42,69,0,0,
0,0,0,141,0,0,0,
108,0,0,0,0,0,26,
717,699,1996,4111,1655,239,222,
0,0,0,0,0,0,0,
0,0,0,60,0,0,0,
0,0,0,7,15,0,0,
94,51,23,14,315,147,25,
263,337,1446,4001,1364,728,248,
0,0,38,37,26,0,59,
43,0,0,0,0,0,0,
89,0,28,114,168,25,41,
74,0,8,0,95,0,39,
117,400,1486,3788,1158,390,138,
0,18,0,34,95,0,0,
0,0,30,0,0,0,34,
0,27,53,40,129,0,0,
38,71,0,66,0,27,0,
105,381,1472,2017,580,391,83,
74,0,0,48,0,42,22,
0,0,0,0,0,34,0,
47,0,0,0,36,0,0,
26,0,0,67,0,0,0,
565,643,1409,1442,349,245,38,
122,0,0,73,25,0,0,
52,0,0,0,0,0,0,
87,0,0,0,0,0,0,
0,28,50,0,0,0,0
*****
