2010 Education by Immigration status in Minnesota, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
2300,10645,65954,97310,80308,13803,5990,
0,0,0,201,0,0,0,
0,138,73,86,46,35,149,
167,0,59,505,639,72,93,
204,0,366,712,1174,259,277,
2266,7491,68475,100382,74722,21188,8900,
42,72,153,212,195,170,0,
0,0,43,361,136,38,161,
25,19,292,325,1470,131,259,
224,0,243,752,260,223,216,
3592,12352,112726,119218,72022,22709,12836,
3,0,415,274,284,317,209,
0,0,133,230,335,326,157,
108,48,85,510,440,44,283,
20,36,65,351,650,187,129,
4340,7401,79743,87490,58111,22493,15426,
0,0,589,610,502,510,449,
0,0,45,82,189,54,13,
0,75,51,256,40,106,78,
50,0,124,88,0,135,0,
30672,18050,95919,59156,36988,18814,13407,
552,213,768,748,521,291,414,
0,111,26,0,58,0,45,
188,43,396,41,199,26,90,
157,75,67,79,0,90,0,
1335,5881,38904,99969,92384,21848,7154,
0,0,0,0,0,0,0,
9,0,31,112,78,0,0,
171,40,117,459,204,179,50,
328,179,284,1000,1678,417,99,
1656,4214,47438,109640,80557,28151,9661,
56,0,46,205,342,44,0,
19,20,66,203,218,215,102,
78,42,362,1020,788,335,267,
0,74,388,382,362,380,0,
2276,7609,95875,134220,79501,26724,8380,
5,22,186,384,429,164,44,
0,44,298,618,323,173,66,
271,0,124,527,539,475,181,
0,0,658,514,151,159,55,
2709,6384,88443,98129,54265,23960,6051,
0,106,523,913,371,429,276,
0,0,104,178,134,81,91,
0,45,45,160,119,0,94,
75,49,46,74,29,0,4,
31206,23135,157216,85281,41165,13000,3531,
904,794,1880,1378,739,241,209,
37,0,123,12,99,0,70,
323,89,132,491,359,86,0,
108,64,0,22,107,52,80,
1215,2106,4072,3957,1427,265,0,
0,0,35,0,0,0,0,
0,0,157,137,202,0,0,
324,227,750,1857,1644,404,29,
112,478,1590,1993,675,103,16,
482,1519,3296,5129,1861,518,12,
0,0,0,51,0,0,0,
0,0,0,302,47,80,0,
151,93,765,747,866,422,276,
309,263,929,1182,877,168,0,
308,2051,3192,3107,1335,671,147,
0,90,0,116,0,46,88,
132,0,158,628,655,536,0,
204,482,214,496,194,355,0,
258,48,136,166,270,0,53,
619,493,1312,2819,385,579,0,
0,0,191,68,294,76,39,
27,0,0,79,83,53,31,
130,0,0,113,0,13,0,
376,99,122,89,0,120,0,
608,228,871,869,238,154,64,
0,0,0,0,0,0,0,
0,0,0,47,0,0,0,
188,0,0,40,182,25,0,
308,142,106,309,0,0,59,
473,1698,2713,5494,1037,437,120,
0,0,0,50,0,0,0,
0,0,24,234,66,0,0,
131,298,352,886,566,269,0,
1071,606,996,2217,454,206,59,
294,1173,2718,5682,1163,1040,45,
0,0,0,0,43,0,0,
0,0,43,163,377,41,31,
290,184,453,1412,760,331,38,
439,262,853,404,562,174,0,
223,1862,2082,4310,809,409,152,
0,0,0,8,28,59,0,
0,0,141,382,67,256,0,
318,44,262,282,85,0,0,
437,116,443,110,83,134,82,
259,925,1593,1899,511,384,16,
0,0,121,49,105,42,0,
0,0,0,0,0,0,46,
246,0,124,113,0,0,0,
714,262,118,288,0,0,0,
603,550,1241,1119,235,119,114,
75,159,25,71,0,0,0,
203,0,0,0,0,0,0,
486,72,121,0,0,0,0,
769,0,184,15,0,0,0,
193,265,1137,1013,575,149,342,
0,0,107,394,526,0,0,
77,4,817,668,713,0,208,
600,100,955,1145,477,621,133,
768,0,85,454,2867,3091,493,
35,0,352,292,322,530,126,
0,30,185,390,385,45,171,
272,72,1089,1105,1518,162,294,
577,308,1157,931,1358,1903,496,
396,76,334,92,585,721,79,
0,32,30,106,86,0,106,
138,129,276,613,753,102,83,
471,220,680,1011,750,387,800,
178,105,421,264,254,225,321,
645,0,152,43,11,277,111,
0,37,71,83,264,10,189,
211,0,158,394,430,366,550,
424,0,198,599,201,153,151,
269,59,223,40,3,67,0,
187,0,67,32,0,0,96,
0,0,120,79,41,0,0,
78,240,30,182,199,140,502,
431,279,0,157,256,0,0,
338,124,417,0,73,0,0,
30,0,0,0,190,0,0,
150,97,866,767,893,288,219,
0,0,218,446,853,183,178,
37,209,704,1101,883,490,134,
490,197,570,1028,831,864,132,
602,192,785,1701,2447,2046,599,
0,26,379,105,292,193,123,
178,25,515,690,663,572,194,
591,317,708,1103,795,203,224,
1064,269,1065,987,1405,1188,493,
797,98,486,278,847,418,159,
125,40,55,162,304,155,0,
223,143,196,596,285,176,54,
1141,266,813,745,515,60,273,
704,36,430,200,514,172,240,
494,0,180,254,294,61,0,
0,0,56,128,96,0,78,
382,192,778,639,480,321,82,
554,0,512,364,162,81,193,
691,95,498,230,277,0,0,
430,177,116,241,87,0,0,
68,42,77,80,118,29,39,
396,299,275,185,365,90,182,
823,43,194,177,408,53,0,
714,83,234,18,39,0,0,
36,42,24,100,0,88,0,
288,1332,3373,2055,952,128,179,
0,50,0,103,0,0,0,
0,260,363,249,64,0,65,
2327,1378,1511,520,304,115,86,
3355,969,2537,1170,403,0,31,
350,299,959,1664,976,329,219,
73,91,321,207,0,59,50,
2120,557,767,259,226,38,0,
2917,694,1401,509,209,140,35,
2434,249,431,110,77,60,102,
125,337,954,1314,387,132,48,
442,102,116,351,0,48,11,
1366,0,248,608,154,99,40,
760,150,486,140,245,28,33,
384,0,403,102,194,72,0,
150,62,465,554,163,178,86,
278,0,267,196,55,39,24,
372,0,0,0,67,0,92,
124,0,39,12,77,0,0,
310,0,65,78,0,0,0,
455,78,733,102,294,39,0,
179,0,40,82,36,0,21,
121,88,0,0,0,0,0,
120,55,0,24,113,39,0,
239,0,31,0,30,0,0,
588,200,1598,2499,1690,253,0,
0,0,79,0,0,0,0,
348,0,202,192,44,263,39,
2336,626,1203,874,222,49,0,
3134,1028,2217,336,376,0,0,
337,627,1874,1741,601,393,238,
20,0,142,289,77,0,11,
478,151,343,105,0,0,0,
2345,600,928,1216,672,34,151,
939,178,728,358,360,111,57,
179,254,901,1559,584,232,236,
279,105,135,239,128,116,0,
416,314,194,0,0,87,0,
389,433,289,47,0,0,0,
1332,154,220,41,199,0,0,
173,340,368,561,283,177,34,
353,187,105,85,426,74,0,
279,46,12,152,40,0,0,
269,0,46,88,49,5,0,
225,0,109,0,0,0,0,
412,66,484,265,105,52,0,
197,18,57,308,178,0,0,
90,0,0,0,0,0,0,
194,0,28,53,0,31,0,
176,0,0,0,0,0,0,
141,570,1992,894,144,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
74,0,0,0,38,0,0,
129,499,1468,1048,245,32,37,
0,0,0,21,0,0,0,
0,0,0,0,0,0,0,
0,0,0,7,0,0,0,
0,0,0,0,0,0,0,
10,403,1268,1247,257,0,14,
0,68,0,0,72,0,0,
0,0,0,0,42,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
153,83,597,770,353,41,0,
70,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
346,100,317,388,35,0,5,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
355,722,620,1880,369,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
23,531,672,2117,95,306,13,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
342,457,1003,2031,673,53,125,
0,0,16,15,0,0,0,
0,0,10,0,0,0,0,
0,0,0,13,0,0,0,
0,0,0,0,0,0,0,
295,465,775,1047,111,102,89,
0,0,0,0,0,0,0,
17,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
272,193,585,318,167,20,0,
0,69,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,16,116,44,58,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,10,0,0,0,
0,0,158,114,0,0,0,
