2010 Education by Immigration status in Mississippi, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
4463,9269,27471,35332,18171,3892,2470,
0,0,0,20,0,0,0,
0,0,0,0,0,0,0,
0,30,0,0,0,23,0,
525,0,67,151,20,38,128,
6546,8560,33861,36061,17423,5502,3567,
110,0,0,39,27,0,0,
0,0,4,34,0,0,17,
0,0,101,35,106,0,167,
19,32,56,0,241,18,34,
8844,10266,40352,38718,18014,5806,4496,
0,0,26,163,122,42,28,
100,64,27,0,32,31,0,
0,0,0,39,13,0,48,
0,0,20,0,0,73,72,
8558,6312,30147,34310,18981,6506,4962,
0,0,118,131,71,0,17,
0,0,80,0,22,36,18,
0,0,0,0,21,0,47,
0,0,0,0,0,103,0,
14989,10249,36625,28544,15367,6488,5901,
34,0,311,324,24,0,24,
0,0,0,0,32,0,0,
0,0,33,0,31,0,47,
0,0,40,0,37,0,0,
3772,7082,19789,37987,21816,7131,2235,
0,0,0,28,47,0,0,
0,0,0,39,29,0,0,
0,0,162,29,78,0,13,
188,0,65,37,202,66,19,
4511,5769,28642,41228,19292,8078,2676,
0,0,26,44,0,37,0,
0,155,0,48,19,0,0,
0,0,0,72,28,31,58,
0,0,72,54,64,37,36,
5469,5880,37204,48672,20022,7824,2063,
0,30,25,94,15,56,0,
0,0,27,0,55,97,36,
0,36,124,23,11,26,23,
0,0,59,171,0,91,17,
6089,7079,39877,36525,14869,9298,1705,
0,52,298,180,109,29,43,
0,0,0,77,41,0,0,
0,0,48,23,43,90,0,
0,0,42,0,0,0,0,
18534,18984,62417,36339,13791,5794,1432,
290,194,633,452,116,81,0,
0,0,32,21,0,0,0,
93,0,0,22,0,0,0,
0,0,0,0,31,0,0,
4501,12109,26297,19799,4859,995,299,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,27,0,105,0,0,
0,0,4,5,97,62,54,
2979,8671,27251,19372,4053,1362,258,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,23,0,31,0,0,
0,27,96,0,24,0,34,
