2010 Education by Immigration status in Montana, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
813,3119,14685,19744,11918,1813,788,
0,0,0,0,0,0,0,
0,0,0,0,58,0,0,
0,38,0,115,29,0,0,
0,55,74,0,54,0,0,
1117,1904,15681,16559,11110,2658,1568,
9,0,50,0,204,0,0,
0,0,13,79,0,0,0,
0,0,0,99,163,49,0,
0,33,0,89,155,0,45,
1519,2933,23512,22117,11189,3375,2718,
9,0,82,178,0,13,0,
0,0,23,96,85,17,52,
0,27,0,57,0,14,60,
0,0,19,0,0,145,0,
1134,2086,16238,21343,13646,5102,3368,
199,0,124,39,75,160,67,
0,0,0,0,0,0,0,
28,0,41,0,0,52,0,
0,0,38,0,0,33,0,
4881,4092,21721,13993,10281,4030,3357,
205,144,200,75,347,6,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,23,0,0,0,
632,1352,10222,18114,15128,2751,1160,
0,0,0,0,0,0,0,
0,0,0,38,0,0,0,
9,0,0,43,40,0,0,
0,0,20,0,182,101,0,
1060,1203,12848,16585,12748,3123,1426,
0,0,0,50,33,40,0,
10,0,0,66,0,0,0,
43,19,38,56,110,54,0,
0,0,161,0,89,35,71,
1326,1551,19764,23842,15707,4393,1754,
11,0,111,248,82,76,0,
34,0,54,239,0,59,0,
0,0,125,140,49,104,0,
0,0,21,18,296,0,49,
876,1684,18414,20718,12305,5217,1365,
37,53,70,286,151,156,6,
0,0,45,0,0,0,0,
0,0,36,29,60,39,0,
0,0,46,0,0,0,34,
3837,5231,29377,21779,7362,2566,1094,
687,292,532,731,187,0,29,
0,36,0,0,0,11,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,48,119,76,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,15,60,30,21,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,22,0,0,0,0,0,
0,0,0,42,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,24,111,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
27,0,67,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,10,0,72,0,
0,0,0,0,0,0,0,
0,0,0,27,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,124,58,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,59,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,26,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,22,0,0,
0,0,0,0,0,49,0,
0,0,0,0,58,0,37,
0,0,0,0,0,0,16,
0,0,38,0,0,0,0,
39,68,0,82,0,0,0,
0,0,0,0,0,0,89,
0,0,0,122,0,0,32,
0,0,0,0,0,0,0,
0,0,45,0,0,0,0,
0,0,0,0,0,0,90,
0,0,0,0,0,0,0,
0,0,0,47,0,0,0,
0,0,0,0,0,0,39,
0,9,88,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,34,12,0,13,0,
12,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,10,50,0,0,0,
0,0,0,0,0,0,0,
0,0,57,0,0,0,0,
0,0,45,0,0,0,0,
0,0,41,129,72,18,0,
0,0,115,0,49,0,31,
0,0,0,0,0,0,0,
0,0,0,0,0,19,0,
0,0,25,0,0,0,26,
96,0,29,0,0,0,0,
0,0,0,47,9,0,0,
0,0,0,0,0,0,156,
35,55,122,0,41,0,60,
0,0,19,0,180,63,0,
60,23,0,0,10,0,0,
0,0,0,0,0,0,0,
111,0,11,12,52,33,0,
0,0,89,11,0,0,0,
0,0,0,0,29,0,0,
0,0,0,0,0,0,0,
0,0,0,22,0,0,0,
40,0,74,68,29,0,0,
0,72,27,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
184,20,712,495,23,184,0,
0,0,0,0,0,0,0,
0,0,93,0,0,0,0,
45,10,59,0,2,0,0,
0,0,0,37,86,0,0,
0,18,282,387,189,0,0,
0,0,0,0,0,0,0,
0,0,96,0,0,0,0,
0,0,126,46,0,0,0,
0,0,0,0,0,0,0,
140,251,512,565,174,0,8,
0,0,9,0,0,0,0,
40,0,0,0,46,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,150,97,404,19,4,36,
24,0,0,0,36,0,0,
10,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
159,62,124,30,0,0,0,
46,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
64,0,683,450,333,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
41,0,0,0,0,0,0,
0,0,0,0,0,0,0,
42,0,458,598,332,0,35,
0,0,0,0,0,0,0,
14,0,0,26,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,117,0,0,
12,146,501,621,150,0,0,
24,0,0,103,0,0,0,
0,0,0,33,0,55,0,
287,0,0,0,0,0,0,
4,0,0,21,0,57,0,
101,77,222,281,67,35,30,
0,0,107,37,0,0,0,
0,0,0,14,0,0,0,
22,0,0,0,0,0,0,
0,0,0,0,0,0,0,
230,70,370,29,64,55,22,
32,0,0,92,48,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,34,0,0,0,0,
93,878,1165,1969,123,16,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
110,424,964,1639,179,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,34,0,
123,513,997,1198,506,182,58,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,49,0,0,0,0,
0,0,0,0,0,0,0,
263,201,962,761,204,22,24,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
526,354,361,183,245,25,54,
7,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
182,681,1230,2063,519,22,30,
0,0,0,0,0,0,0,
0,0,0,64,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
311,712,617,1335,393,102,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,63,
196,361,658,1757,466,187,0,
0,0,113,36,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
118,374,684,791,431,94,0,
0,0,9,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
442,192,562,607,239,17,0,
0,0,20,0,0,0,0,
0,30,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,21,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,32,30,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,6,51,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,7,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,56,0,37,76,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,35,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,6,0,53,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,7,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
88,53,455,419,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,143,125,288,116,91,96,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,46,0,0,
6,10,397,419,68,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,21,91,495,108,52,31,
0,0,0,4,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
25,97,201,128,0,21,0,
0,0,0,0,0,0,34,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,97,157,1061,193,0,28,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
32,23,296,364,144,0,36,
0,0,0,0,0,0,0,
0,0,0,0,0,0,3,
0,0,0,0,0,0,27,
0,0,0,0,0,0,0,
0,7,121,259,362,10,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,59,0,
28,13,266,197,98,31,27,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,92,231,207,108,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0
*****
