2010 Education by Immigration status in North Carolina, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
12292,22630,89197,122326,85046,16246,7577,
0,0,0,64,107,29,84,
0,0,205,248,507,74,0,
193,46,822,797,574,165,56,
178,151,864,842,1136,655,338,
18133,24833,118496,128632,93128,27094,13632,
0,48,322,246,498,196,164,
0,0,190,653,480,289,127,
50,92,891,1202,1148,522,435,
151,106,694,701,906,349,608,
23796,29549,139527,134662,87632,27948,16270,
109,86,552,1221,774,265,221,
7,60,289,498,673,347,322,
13,162,661,359,824,315,494,
0,144,279,349,297,273,171,
25943,22250,102220,117019,77289,31037,19590,
301,80,713,759,826,521,434,
27,54,271,236,448,144,239,
0,55,293,592,360,204,174,
0,0,183,51,234,49,45,
58354,35910,117660,88503,63223,25482,22140,
493,421,1308,1342,1408,608,1153,
85,89,61,116,256,98,94,
24,38,51,42,153,82,81,
36,27,165,40,50,0,38,
7738,14148,62175,133945,106154,30496,9183,
0,32,0,60,61,0,0,
0,0,271,216,288,65,23,
194,162,390,1005,855,144,63,
245,46,1049,1427,1865,836,355,
10050,15033,87144,157598,108416,36291,10461,
0,47,253,203,386,121,30,
113,22,163,605,392,167,170,
102,33,1151,1366,1402,788,422,
98,53,535,552,1126,365,343,
13642,18560,125171,172736,101249,34644,9787,
76,53,466,983,907,154,121,
54,105,695,934,695,283,174,
27,8,576,1276,558,360,144,
105,156,570,387,361,177,164,
17331,21299,129615,141663,70173,38357,7783,
145,222,1588,2108,708,172,262,
113,61,288,351,421,270,140,
201,0,260,461,258,147,116,
97,26,198,37,148,56,62,
65206,56008,202967,131240,57220,22941,5438,
920,1405,4623,3858,1056,363,244,
172,65,233,151,250,95,0,
195,99,96,26,93,0,29,
104,48,271,45,141,0,58,
6288,14168,38905,37487,14294,2070,639,
0,0,0,0,0,0,0,
0,22,55,306,121,0,23,
171,36,754,577,320,62,0,
481,139,552,1334,823,118,126,
4462,13130,49489,39744,14414,3045,1060,
0,82,232,157,182,119,0,
66,0,332,536,144,187,0,
205,69,338,724,690,81,26,
230,308,466,644,565,288,148,
7988,16961,51600,35718,12335,2701,986,
24,0,185,160,178,387,42,
115,68,262,257,348,292,302,
30,81,118,365,287,374,137,
79,0,253,373,428,169,136,
10878,13844,29713,26864,7916,2945,1316,
0,45,180,201,111,60,74,
0,25,125,171,74,86,51,
26,0,100,120,30,0,78,
0,24,0,89,166,0,53,
23418,12682,17751,11152,3643,2088,1034,
91,45,211,8,32,0,25,
26,2,46,0,0,0,20,
0,31,0,0,0,25,0,
0,0,0,48,22,0,0,
3900,11647,30426,58087,24908,5964,1757,
0,0,0,0,0,0,0,
0,0,90,253,165,99,59,
274,70,46,725,507,82,26,
273,142,691,1533,731,189,85,
3447,9712,40109,62854,23048,7433,2083,
31,22,43,132,72,134,34,
0,103,142,644,280,225,58,
170,26,171,839,610,63,58,
306,55,1025,661,836,163,87,
7226,13395,47027,59934,18495,6589,930,
0,35,109,274,319,56,0,
0,19,378,504,365,113,132,
191,0,154,189,212,151,0,
20,89,43,228,106,138,41,
8094,13834,35134,37102,12624,5807,1316,
0,79,143,412,0,175,0,
47,90,129,103,197,12,0,
78,51,199,127,0,0,0,
71,82,82,61,24,134,0,
29794,19770,34532,18631,7704,3926,678,
37,34,158,174,9,0,13,
0,0,60,0,30,20,0,
77,37,0,182,9,69,0,
140,0,122,100,0,0,0,
49,83,897,898,1167,342,384,
57,0,173,32,170,0,116,
0,108,127,447,576,144,105,
287,322,555,973,797,647,199,
427,263,402,787,3232,2511,990,
67,26,152,693,260,173,252,
22,65,147,498,424,86,66,
207,146,732,886,637,234,357,
390,418,606,740,1705,1918,978,
506,124,769,475,1517,1188,502,
15,33,299,212,204,180,37,
50,30,170,471,225,34,67,
520,242,268,505,1227,612,410,
333,189,260,394,988,873,706,
248,61,185,388,686,522,95,
115,7,173,103,63,0,45,
134,42,60,399,442,335,391,
259,93,268,224,290,126,196,
177,153,579,282,327,114,157,
194,32,135,117,259,27,0,
0,10,215,199,120,0,111,
42,26,190,160,276,561,664,
403,79,23,148,267,51,119,
286,46,212,259,126,0,31,
109,84,152,24,155,39,24,
216,23,458,934,961,483,364,
0,0,48,218,185,75,22,
14,132,526,691,675,66,129,
267,387,898,1002,760,443,50,
714,127,1216,1037,4183,2937,604,
71,0,225,600,397,274,138,
23,85,92,448,607,214,177,
291,229,1124,703,667,56,43,
629,188,1053,1063,2387,1252,612,
725,219,1055,1227,2140,817,331,
97,0,327,480,430,14,0,
71,110,324,387,409,178,89,
946,207,1272,935,666,592,361,
173,306,899,351,997,488,288,
176,197,429,253,1185,91,46,
27,30,87,47,68,113,0,
417,306,830,627,633,253,129,
410,103,198,228,448,107,172,
399,245,587,221,511,111,118,
380,79,171,55,303,34,0,
30,0,62,218,29,0,0,
740,217,472,327,599,309,82,
505,102,291,118,213,88,0,
785,111,162,11,59,46,0,
392,119,69,171,418,0,0,
1045,1130,4000,5711,2234,528,61,
151,85,0,104,25,0,0,
736,237,980,1016,259,15,0,
15746,3085,8497,2753,526,117,46,
18832,3776,11021,3967,1302,599,81,
721,432,2391,3839,1845,434,363,
328,346,221,842,113,25,49,
4797,1051,2389,1997,213,149,124,
11845,1931,6006,2531,521,210,193,
8726,2033,2546,1638,493,329,153,
485,400,1385,2964,1545,379,196,
1079,123,725,581,317,163,46,
2573,602,1421,1170,221,279,103,
3980,362,1536,1000,284,243,30,
3116,221,588,604,620,22,242,
362,234,957,989,430,211,63,
712,105,151,742,293,221,8,
1017,93,206,564,99,85,121,
618,272,149,71,163,37,124,
934,84,402,0,328,0,34,
605,260,467,639,340,56,113,
608,122,194,346,350,70,115,
392,42,66,0,0,0,5,
557,0,310,24,39,0,27,
456,38,116,0,19,45,37,
1109,1160,3466,5950,2764,589,316,
0,17,123,160,95,33,0,
680,374,229,673,364,30,0,
9924,2018,4448,2263,909,170,24,
15979,2722,6751,2939,2562,400,304,
770,867,3254,4195,2824,757,142,
64,0,258,465,322,43,42,
2317,401,1011,1101,335,178,27,
9045,1089,4876,2603,1346,449,189,
5121,723,2484,1488,1139,423,272,
397,435,1532,2871,1533,633,121,
329,68,449,786,203,194,64,
1207,199,811,649,290,0,74,
2804,432,1128,1044,311,348,87,
2293,501,950,634,424,94,136,
396,305,896,1261,501,314,118,
343,102,257,528,217,423,84,
631,198,197,165,127,97,20,
1096,250,691,193,59,35,36,
1106,50,744,93,107,75,85,
504,415,1008,641,271,88,101,
448,70,253,486,147,135,143,
249,45,63,60,0,0,0,
509,114,81,19,32,0,0,
938,108,131,52,56,41,0,
994,1322,2128,1149,245,0,21,
0,0,0,0,0,0,0,
7,0,0,0,0,0,0,
123,24,0,0,0,0,0,
198,0,0,0,0,0,0,
999,892,2288,1691,560,147,65,
0,0,0,20,0,0,0,
59,0,95,91,0,0,0,
117,0,0,0,0,29,0,
120,68,0,0,0,0,0,
1345,1225,2175,1248,436,92,78,
34,0,17,0,0,0,0,
49,29,0,0,31,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
1662,714,1528,1145,386,174,61,
0,0,0,0,0,0,0,
23,0,35,0,0,0,0,
0,0,0,41,0,0,0,
0,0,0,0,0,0,0,
1488,177,739,679,318,20,100,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
18,0,0,0,0,0,0,
33,0,0,0,0,0,0,
603,1041,1839,2787,808,369,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
162,15,0,0,0,0,0,
132,0,33,0,0,29,0,
567,452,2516,2764,846,190,71,
0,0,0,0,0,0,0,
0,27,0,0,36,0,0,
6,0,35,0,6,0,0,
80,0,0,0,0,0,0,
1097,1093,2212,2012,611,234,120,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
145,0,0,0,0,0,0,
23,0,12,0,0,0,0,
1151,528,2065,1616,316,280,71,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
1738,1533,1354,547,539,66,19,
63,0,0,0,0,0,0,
0,0,0,0,0,0,0,
13,0,0,0,0,0,0,
28,0,0,0,0,0,0,
13,52,270,147,258,0,0,
0,0,0,24,0,0,0,
0,0,0,28,0,0,0,
107,33,17,27,0,0,0,
74,100,78,0,182,88,0,
22,0,31,61,173,90,203,
0,0,0,0,0,0,0,
76,31,0,111,0,0,0,
0,0,94,83,0,171,0,
0,33,118,0,99,51,0,
0,0,44,153,165,125,0,
0,0,0,0,43,0,0,
0,0,0,38,0,49,0,
0,21,62,0,0,0,0,
0,0,0,0,72,0,0,
0,0,60,24,0,0,31,
0,0,0,35,0,22,0,
0,0,0,35,0,0,0,
0,0,0,0,51,0,0,
0,19,0,0,65,0,0,
7,0,0,0,0,24,28,
0,0,0,27,0,0,0,
0,0,39,29,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,346,222,57,0,
0,0,0,0,0,0,0,
30,0,0,101,0,38,0,
73,0,0,0,0,97,74,
27,0,80,123,224,58,0,
0,0,295,203,42,53,44,
0,0,0,89,0,0,0,
0,0,0,48,0,0,0,
168,0,19,28,29,0,27,
0,198,0,0,0,0,89,
0,0,56,204,8,48,0,
0,0,37,0,23,29,0,
0,0,94,0,0,23,0,
0,0,0,0,0,34,0,
0,0,0,0,69,0,0,
0,0,53,97,30,45,30,
0,0,29,0,0,0,0,
0,43,0,21,0,0,0,
0,0,0,0,54,0,0,
0,0,0,0,92,0,0,
0,0,67,0,23,21,0,
0,0,0,0,0,0,0,
0,0,0,0,0,27,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
337,447,2219,3233,1043,202,118,
0,0,0,90,0,0,0,
0,0,0,27,0,0,0,
0,0,0,0,76,0,103,
0,0,53,156,208,0,0,
151,417,1461,2383,1133,321,137,
0,0,0,44,22,0,0,
0,0,0,32,133,100,0,
0,0,58,0,0,19,5,
76,0,21,26,38,0,0,
180,502,1500,2273,700,182,138,
0,0,8,197,0,0,0,
20,0,0,0,0,0,0,
0,0,0,67,0,40,0,
0,0,0,49,19,0,20,
162,383,698,1514,399,138,77,
0,0,0,66,21,0,0,
0,0,27,36,0,38,0,
0,0,0,0,36,0,0,
0,0,0,29,61,0,0,
557,229,530,406,116,142,23,
0,13,0,28,0,29,0,
0,0,0,0,0,0,0,
30,39,0,0,0,20,0,
0,0,0,32,0,0,0,
182,624,1035,3920,1754,224,89,
0,0,0,0,0,0,0,
0,0,0,145,0,0,0,
30,0,64,73,126,0,0,
0,0,140,83,86,19,0,
111,249,907,3115,1537,661,58,
0,0,0,108,44,0,0,
0,0,42,94,0,0,0,
27,0,0,32,19,53,0,
45,0,0,120,23,59,0,
139,215,1256,3038,955,599,80,
0,0,30,229,62,0,48,
0,0,0,0,26,0,0,
24,0,0,0,0,88,0,
0,0,18,39,28,0,0,
199,245,770,1938,666,339,115,
0,0,79,183,28,0,55,
0,0,0,0,0,0,0,
24,0,0,0,34,0,0,
0,0,71,0,0,0,0,
585,520,655,791,150,238,0,
50,0,26,44,0,0,0,
0,0,0,20,0,0,0,
46,0,0,0,0,0,0,
0,0,29,0,0,0,0
*****
