2010 Education by Immigration status in New Jersey, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
2364,6322,59010,68682,81546,17666,7566,
0,0,128,329,363,171,47,
21,172,702,1006,1368,261,218,
268,353,2447,2631,2480,981,280,
730,318,4230,2495,3420,2351,947,
4285,9640,84082,78449,87593,32508,14907,
342,300,2123,1075,1562,504,380,
578,559,1380,1165,1195,636,377,
617,716,4223,3375,3914,2124,1506,
961,253,2228,1111,2009,1654,589,
5025,13776,120537,100002,99734,38952,21768,
1353,737,4360,2906,2907,856,664,
992,776,3541,2147,2465,1302,989,
716,339,2510,1513,2475,1654,1338,
419,48,1334,601,1191,690,463,
5878,10573,78910,76927,74599,40560,22545,
3078,1350,6878,4743,4648,2208,1305,
1230,458,1630,1176,1867,1270,596,
355,151,1382,751,946,688,553,
253,115,765,102,488,148,152,
21653,29355,110375,66712,56968,29711,21027,
9318,3751,9470,4424,3712,2446,2511,
705,288,382,470,512,299,338,
368,155,454,256,626,203,285,
273,77,249,165,105,82,70,
1805,3848,40214,59996,92723,32755,7533,
0,0,79,124,164,85,82,
30,62,543,907,1394,374,0,
295,425,2159,3273,3288,752,277,
480,603,3077,3404,4838,2035,622,
2271,6750,71349,88660,98105,39910,12430,
260,24,1867,1666,1718,519,312,
458,402,2254,1116,1350,593,475,
804,551,3633,3921,4907,1837,971,
725,258,2350,1471,2334,1303,678,
4123,9332,117284,118449,107952,42946,12291,
961,483,4783,3870,2868,817,254,
873,421,2947,2337,2628,1051,314,
784,308,3048,1991,2519,1421,841,
145,116,1359,947,1343,487,324,
5379,9705,110987,85029,66211,45360,9208,
3481,1076,8992,4865,3720,1696,656,
969,127,1598,1038,1343,859,349,
666,532,1342,647,1008,678,160,
502,124,770,472,281,114,128,
33046,43996,228911,83313,50566,25703,4800,
14827,5207,17181,7580,2872,1862,946,
1633,313,753,503,516,56,49,
788,200,827,734,1111,325,157,
377,71,635,334,343,190,115,
1611,5923,23659,18786,8065,1747,656,
0,32,60,0,83,0,0,
57,50,1121,1288,618,124,33,
161,186,1658,1797,969,54,0,
