2010 Education by Immigration status in New Mexico, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
805,2641,11425,17675,8743,2645,986,
0,0,0,0,0,0,93,
71,0,0,30,31,0,0,
0,0,69,0,0,0,79,
0,77,174,371,139,209,102,
567,1478,10196,17263,9914,4657,2256,
0,37,43,0,55,78,57,
0,0,102,0,61,0,0,
17,0,166,0,110,0,135,
0,0,108,226,133,41,117,
1345,2589,16152,23246,13736,5404,3859,
0,31,97,192,321,0,103,
0,0,22,24,69,70,81,
0,0,0,28,175,36,49,
0,30,33,83,72,0,188,
982,1275,11719,23841,15482,8015,6313,
114,0,54,155,161,144,323,
82,26,79,123,47,34,72,
0,0,0,0,23,0,0,
0,0,0,29,0,0,29,
4063,3175,17291,17632,13259,8854,7266,
365,29,414,399,409,266,321,
24,62,0,20,24,39,79,
0,0,0,0,0,0,35,
0,0,0,17,18,32,0,
575,1895,6813,17886,10003,3996,1109,
0,0,0,0,0,0,0,
0,0,0,155,0,0,0,
0,0,28,18,133,25,70,
0,115,206,102,120,152,0,
532,1440,7803,17144,12200,5548,1792,
0,0,0,60,72,60,0,
18,0,26,95,0,24,45,
0,0,59,201,202,83,120,
0,0,71,0,187,53,173,
370,1898,14818,27064,14166,8223,2601,
0,107,161,353,182,87,0,
0,60,0,243,143,86,60,
0,0,55,26,61,129,24,
0,0,0,148,65,37,38,
818,1885,14150,23573,15034,11872,3855,
0,93,406,615,449,203,54,
0,0,39,23,31,22,81,
0,0,28,0,67,62,0,
0,0,0,30,78,0,65,
3575,5213,26926,25268,11967,8609,2141,
318,411,1372,1128,631,280,166,
54,7,88,24,33,0,0,
0,0,0,0,22,34,0,
0,58,54,26,33,56,0,
140,265,533,1616,360,169,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
32,0,22,79,226,149,0,
0,161,783,1229,221,303,0,
0,0,0,0,0,0,0,
0,0,3,0,0,0,81,
0,107,0,0,63,36,0,
20,0,0,106,0,0,0,
0,82,960,972,385,74,21,
0,29,0,36,0,0,0,
0,0,0,36,0,0,0,
42,0,0,0,34,0,0,
0,0,4,0,0,0,0,
91,100,675,541,592,284,55,
0,0,0,74,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
59,295,283,549,120,45,2,
20,87,0,68,0,20,0,
0,0,0,0,28,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
150,280,467,1036,182,316,0,
0,0,0,0,0,0,0,
0,0,0,33,0,0,0,
26,0,23,0,0,0,0,
28,0,0,68,64,0,92,
0,236,410,1279,327,92,112,
0,0,0,0,0,0,0,
0,0,0,89,0,0,0,
61,0,0,144,0,139,0,
0,0,0,0,62,0,0,
0,150,712,794,94,110,270,
0,0,0,0,0,0,0,
0,0,0,0,23,0,0,
0,0,0,0,0,0,0,
0,0,0,0,108,0,0,
113,82,301,869,220,150,69,
0,0,18,17,27,0,0,
0,0,0,75,0,0,0,
0,0,0,0,0,0,0,
0,0,94,0,0,0,0,
164,222,523,594,86,122,25,
0,0,85,0,0,0,0,
0,22,0,0,27,0,0,
0,0,0,0,0,0,0,
0,0,22,0,0,0,0,
0,36,220,489,178,117,0,
0,0,0,0,0,104,0,
0,0,0,159,148,133,25,
0,0,24,89,17,0,0,
112,0,0,0,300,606,231,
55,0,77,119,131,0,0,
31,0,0,0,100,11,78,
0,0,30,149,46,101,34,
61,36,0,102,0,0,161,
0,0,34,23,14,254,138,
33,49,43,106,0,168,90,
0,22,33,55,74,30,98,
0,15,119,215,58,0,129,
123,28,82,0,20,0,99,
0,44,64,102,18,0,0,
0,0,78,118,88,81,0,
38,0,0,56,44,19,25,
38,0,48,0,0,0,0,
29,0,45,28,100,0,0,
0,0,16,0,0,0,0,
12,33,62,33,57,28,65,
25,34,0,71,58,183,133,
67,0,33,0,0,37,0,
35,0,27,42,0,0,0,
0,0,0,0,0,0,0,
0,0,36,151,147,56,84,
0,0,0,0,91,0,0,
0,0,0,166,73,0,47,
0,36,96,0,71,51,25,
118,0,61,201,334,175,182,
0,0,66,119,26,166,85,
0,47,72,90,0,51,67,
0,0,0,83,138,0,43,
200,86,164,158,0,114,188,
106,0,52,187,341,0,26,
0,33,38,69,104,0,57,
0,0,80,73,50,48,12,
85,129,76,303,265,0,41,
24,34,54,344,60,167,56,
0,0,228,89,54,0,0,
0,0,15,51,71,26,35,
59,25,155,94,351,8,0,
52,0,80,150,238,116,70,
81,42,25,122,16,0,0,
0,0,22,33,18,0,0,
13,69,39,72,0,54,0,
138,57,342,208,85,71,0,
28,0,0,66,88,0,0,
40,0,5,0,0,0,0,
76,0,0,0,79,0,0,
2954,6682,17056,16534,3854,837,344,
0,107,194,150,64,102,0,
402,478,1094,566,171,0,0,
2302,1232,1338,293,23,0,0,
3084,1450,1476,886,523,56,27,
2104,4047,14305,14151,4315,1176,380,
234,0,561,476,14,0,0,
3899,780,998,488,60,85,0,
2868,532,1214,663,53,31,19,
2208,226,992,111,360,201,59,
1992,3952,17762,11634,4200,1515,669,
2541,641,697,923,218,32,0,
2380,301,983,315,160,112,0,
1904,127,232,274,239,84,23,
1145,373,201,29,28,23,99,
2098,2745,11041,9334,2641,2233,849,
3058,161,1026,611,263,58,0,
1342,21,86,170,0,0,74,
481,86,159,156,0,0,0,
237,27,40,0,23,0,0,
7300,3051,8636,6229,1940,1315,375,
3731,97,231,325,91,73,3,
973,0,65,0,0,0,27,
718,31,0,0,0,0,0,
315,0,46,0,113,0,22,
2797,4558,12685,20020,6117,1836,476,
71,0,137,240,0,21,0,
172,297,1039,1186,58,28,0,
1997,1167,1269,589,197,89,0,
3083,779,1818,787,312,102,23,
1210,1976,11824,17066,6010,2075,508,
418,151,788,1108,169,178,0,
1892,402,990,652,324,25,22,
2914,1060,1607,741,166,189,26,
1985,343,869,440,310,119,85,
1899,3270,17322,15578,4693,2505,465,
1345,330,639,597,50,139,30,
2484,234,748,896,128,24,34,
1631,157,770,328,26,117,38,
1087,78,234,248,38,60,0,
2523,3217,13547,9467,2780,2106,570,
2273,500,646,654,48,66,21,
1074,138,170,53,0,0,21,
747,180,237,72,70,0,0,
778,0,151,38,29,0,32,
9824,5195,12760,6010,1357,1026,223,
3597,249,510,267,135,161,33,
801,0,122,0,0,0,0,
1205,105,111,0,0,0,0,
501,0,317,34,72,0,0,
362,2281,5056,4498,618,143,153,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
33,0,0,0,0,0,0,
47,0,0,0,0,0,0,
302,2056,4708,4307,555,208,0,
0,0,0,0,41,0,0,
50,0,0,0,0,0,0,
0,0,0,71,0,0,0,
0,0,0,0,0,0,0,
1189,2262,4398,2942,356,322,96,
0,0,0,0,0,0,0,
48,50,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
756,894,2650,2070,670,283,0,
8,0,0,0,0,0,0,
26,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,29,
3001,506,938,938,344,219,202,
135,0,17,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
207,1525,3914,5751,1308,172,32,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,16,0,0,25,0,
0,0,0,0,0,0,0,
309,1199,4319,5227,666,503,149,
0,0,0,40,0,0,0,
87,0,0,0,0,0,0,
0,0,0,68,0,0,0,
0,0,39,0,0,0,0,
989,1503,4238,4563,1149,237,97,
0,0,0,32,0,0,0,
8,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
