2010 Education by Immigration status in Nevada, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
1501,5401,25875,35074,18732,3320,1500,
0,0,56,0,93,0,0,
0,34,106,147,116,0,18,
202,107,430,597,191,70,208,
106,73,1126,540,825,494,26,
1595,6454,29520,36193,17490,5566,2601,
0,21,289,338,284,0,106,
50,81,531,378,265,49,40,
98,95,597,654,494,241,24,
21,99,816,708,338,378,46,
2406,6633,35498,43414,17277,5884,3551,
83,99,478,1004,602,142,113,
114,0,481,549,172,21,105,
17,39,548,497,278,188,90,
117,95,200,206,215,131,20,
1556,4154,24963,41372,18780,8908,4790,
124,229,698,1006,631,393,343,
61,48,111,348,277,87,58,
97,167,129,390,55,120,84,
0,25,163,207,140,55,0,
4626,7255,33411,35550,15685,7611,4498,
733,700,2291,1449,885,481,330,
57,27,169,127,40,41,28,
44,0,120,118,72,27,25,
38,0,133,58,0,0,0,
1144,4845,19445,33191,18835,5585,1720,
0,0,0,92,0,0,0,
0,0,132,280,142,0,17,
18,39,372,333,215,85,54,
389,24,964,829,1383,620,91,
1171,3558,24197,36580,16032,6408,1485,
45,0,196,358,81,53,0,
0,45,349,85,326,0,0,
88,112,618,721,822,301,186,
62,131,444,470,656,180,123,
1688,4992,31214,44940,15427,7132,1693,
78,0,573,965,337,161,70,
71,119,431,503,210,95,0,
152,0,548,494,548,180,0,
89,0,388,234,235,108,0,
1017,4948,31738,40592,13878,8111,2115,
345,233,1563,1302,550,213,81,
0,33,283,140,140,132,47,
96,93,94,203,96,96,57,
100,0,249,93,88,234,0,
5621,10808,46664,36271,9707,4714,1492,
979,1471,3385,2649,996,190,92,
111,49,96,61,48,0,0,
66,19,144,185,0,0,0,
0,0,148,63,0,0,0,
336,1448,4812,5166,1282,370,45,
0,0,0,0,0,0,0,
27,0,96,52,0,0,0,
0,0,0,217,120,0,0,
0,28,384,331,397,0,49,
113,1279,5111,5365,1838,330,133,
0,0,63,128,0,0,0,
56,84,70,127,70,0,0,
38,77,440,238,177,0,0,
0,50,235,362,93,0,0,
512,1472,4465,5226,1056,498,195,
0,24,0,100,65,93,0,
106,40,183,152,40,21,20,
44,0,171,0,78,0,57,
56,0,95,87,43,139,0,
301,469,3064,3433,1050,562,260,
29,0,40,51,0,34,0,
68,0,106,0,74,0,0,
0,0,0,0,0,0,22,
0,0,23,0,28,0,0,
782,1381,1995,2583,810,292,164,
37,0,138,24,0,0,0,
58,0,48,0,0,0,0,
0,0,0,0,0,0,0,
47,0,0,22,0,0,0,
196,984,4534,5830,1530,125,369,
0,0,0,0,0,0,0,
0,0,0,95,142,0,0,
0,47,65,168,112,119,0,
66,63,320,409,89,0,32,
124,662,3922,6126,1216,698,123,
0,0,0,0,86,36,0,
37,0,191,132,76,0,0,
56,23,241,164,230,0,0,
241,63,343,203,0,0,26,
178,879,4078,5867,1451,572,124,
31,0,0,340,46,0,0,
50,32,154,110,0,0,28,
167,14,140,42,54,0,0,
66,0,109,57,26,0,37,
311,887,3225,3094,1026,749,315,
69,0,34,217,25,0,0,
32,0,77,91,0,0,0,
0,0,0,0,0,0,0,
56,0,0,0,111,0,0,
918,1252,2815,3205,857,569,166,
185,28,160,46,0,0,0,
0,0,0,0,45,0,0,
0,0,27,0,0,0,0,
85,0,13,43,0,0,0,
0,286,1504,2763,1480,151,368,
0,46,0,66,114,0,0,
48,114,481,657,570,214,97,
91,114,800,1410,859,47,33,
83,188,251,900,1123,116,26,
22,227,1138,1707,611,153,180,
0,34,491,670,450,22,111,
23,199,641,1760,589,111,157,
27,51,806,805,1397,273,355,
233,36,574,608,796,182,103,
26,51,1041,1090,675,148,161,
150,20,635,977,408,122,65,
153,232,539,1058,738,214,121,
146,83,383,739,1001,176,129,
119,35,655,332,684,43,385,
19,26,464,831,512,95,10,
139,107,481,900,916,138,208,
134,42,449,774,849,330,104,
92,39,196,307,509,20,52,
159,94,382,121,429,0,38,
104,53,863,491,223,28,149,
315,235,427,831,1526,270,897,
71,54,432,213,532,18,56,
178,38,354,93,150,0,64,
182,0,215,119,67,18,101,
23,40,1313,3223,1854,356,183,
0,0,0,119,23,0,0,
0,176,368,806,712,178,0,
130,241,750,1336,1080,45,35,
214,171,999,1087,2469,149,65,
0,116,735,1567,1085,211,98,
75,0,191,744,397,95,144,
125,109,736,1569,584,74,58,
161,122,953,1587,2164,255,272,
240,191,825,1071,2176,241,218,
0,68,604,647,503,100,26,
159,355,574,1172,468,0,53,
470,206,1112,1549,1744,122,226,
329,243,1071,1132,1370,162,28,
224,196,752,1087,654,107,88,
239,80,652,954,235,126,50,
391,556,1202,1299,2053,120,23,
299,216,801,597,980,71,52,
226,104,320,328,671,21,0,
274,181,614,166,623,48,51,
257,84,872,363,145,63,124,
767,305,1521,1010,1904,237,410,
323,220,755,281,480,69,58,
481,62,235,241,369,50,23,
371,32,350,247,114,0,0,
1612,3883,8306,6774,1698,245,276,
