2010 Education by Immigration status in New York, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
10398,25653,132917,166053,192771,59895,26112,
27,26,165,314,409,79,226,
83,435,1320,1718,2982,1215,607,
765,805,5634,5541,6486,2555,1248,
775,782,7101,6242,10050,6533,2909,
12627,28091,174730,187431,154756,69809,34428,
578,409,2675,2174,1751,927,630,
1153,1643,3327,2732,1994,1179,654,
924,1410,8589,6740,8324,5934,3579,
690,661,5331,3215,5763,4773,2402,
17598,33834,239792,229820,165353,69336,43868,
1597,2269,7151,6529,4730,2045,1215,
1691,1419,7267,4820,5189,2667,2279,
650,829,6483,4451,6648,3776,2237,
716,416,3400,1446,3348,1440,813,
18748,23558,169645,181933,131026,83362,50079,
6216,3615,12666,9068,7422,4881,3496,
667,683,3061,2182,2750,2094,1638,
754,763,3667,1918,3074,1973,980,
436,349,1425,1003,1339,846,295,
47569,58967,229181,142123,97317,63541,52669,
25054,9550,23120,10540,7881,5741,6237,
825,550,1563,1088,1091,553,474,
2043,726,2730,2256,2989,1092,1181,
507,81,814,541,538,514,257,
7746,16167,93904,152778,199180,116044,26650,
30,24,207,318,526,162,212,
86,281,953,1229,3674,1456,694,
1094,624,3389,4982,7189,4282,845,
1043,1545,5549,8089,12152,8963,3227,
9126,15707,137003,200185,158961,113028,28888,
303,424,2323,2990,3515,1420,744,
743,428,3331,3230,3087,1403,850,
1345,1185,6939,8233,8645,5475,3275,
1030,957,4219,3152,6128,4170,1530,
9666,21290,226899,260493,159894,107779,31555,
1791,1780,8642,6370,4716,2448,560,
1407,1282,5833,4953,4661,2522,1260,
1158,917,5415,5333,6606,4000,1647,
861,302,3369,1963,2873,1269,497,
14457,24105,216221,192492,107060,112790,25757,
7155,3752,17200,10861,7877,4831,1774,
758,741,2566,2496,2693,1982,889,
1014,821,3860,3429,4607,1929,840,
734,283,1609,1361,1237,663,261,
64308,83880,426479,178435,98577,78171,16575,
34468,14497,36667,17617,10142,5838,3050,
2394,727,2390,1447,1317,476,376,
3410,1217,3387,3783,4420,2017,1151,
1853,364,1890,964,683,302,264,
6547,17602,42030,44741,20283,3317,1547,
0,37,51,218,100,25,42,
548,951,2824,4267,2734,459,146,
697,1940,6074,6809,4087,718,185,
1554,2057,7721,6216,2617,1035,355,
6211,14314,40270,35822,13208,5347,1961,
385,526,2378,2943,1402,183,277,
998,1357,7089,7293,3352,1120,264,
2154,1822,8373,6225,3360,1396,712,
1778,1192,8174,4340,2452,1095,564,
7193,15672,38465,36317,12026,4425,1435,
1181,1775,5001,6770,3472,1004,348,
2939,3169,11204,8210,4548,2497,761,
2219,1718,7433,4291,2370,728,553,
1509,1082,4708,2167,1416,368,145,
7015,8823,24609,21526,8488,3238,646,
2165,2193,7736,7751,3369,2165,770,
3397,2260,7003,3335,1271,784,482,
1628,977,2533,1752,470,298,175,
1241,392,1981,650,306,48,201,
17090,12049,23181,11966,4615,2847,1379,
4529,3477,9203,4043,2734,1122,931,
2723,988,3082,791,476,26,122,
1540,581,1216,416,254,74,69,
932,386,660,204,140,48,25,
3357,17515,32575,58409,28956,11288,1752,
0,75,204,474,222,157,117,
215,564,2677,5806,4403,1095,458,
875,2144,6417,10273,5622,1805,167,
2158,1603,8234,8112,4366,1050,651,
3859,15582,35282,52814,22537,11034,2237,
427,584,1791,4179,2774,1118,193,
661,1949,7363,9457,6685,2592,563,
2099,2166,9997,9473,5238,1473,544,
2777,1844,8323,5224,2172,685,329,
5317,15592,35161,50235,17562,8979,2063,
1428,1707,6198,8992,5727,3030,817,
2628,2936,12564,10877,6533,2170,400,
2606,2120,10929,5899,3415,589,313,
2184,1605,5691,2460,1295,646,79,
5811,10587,30675,31269,11633,7504,2477,
2964,2371,9880,10075,5297,3364,398,
3798,2842,8582,4093,2280,920,227,
2742,855,3919,1290,1228,364,155,
2193,871,2991,1151,548,154,0,
22507,20483,45970,23703,8884,6755,1328,
8772,4448,13139,7665,3446,1625,275,
5559,1393,5060,1076,571,338,64,
3556,728,2099,828,440,138,27,
3103,740,1133,505,321,125,0,
355,236,2035,5660,15475,3602,3847,
24,0,31,115,842,198,383,
462,486,2293,4180,6176,2077,847,
2099,1846,5844,6206,8777,3403,1390,
4435,1812,5919,5947,12832,7851,3784,
314,354,487,1490,4905,2198,1567,
244,255,520,1631,3513,1678,1146,
2008,1751,3882,5064,7139,2161,993,
4740,3253,7112,4658,8606,4931,2801,
3825,2254,5696,3923,7128,4023,2189,
561,79,744,1455,1839,899,627,
722,833,1651,3134,3224,1245,746,
4947,2945,9008,6173,7585,4193,2424,
5968,2262,8859,3282,6582,2654,2496,
3600,951,4779,1279,3442,928,803,
333,104,610,956,1410,854,350,
2420,995,3048,2918,4319,3048,2550,
5483,1375,5112,2336,5653,2576,1345,
4044,1540,3030,2217,3259,995,755,
2534,798,1648,688,1724,624,193,
504,151,450,294,408,360,200,
5938,1128,3249,2435,4800,2844,3881,
4182,1034,3342,1436,2537,422,381,
3779,1195,2207,1099,1868,251,322,
2762,478,1510,560,1346,232,87,
205,181,1218,4494,14582,5593,4552,
73,0,373,308,1040,408,358,
324,235,1172,2711,7823,2110,1414,
2196,1251,5390,7081,12180,3174,1631,
4926,2754,7819,8459,19301,9270,3406,
188,193,957,1409,3806,2394,1125,
87,228,767,1632,4585,2066,928,
1271,1512,3495,3461,6942,1827,813,
6408,3848,9197,6562,12476,6689,2113,
5063,2582,7447,4587,10019,3604,1791,
233,198,1115,722,2287,873,307,
718,540,2361,2674,3549,1058,665,
5106,2279,9470,5970,10045,4622,1805,
7120,2329,8228,5366,7639,2846,997,
5324,1281,5141,1901,3371,1251,288,
591,113,1211,704,1011,712,506,
3276,2039,3822,3289,6230,2102,1316,
6893,1462,5731,2744,5256,1370,900,
6489,1703,4040,1679,2308,678,483,
4023,1486,1845,665,1436,414,70,
400,225,656,609,444,266,89,
8929,1766,4381,3038,5881,2485,1444,
8874,1250,3071,885,1706,473,422,
6558,1013,2515,890,1299,441,353,
4686,376,1680,718,1143,244,158,
7821,14277,32615,36630,17188,4454,1983,
217,25,347,512,325,109,0,
2747,1860,4112,4533,2800,269,332,
18486,7107,18016,9743,4403,910,372,
26998,9143,23026,10438,5666,1353,1174,
10363,10460,26761,26320,11618,4120,1381,
806,648,2668,2361,1507,560,260,
10946,5388,11504,5077,3050,918,137,
18782,7066,18006,8918,3935,658,584,
13934,3912,10483,4923,3620,1212,860,
9725,10224,23018,19095,6357,2957,1012,
3931,3095,5962,6803,2593,684,688,
12110,4274,12031,8613,3047,1061,767,
10929,3112,6566,3054,2150,761,555,
6066,1362,3060,1826,1269,105,465,
12126,4988,14495,10477,3815,2337,873,
8790,2230,6900,4768,2135,782,417,
5419,1819,4542,2756,1527,693,229,
3370,608,2849,1081,851,85,61,
2061,475,1400,654,765,175,195,
19004,5499,10778,4657,2053,929,546,
9604,3324,8392,3992,2747,911,832,
4157,442,1572,285,497,179,87,
2595,47,441,156,468,99,42,
1862,387,402,51,126,143,16,
7433,12453,23955,39538,27012,9182,1725,
78,232,353,363,516,458,40,
1562,1212,4870,6101,3566,915,194,
13170,6027,13289,12057,4588,1421,173,
20569,6860,16628,10546,5707,1265,968,
6471,10509,23160,30374,16760,7771,1666,
402,993,1880,2925,1665,954,217,
10031,3863,9759,7643,2915,874,252,
18754,7141,18005,10585,5282,856,673,
10654,3161,8135,3897,3418,1203,672,
9569,9272,20097,26421,9698,5124,1246,
5031,3117,7086,8076,2692,1443,442,
11537,5796,12485,9598,3570,1133,435,
8710,3065,8101,6443,2645,983,282,
4503,1110,4631,2418,1378,236,689,
12482,7606,17912,13254,4173,3843,860,
10626,3211,8075,5966,2725,1666,729,
8037,1815,4531,2947,1152,635,157,
5788,1316,2449,954,588,177,24,
3861,650,2547,1009,512,0,286,
31321,6986,16689,6315,2122,1383,367,
20708,4135,11201,4843,2218,908,604,
5760,1023,2122,446,500,174,0,
5495,870,1418,276,405,95,50,
4573,1064,1215,251,148,129,152,
264,244,1545,841,92,93,0,
0,17,0,0,0,0,0,
0,0,4,125,55,0,0,
265,0,259,158,0,92,0,
621,126,111,79,56,0,0,
175,222,1058,1342,337,157,164,
0,0,0,158,0,0,0,
251,104,34,122,26,0,0,
366,0,84,97,0,0,0,
246,0,0,48,0,22,0,
349,153,1042,1002,466,153,47,
109,74,0,100,0,36,0,
173,85,24,118,0,0,0,
36,32,0,125,0,0,0,
52,0,16,0,61,0,0,
451,181,760,729,212,89,36,
31,134,43,103,0,0,29,
0,30,135,31,30,0,0,
81,44,215,0,0,0,0,
0,0,27,0,0,0,0,
310,338,590,244,10,87,178,
62,57,129,0,0,25,0,
79,11,35,0,83,0,0,
179,0,0,0,0,0,0,
0,0,0,0,0,0,0,
8,298,932,851,519,375,0,
0,0,23,24,0,0,0,
0,0,0,220,0,31,13,
333,122,77,69,0,0,0,
191,66,171,114,113,88,0,
199,236,700,1760,290,384,17,
0,45,17,0,85,0,0,
30,0,77,187,69,0,0,
190,32,152,83,42,0,0,
338,32,87,0,23,27,0,
368,391,891,1448,311,210,53,
25,59,65,0,61,0,0,
65,22,193,0,0,19,41,
246,70,106,0,0,23,22,
78,17,85,163,62,0,0,
454,241,1307,940,407,141,32,
71,0,80,163,8,0,0,
26,9,148,0,94,0,0,
127,0,83,0,0,0,0,
0,0,47,0,20,0,0,
497,432,702,532,131,31,45,
249,31,94,95,65,0,0,
237,0,14,0,0,0,0,
93,0,0,0,0,0,0,
0,0,34,0,0,0,0,
30,157,393,1144,360,251,144,
0,0,0,0,72,0,0,
0,83,229,205,247,69,33,
274,208,835,359,141,103,0,
3,253,445,357,1046,134,39,
60,57,168,536,274,102,47,
0,0,185,194,152,28,0,
366,215,796,323,176,181,0,
233,299,610,247,391,122,0,
165,98,953,23,130,63,0,
0,42,150,127,124,81,195,
157,50,221,132,130,77,0,
357,208,604,195,104,172,4,
335,108,579,313,66,73,107,
290,339,72,0,230,55,0,
89,82,150,271,65,40,32,
25,0,301,162,131,0,25,
142,222,408,180,134,0,59,
219,186,216,0,85,0,0,
44,0,27,58,0,0,0,
0,27,70,48,147,79,53,
62,298,101,80,76,0,46,
322,0,139,29,66,20,0,
150,212,107,0,0,0,0,
162,0,101,0,0,0,0,
28,141,530,346,786,315,181,
0,0,0,0,0,34,0,
0,58,290,503,204,46,0,
230,293,493,286,574,215,0,
52,286,544,140,527,58,65,
62,0,383,405,446,81,92,
0,27,281,61,75,0,0,
149,184,544,479,199,88,0,
582,134,786,421,186,47,0,
232,21,671,76,357,83,0,
31,38,61,229,104,216,44,
55,76,100,173,293,158,0,
310,264,919,340,4,30,0,
406,197,787,169,192,33,0,
226,252,214,163,135,0,0,
0,88,62,307,260,89,27,
177,82,45,425,42,22,14,
369,65,416,215,161,42,0,
342,61,310,60,54,0,0,
132,3,209,29,0,0,73,
0,66,332,51,65,110,25,
293,24,306,86,100,23,38,
446,37,108,66,21,0,50,
538,142,77,11,0,0,0,
70,0,63,23,32,0,0,
579,1133,2762,3607,4047,949,301,
0,0,38,0,0,0,0,
88,0,69,298,155,44,0,
137,0,232,80,353,205,89,
0,126,710,166,461,304,39,
521,817,2224,3244,1818,1290,579,
42,31,30,179,263,0,0,
47,170,390,339,138,0,0,
278,47,256,205,361,158,66,
208,0,590,211,266,88,87,
421,575,2268,2392,618,242,347,
0,62,296,305,164,142,41,
226,241,479,383,247,31,147,
84,269,441,183,183,38,115,
59,16,316,24,82,0,81,
269,243,1191,1487,493,519,362,
77,160,102,179,293,84,32,
86,0,283,151,207,25,69,
97,47,133,49,191,161,21,
0,71,21,68,142,25,0,
475,193,746,741,306,200,145,
97,215,483,332,76,88,231,
201,163,56,0,0,20,0,
95,28,58,19,32,56,28,
28,0,0,0,0,0,0,
293,494,1896,4401,4246,1921,1002,
0,0,0,29,0,75,40,
26,0,79,318,214,65,19,
22,0,343,376,210,251,23,
219,184,534,208,399,186,99,
