2010 Education by Immigration status in Ohio, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
14057,34317,177446,172277,112243,25461,10325,
0,0,0,177,43,0,87,
0,0,266,156,284,181,84,
0,31,711,475,686,502,212,
58,125,672,1201,1848,988,474,
15055,36694,213165,171957,110640,37303,16348,
0,73,203,364,518,76,347,
47,106,243,670,635,209,186,
293,182,1081,1320,1360,342,611,
127,271,648,773,1280,544,591,
20059,46540,283209,190112,113530,39822,22326,
192,230,1275,1185,1074,715,219,
107,25,382,736,470,523,500,
0,64,813,774,1046,457,617,
125,116,539,513,337,210,173,
22059,33397,201100,157212,96698,45062,26236,
687,483,2130,2564,1112,968,1208,
74,30,324,216,216,168,357,
66,32,673,460,649,400,334,
26,41,355,418,98,58,101,
59427,59750,223212,119747,69897,31863,23717,
3849,1901,4395,2482,1597,1247,1368,
91,62,189,193,87,54,34,
67,0,493,200,390,68,38,
71,25,102,0,48,18,34,
13108,24617,126784,194373,130412,43479,11124,
0,0,0,188,22,0,20,
47,0,28,98,527,196,110,
112,0,554,1025,820,379,104,
41,379,840,1399,1983,777,449,
12702,24622,177335,205475,123838,50339,10986,
23,159,266,753,434,79,0,
138,0,420,597,257,123,58,
0,162,1151,1369,1157,870,414,
182,355,1024,793,778,654,370,
18558,34157,272535,235483,112965,49417,12354,
58,170,1453,1279,983,218,109,
336,56,567,707,585,295,76,
210,23,815,1274,749,369,278,
0,55,587,551,352,123,197,
19680,34251,242699,172098,81531,51644,9615,
533,406,4069,2833,1607,719,447,
195,161,503,436,81,147,89,
42,23,324,471,321,215,107,
158,0,298,285,264,121,49,
74057,90045,383624,146335,66140,29623,6622,
6337,3507,8252,5155,1898,1050,440,
448,121,123,167,57,147,111,
404,153,451,246,538,68,114,
178,52,331,40,90,0,37,
4572,12879,27044,27252,8382,1450,387,
0,0,0,0,0,0,0,
61,0,182,253,107,0,0,
0,0,300,315,722,65,0,
347,345,848,1503,513,182,0,
2486,9641,32317,27200,7163,2024,889,
0,0,36,140,173,0,0,
38,29,51,123,247,0,162,
32,206,519,1018,299,0,104,
139,126,847,416,703,234,98,
4058,10366,35140,26959,7323,2072,990,
35,0,0,336,55,151,50,
73,0,265,313,252,121,103,
242,41,559,467,118,108,135,
308,71,256,141,188,207,71,
3839,7006,24060,19268,4624,1760,952,
28,111,22,182,0,105,28,
49,0,0,87,92,120,36,
33,70,131,128,0,0,21,
50,0,79,65,168,107,57,
9380,9785,18060,9150,3086,1574,724,
127,65,187,0,0,68,0,
63,0,54,69,0,0,0,
0,0,0,0,0,33,0,
33,0,42,36,0,84,0,
2011,10971,23213,38589,11898,2799,997,
0,0,0,0,0,23,0,
0,0,93,49,96,70,0,
142,65,693,953,328,9,0,
331,259,1279,1090,368,112,0,
2195,8321,26543,38134,11097,5483,918,
0,0,22,89,0,107,0,
72,52,0,381,30,67,0,
115,220,517,736,226,294,124,
365,99,622,483,316,69,0,
3175,10352,29329,40168,10226,5415,1356,
0,0,104,116,144,22,57,
144,58,106,160,173,34,43,
245,0,257,603,147,34,25,
262,90,106,176,242,3,81,
3121,7791,24191,26389,6079,5049,991,
21,73,57,384,66,67,0,
59,20,19,36,56,33,0,
111,29,264,193,76,20,53,
252,93,33,69,0,0,0,
12438,15253,28305,17001,4509,2813,581,
51,64,185,102,86,231,0,
157,50,0,0,0,0,36,
23,0,35,0,35,0,0,
307,26,100,18,0,0,0,
51,101,530,830,1232,744,662,
0,0,0,48,57,26,52,
0,62,37,317,563,196,168,
0,247,288,443,733,224,165,
54,97,632,587,4443,4093,1494,
32,0,261,347,358,234,502,
0,66,150,292,665,110,152,
63,297,636,347,565,346,244,
312,65,823,482,1196,1867,1177,
42,0,372,265,1751,1158,999,
0,55,171,339,209,145,175,
14,35,218,426,357,271,500,
240,193,698,552,782,603,913,
75,23,329,110,577,346,611,
